genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_019396925.1,PRJNA716416,ASM1939692v1,Complete Genome,na,SAMN18435563,2021-07-29,GCA_019396925.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_019396925.1,,yes,major,amyloliquefaciens,GKT04,Guangxi Academy of Agricultural Sciences,1390,ncbi
GCF_004421045.1,PRJNA243331,ASM442104v1,Complete Genome,na,SAMN10862242,2019-03-27,GCA_004421045.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_004421045.1,,yes,major,amyloliquefaciens,FS1092,FDA/CFSAN,1390,ncbi
GCF_021233135.1,PRJNA787446,ASM2123313v1,Complete Genome,na,SAMN23838691,2021-12-20,GCA_021233135.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_021233135.1,,yes,major,amyloliquefaciens,LS1-002-014s,Guizhou university,1390,ncbi
GCF_022559645.1,PRJNA569143,ASM2255964v1,Complete Genome,na,SAMN12792683,2022-03-14,GCA_022559645.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_022559645.1,,yes,major,amyloliquefaciens,ZKY01,Zhongkai University of Agriculture and Engineering,1390,ncbi
GCF_017603845.1,PRJNA715331,ASM1760384v1,Complete Genome,na,SAMN18346328,2021-03-29,GCA_017603845.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_017603845.1,,yes,major,amyloliquefaciens,XJ5,College of Plant Protection,1390,ncbi
GCF_019880425.1,PRJNA758085,ASM1988042v1,Complete Genome,na,SAMN21001928,2021-09-05,GCA_019880425.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_019880425.1,,yes,major,amyloliquefaciens,JP3144,"United States Department of Agriculture, Agricultural Research Service",1390,ncbi
GCF_008824205.1,PRJNA574581,ASM882420v1,Complete Genome,na,SAMN12860423,2019-10-06,GCA_008824205.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_008824205.1,,yes,major,amyloliquefaciens,KC41,Kyungpook National University,1390,ncbi
GCF_020311635.1,PRJNA701126,ASM2031163v1,Complete Genome,na,SAMN17848991,2021-10-06,GCA_020311635.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_020311635.1,,yes,major,amyloliquefaciens,ELA1901024,Elanco Animal Health,1390,ncbi
GCF_019856555.1,PRJNA758083,ASM1985655v1,Complete Genome,na,SAMN20999035,2021-09-02,GCA_019856555.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_019856555.1,,yes,major,amyloliquefaciens,JP3042,"United States Department of Agriculture, Agricultural Research Service",1390,ncbi
GCF_007362635.1,PRJNA544619,ASM736263v1,Complete Genome,na,SAMN11843976,2019-07-24,GCA_007362635.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_007362635.1,,yes,major,amyloliquefaciens,ZJU1,Zhejiang university,1390,ncbi
GCF_003149695.1,PRJNA453623,ASM314969v1,Complete Genome,na,SAMN08984034,2018-05-23,GCA_003149695.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_003149695.1,,yes,major,amyloliquefaciens,ALB69,"United States Department of Agriculture, Agricultural Research Service",1390,ncbi
GCF_022492915.1,PRJNA810518,ASM2249291v1,Complete Genome,na,SAMN26265005,2022-03-07,GCA_022492915.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_022492915.1,,yes,major,amyloliquefaciens,WF2020,South China Agricultural University,1390,ncbi
GCF_003312895.1,PRJNA476190,ASM331289v1,Complete Genome,na,SAMN09428134,2018-07-11,GCA_003312895.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_003312895.1,,yes,major,amyloliquefaciens,SH-B74,Institute of Applied Ecology,1390,ncbi
GCF_003149715.1,PRJNA453418,ASM314971v1,Complete Genome,na,SAMN08978284,2018-05-23,GCA_003149715.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_003149715.1,,yes,major,amyloliquefaciens,ALB65,"United States Department of Agriculture, Agricultural Research Service",1390,ncbi
GCF_014622745.1,PRJNA660531,ASM1462274v1,Complete Genome,na,SAMN15951545,2020-09-14,GCA_014622745.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_014622745.1,,yes,major,amyloliquefaciens,T-5,Nanjing Agricultural University,1390,ncbi
GCF_013122255.1,PRJNA631938,ASM1312225v1,Complete Genome,na,SAMN14897115,2020-05-19,GCA_013122255.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_013122255.1,,yes,major,amyloliquefaciens,WF02,Academia Sinica,1390,ncbi
GCF_024138555.1,PRJNA771961,ASM2413855v1,Complete Genome,na,SAMN22352915,2022-07-05,GCA_024138555.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_024138555.1,,yes,major,amyloliquefaciens,TPS17,Guangdong Ocean University,1390,ncbi
GCF_014791945.1,PRJNA664439,ASM1479194v1,Complete Genome,na,SAMN16218600,2020-09-29,GCA_014791945.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_014791945.1,,yes,major,amyloliquefaciens,INH2-4b,"United States Department of Agriculture, Agricultural Research Service",1390,ncbi
GCF_014854735.1,PRJNA471782,ASM1485473v1,Complete Genome,na,SAMN09217686,2020-10-06,GCA_014854735.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_014854735.1,,yes,major,amyloliquefaciens,HM618,Tianjin University,1390,ncbi
GCF_013341255.1,PRJNA637464,ASM1334125v1,Complete Genome,na,SAMN15143286,2020-06-14,GCA_013341255.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_013341255.1,,yes,major,amyloliquefaciens,R8-25,National Chung Hsing University,1390,ncbi
GCF_001596755.1,PRJNA315324,ASM159675v1,Complete Genome,na,SAMN04555582,2016-03-23,GCA_001596755.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_001596755.1,,yes,major,amyloliquefaciens,B15,China national research institute of food&fermentation industries,1390,ncbi
GCF_008534375.1,PRJNA554205,ASM853437v1,Complete Genome,na,SAMN12257600,2019-09-18,GCA_008534375.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_008534375.1,,yes,major,amyloliquefaciens,DH8030,"East China Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences",1390,ncbi
GCF_001889285.1,PRJNA354206,ASM188928v1,Complete Genome,na,SAMN06043296,2016-12-06,GCA_001889285.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_001889285.1,,yes,major,amyloliquefaciens,LM2303,HeNan University of Technology,1390,ncbi
GCF_022833015.1,PRJNA792420,ASM2283301v1,Complete Genome,na,SAMN24424672,2022-04-07,GCA_022833015.1,full,Bacillus,Bacillus amyloliquefaciens (firmicutes),GCF_022833015.1,,yes,major,amyloliquefaciens,W0101,Fujian Agriculture and Forestry University,1390,ncbi
