genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_016728725.1,PRJNA231221,ASM1672872v1,Complete Genome,na,SAMN16357277,2021-01-20,GCA_016728725.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_016728725.1,Representative Genome,yes,major,amycolatum,FDAARGOS_1108,US Food and Drug Administration,43765,ncbi
GCF_016889425.1,PRJNA231221,ASM1688942v1,Complete Genome,na,SAMN16357331,2021-02-15,GCA_016889425.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_016889425.1,,yes,major,amycolatum,FDAARGOS_1189,US Food and Drug Administration,43765,ncbi
GCF_016127615.1,PRJNA231221,ASM1612761v1,Complete Genome,na,SAMN16357160,2020-12-20,GCA_016127615.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_016127615.1,,yes,major,amycolatum,FDAARGOS_991,US Food and Drug Administration,43765,ncbi
GCF_016026415.1,PRJNA231221,ASM1602641v1,Complete Genome,na,SAMN13450468,2020-12-14,GCA_016026415.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_016026415.1,,yes,major,amycolatum,FDAARGOS_938,US Food and Drug Administration,43765,ncbi
GCF_016728745.1,PRJNA231221,ASM1672874v1,Complete Genome,na,SAMN16357276,2021-01-20,GCA_016728745.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_016728745.1,,yes,major,amycolatum,FDAARGOS_1107,US Food and Drug Administration,43765,ncbi
GCF_029338415.1,PRJNA943520,ASM2933841v1,Complete Genome,na,SAMN33730773,2023-03-22,GCA_029338415.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_029338415.1,,yes,major,amycolatum,SB-1,COSMAX BTI,43765,ncbi
GCF_000755185.1,PRJNA244546,ASM75518v1,Complete Genome,na,SAMN02902856,2014-09-16,GCA_000755185.1,full,Corynebacterium,Corynebacterium sp. ATCC 6931 (high G+C Gram-positive bacteria),GCF_000755185.1,,yes,major,sp.,ATCC 6931,Los Alamos National Laboratory,1487956,ncbi
GCF_014335175.1,PRJNA395377,LK23,Contig,na,SAMN07741515,2020-08-31,GCA_014335175.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_014335175.1,,yes,major,amycolatum,LK23,UPenn,43765,ncbi
GCF_900461385.1,PRJEB6403,52465_H02,Contig,na,SAMEA26384668,2018-08-07,GCA_900461385.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_900461385.1,,yes,major,amycolatum,NCTC7243,SC,43765,ncbi
GCF_025145255.1,PRJNA803478,ASM2514525v1,Contig,na,SAMN25653420,2022-09-12,GCA_025145255.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_025145255.1,,yes,major,amycolatum,p3-SID879,University of Wisconsin - Madison,43765,ncbi
GCF_030232325.1,PRJNA804245,ASM3023232v1,Scaffold,na,SAMN35346694,2023-06-07,GCA_030232325.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_030232325.1,,yes,major,amycolatum,MSK038,Duke University,43765,ncbi
GCF_018919345.1,PRJNA316969,ASM1891934v1,Contig,na,SAMN19595173,2021-06-16,GCA_018919345.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_018919345.1,,yes,major,amycolatum,UMB1310-1E,Loyola University Chicago,43765,ncbi
GCF_030218005.1,PRJNA970254,ASM3021800v1,Contig,na,SAMN34996482,2023-06-07,GCA_030218005.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_030218005.1,,yes,major,amycolatum,UMB1063,Loyola University Chicago,43765,ncbi
GCF_008726785.1,PRJNA316969,ASM872678v1,Contig,na,SAMN12797015,2019-09-28,GCA_008726785.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_008726785.1,,yes,major,amycolatum,UMB1182,Loyola University Chicago,43765,ncbi
GCF_008726645.1,PRJNA316969,ASM872664v1,Contig,na,SAMN12797022,2019-09-28,GCA_008726645.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_008726645.1,,yes,major,amycolatum,UMB1310,Loyola University Chicago,43765,ncbi
GCF_014335185.1,PRJNA395377,LK24,Contig,na,SAMN07741516,2020-08-31,GCA_014335185.1,full,Corynebacterium,Corynebacterium sp. LK24 (high G+C Gram-positive bacteria),GCF_014335185.1,,yes,major,sp.,LK24,UPenn,2044583,ncbi
GCF_008042175.1,PRJNA395377,ASM804217v1,Contig,na,SAMN07376278,2019-08-21,GCA_008042175.1,full,Corynebacterium,Corynebacterium sp. LK19 (high G+C Gram-positive bacteria),GCF_008042175.1,,yes,major,sp.,LK19,UPenn,2022660,ncbi
GCF_014335155.1,PRJNA395377,LK25,Contig,na,SAMN07741517,2020-08-31,GCA_014335155.1,full,Corynebacterium,Corynebacterium sp. LK25 (high G+C Gram-positive bacteria),GCF_014335155.1,,yes,major,sp.,LK25,UPenn,2044582,ncbi
GCF_014335015.1,PRJNA395377,LK31,Scaffold,na,SAMN07741523,2020-08-31,GCA_014335015.1,full,Corynebacterium,Corynebacterium sp. LK31 (high G+C Gram-positive bacteria),GCF_014335015.1,,yes,major,sp.,LK31,UPenn,2044576,ncbi
GCF_001812505.1,PRJNA300014,ASM181250v1,Scaffold,na,SAMN04480028,2016-10-21,GCA_001812505.1,full,Corynebacterium,Corynebacterium sp. HMSC064E10 (high G+C Gram-positive bacteria),GCF_001812505.1,,yes,major,sp.,HMSC064E10,The Genome Institute at Washington University,1739364,ncbi
GCF_008042455.1,PRJNA395377,ASM804245v1,Scaffold,na,SAMN07376274,2019-08-21,GCA_008042455.1,full,Corynebacterium,Corynebacterium sp. LK10 (high G+C Gram-positive bacteria),GCF_008042455.1,,yes,major,sp.,LK10,UPenn,2022656,ncbi
GCF_001809695.1,PRJNA296258,ASM180969v1,Scaffold,na,SAMN04477526,2016-10-21,GCA_001809695.1,full,Corynebacterium,Corynebacterium sp. HMSC063A05 (high G+C Gram-positive bacteria),GCF_001809695.1,,yes,major,sp.,HMSC063A05,The Genome Institute at Washington University,1715130,ncbi
GCF_022346225.1,PRJNA694925,ASM2234622v1,Contig,na,SAMN17729881,2022-02-20,GCA_022346225.1,full,Corynebacterium,Corynebacterium sp. ACRPX (high G+C Gram-positive bacteria),GCF_022346225.1,,yes,major,sp.,ACRPX,NHGRI/NIH,2918185,ncbi
GCF_030232425.1,PRJNA804245,ASM3023242v1,Scaffold,na,SAMN35346687,2023-06-07,GCA_030232425.1,full,Corynebacterium,Corynebacterium sp. MSK019 (high G+C Gram-positive bacteria),GCF_030232425.1,,yes,major,sp.,MSK019,Duke University,3050190,ncbi
GCF_001837775.1,PRJNA296315,ASM183777v1,Scaffold,na,SAMN04498696,2016-10-25,GCA_001837775.1,full,Corynebacterium,Corynebacterium sp. HMSC073H12 (high G+C Gram-positive bacteria),GCF_001837775.1,,yes,major,sp.,HMSC073H12,The Genome Institute at Washington University,1715187,ncbi
