genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_000404185.1,PRJNA175241,ASM40418v1,Complete Genome,na,SAMN02603964,2013-06-03,GCA_000404185.1,full,Corynebacterium,Corynebacterium glutamicum SCgG2 (high G+C Gram-positive bacteria),GCF_000404185.1,Representative Genome,yes,major,glutamicum,SCgG2,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences",1232383,ncbi
GCF_002847405.1,PRJNA422954,ASM284740v1,Complete Genome,na,SAMN08211503,2017-12-27,GCA_002847405.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_002847405.1,,yes,major,glutamicum,Corynebacterium glutamicum ATCC 13032,The catholic university of korea,1718,ncbi
GCF_027569975.1,PRJNA913973,ASM2756997v1,Complete Genome,na,SAMN32316699,2023-01-04,GCA_027569975.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_027569975.1,,yes,major,glutamicum,ATCC 13032,City University of Hong Kong,1718,ncbi
GCF_000011325.1,PRJNA307,ASM1132v1,Complete Genome,na,SAMD00061105,2004-02-18,GCA_000011325.1,full,Corynebacterium,Corynebacterium glutamicum ATCC 13032 (high G+C Gram-positive bacteria),GCF_000011325.1,,yes,major,glutamicum,ATCC 13032,Kitasato Univ.,196627,ncbi
GCF_000382905.1,PRJNA157367,ASM38290v1,Complete Genome,na,SAMEA3138433,2012-04-23,GCA_000382905.1,full,Corynebacterium,Corynebacterium glutamicum K051 (high G+C Gram-positive bacteria),GCF_000382905.1,,yes,major,glutamicum,ATCC 13032 substr. K051,Forschungszentrum Juelich GmbH,1204414,ncbi
GCF_018286655.1,PRJNA725090,ASM1828665v1,Complete Genome,na,SAMN18869765,2021-05-06,GCA_018286655.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_018286655.1,,yes,major,glutamicum,CGMCC1.15647,Jiangnan University,1718,ncbi
GCF_002847425.1,PRJNA422954,ASM284742v1,Complete Genome,na,SAMN08211528,2017-12-27,GCA_002847425.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_002847425.1,,yes,major,glutamicum,Corynebacterium glutamicum ATCC 13032,The catholic university of korea,1718,ncbi
GCF_013046805.1,PRJNA630120,ASM1304680v1,Complete Genome,na,SAMN14825417,2020-05-12,GCA_013046805.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_013046805.1,,yes,major,glutamicum,BE,Korea Advanced Institute of Science and Technology,1718,ncbi
GCF_001447865.2,PRJNA288848,ASM144786v2,Complete Genome,na,SAMN03839052,2017-01-06,GCA_001447865.2,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_001447865.2,,yes,major,glutamicum,CP,"Tianjin university of science and technology, Metabolic Engineering Laboratory, College of Biotechnology",1718,ncbi
GCF_001643035.1,PRJNA316484,ASM164303v1,Complete Genome,na,SAMN04581265,2016-05-13,GCA_001643035.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_001643035.1,,yes,major,glutamicum,YI,Tianjin university of science and technology,1718,ncbi
GCF_001936195.1,PRJNA354848,ASM193619v1,Complete Genome,na,SAMN06052514,2017-01-05,GCA_001936195.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_001936195.1,,yes,major,glutamicum,XV,Tianjin university of science and technology,1718,ncbi
GCF_013014885.1,PRJDB8659,ASM1301488v1,Complete Genome,na,SAMD00192501,2020-05-01,GCA_013014885.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_013014885.1,,yes,major,glutamicum,ATCC 21799,Kobe University,1718,ncbi
GCF_002220135.1,PRJNA393604,ASM222013v1,Complete Genome,na,SAMN07337837,2017-07-17,GCA_002220135.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_002220135.1,,yes,major,glutamicum,WM001,"State key lab of food science and technology, Jiangnan University",1718,ncbi
GCF_002163915.1,PRJNA381819,ASM216391v1,Complete Genome,na,SAMN06689708,2017-06-02,GCA_002163915.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_002163915.1,,yes,major,glutamicum,TQ2223,Tianjin university of science and technology,1718,ncbi
GCF_029674605.1,PRJNA951957,ASM2967460v1,Complete Genome,na,SAMN34065790,2023-04-11,GCA_029674605.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_029674605.1,,yes,major,glutamicum,Cg21420,Nanjing Normal University Taizhou College,1718,ncbi
GCF_002355675.1,PRJDB4751,ASM235567v1,Complete Genome,na,SAMD00051291,2017-06-17,GCA_002355675.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_002355675.1,,yes,major,glutamicum,AJ1511,"AJINOMOTO Co., Inc.",1718,ncbi
GCF_001687645.1,PRJNA305665,ASM168764v1,Complete Genome,na,SAMN04331495,2016-07-20,GCA_001687645.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_001687645.1,,yes,major,glutamicum,ATCC 13869,Shanghai Institutes for Biological Sciences (SIBS) of Chinese Academy of Sciences (CAS),1718,ncbi
GCF_018884245.1,PRJNA378436,ASM1888424v1,Complete Genome,na,SAMN06546659,2021-06-15,GCA_018884245.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_018884245.1,,yes,major,glutamicum,TCCC11822,Tianjin university of science and technology,1718,ncbi
GCF_001518935.2,PRJNA281531,ASM151893v2,Complete Genome,na,SAMN04158500,2016-02-17,GCA_001518935.2,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_001518935.2,,yes,major,glutamicum,USDA-ARS-USMARC-56828,USDA-ARS-USMARC,1718,ncbi
GCF_000828015.1,PRJNA271130,ASM82801v1,Complete Genome,na,SAMN03273898,2015-01-20,GCA_000828015.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_000828015.1,,yes,major,glutamicum,B253,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences",1718,ncbi
GCF_019551735.1,PRJNA690938,ASM1955173v1,Complete Genome,na,SAMN17267891,2021-08-11,GCA_019551735.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_019551735.1,,yes,major,glutamicum,ATCC 21573,marmara university,1718,ncbi
GCF_000742715.1,PRJNA246675,ASM74271v1,Complete Genome,na,SAMN02786782,2014-08-21,GCA_000742715.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_000742715.1,,yes,major,glutamicum,ATCC 21831,KAIST,1718,ncbi
GCF_007833335.1,PRJNA291352,ASM783333v1,Complete Genome,na,SAMN03943235,2019-08-05,GCA_007833335.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_007833335.1,,yes,major,glutamicum,CICC10064,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences",1718,ncbi
GCF_007833315.1,PRJNA291351,ASM783331v1,Complete Genome,na,SAMN03943234,2019-08-05,GCA_007833315.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_007833315.1,,yes,major,glutamicum,B414,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences",1718,ncbi
GCF_000742735.1,PRJNA246675,ASM74273v1,Complete Genome,na,SAMN02786783,2014-08-21,GCA_000742735.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_000742735.1,,yes,major,glutamicum,AR1,KAIST,1718,ncbi
GCF_007431185.1,PRJNA554987,ASM743118v1,Complete Genome,na,SAMN12288433,2019-07-25,GCA_007431185.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_007431185.1,,yes,major,glutamicum,JH41,The catholic university of korea,1718,ncbi
GCF_007430945.1,PRJNA554987,ASM743094v1,Complete Genome,na,SAMN12288429,2019-07-25,GCA_007430945.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_007430945.1,,yes,major,glutamicum,JH41 parent,The catholic university of korea,1718,ncbi
GCF_017579845.1,PRJNA646946,ASM1757984v1,Complete Genome,na,SAMN15568882,2021-03-24,GCA_017579845.1,full,Corynebacterium,Corynebacterium glutamicum (high G+C Gram-positive bacteria),GCF_017579845.1,,yes,major,glutamicum,BCA,I3S - Instituto de Investigacao e Inovacao em Saude,1718,ncbi
