genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_000009565.1,PRJEA28965,ASM956v1,Complete Genome,na,SAMEA2272558,2010-12-09,GCA_000009565.2,full,Escherichia,Escherichia coli BL21(DE3) (E. coli),GCF_000009565.1,,yes,major,coli,BL21(DE3),Austrian Center for Biopharmaceutical Technology,469008,ncbi
GCF_000005845.2,PRJNA225,ASM584v2,Complete Genome,na,SAMN02604091,2013-09-26,GCA_000005845.2,full,Escherichia,Escherichia coli str. K-12 substr. MG1655 (E. coli),GCF_000005845.2,Reference Genome,yes,major,coli,K-12 substr. MG1655,Univ. Wisconsin,511145,ncbi
GCF_000010245.2,PRJNA16351,ASM1024v1,Complete Genome,na,SAMD00061081,2006-01-23,GCA_000010245.1,full,Escherichia,Escherichia coli str. K-12 substr. W3110 (E. coli),GCF_000010245.2,,yes,major,coli,K-12 substr. W3110,Nara Institute of Science and Technology,316407,ncbi
GCF_000017985.1,PRJNA18281,ASM1798v1,Complete Genome,na,SAMN02603421,2009-07-15,GCA_000017985.1,full,Escherichia,Escherichia coli B str. REL606 (E. coli),GCF_000017985.1,,yes,major,coli,REL606,International E. coli B Consortium,413997,ncbi
GCF_000017765.1,PRJNA13959,ASM1776v1,Complete Genome,na,SAMN02604037,2007-09-10,GCA_000017765.1,full,Escherichia,Escherichia coli HS (E. coli),GCF_000017765.1,,yes,major,coli,HS,TIGR,331112,ncbi
GCF_000010485.1,PRJDA19053,ASM1048v1,Complete Genome,na,SAMD00060923,2009-12-14,GCA_000010485.1,full,Escherichia,Escherichia coli SE15 (E. coli),GCF_000010485.1,,yes,major,coli,SE15,Kitasato University,431946,ncbi
GCF_000013305.1,PRJNA16235,ASM1330v1,Complete Genome,na,SAMN02604181,2006-07-13,GCA_000013305.1,full,Escherichia,Escherichia coli 536 (E. coli),GCF_000013305.1,,yes,major,coli,536,University of Goettingen,362663,ncbi
GCF_000010385.1,PRJNA18057,ASM1038v1,Complete Genome,na,SAMD00061087,2008-10-22,GCA_000010385.1,full,Escherichia,Escherichia coli SE11 (E. coli),GCF_000010385.1,,yes,major,coli,SE11,Kitasato Institute for Life Sciences,409438,ncbi
GCF_000017745.1,PRJNA13960,ASM1774v1,Complete Genome,na,SAMN02604038,2007-09-11,GCA_000017745.1,full,Escherichia,Escherichia coli O139:H28 str. E24377A (E. coli),GCF_000017745.1,,yes,major,coli,E24377A,TIGR,331111,ncbi
GCF_000007445.1,PRJNA313,ASM744v1,Complete Genome,na,SAMN02604094,2002-12-06,GCA_000007445.1,full,Escherichia,Escherichia coli CFT073 (E. coli),GCF_000007445.1,,yes,major,coli,CFT073,Univ. Wisconsin,199310,ncbi
GCF_000013265.1,PRJNA16259,ASM1326v1,Complete Genome,na,SAMN00000110,2006-04-05,GCA_000013265.1,full,Escherichia,Escherichia coli UTI89 (E. coli),GCF_000013265.1,,yes,major,coli,UTI89,Washington University (WashU),364106,ncbi
GCF_000010745.1,PRJDA32511,ASM1074v1,Complete Genome,na,SAMD00060956,2009-09-10,GCA_000010745.1,full,Escherichia,Escherichia coli O103:H2 str. 12009 (E. coli),GCF_000010745.1,,yes,major,coli,12009,"University of Tokyo, Graduate School of Frontier Sciences",585395,ncbi
GCF_000006665.1,PRJNA259,ASM666v1,Chromosome,na,SAMN02604092,2004-12-06,GCA_000006665.1,full,Escherichia,Escherichia coli O157:H7 str. EDL933 (E. coli),GCF_000006665.1,,yes,major,coli,EDL933,Univ. Wisconsin,155864,ncbi
