genome_id,source
GCF_000647875.1,ncbi
GCF_002804165.1,ncbi
GCF_002094995.1,ncbi
GCF_003352445.1,ncbi
GCF_002907485.1,ncbi
GCF_000373305.1,ncbi
GCF_002705725.1,ncbi
GCF_001278095.1,ncbi
GCF_004000405.1,ncbi
GCF_006788935.1,ncbi
GCF_009862115.1,ncbi
GCF_004334925.1,ncbi
GCF_009862145.1,ncbi
GCF_009862205.1,ncbi
GCF_007679945.1,ncbi
GCF_011055525.1,ncbi
GCF_013363475.1,ncbi
GCF_013363675.1,ncbi
GCF_013363735.1,ncbi
GCF_014649215.1,ncbi
GCF_014281035.1,ncbi
GCF_018619535.1,ncbi
GCF_018619555.1,ncbi
GCF_018619495.1,ncbi
GCF_019798105.1,ncbi
GCF_018619585.1,ncbi
GCF_023277965.1,ncbi
GCF_024297125.1,ncbi
GCF_022399485.1,ncbi
GCF_022399545.1,ncbi
GCF_024365045.1,ncbi
GCF_026642235.1,ncbi
GCF_024742195.1,ncbi
GCF_030027225.1,ncbi
