genome_id,source
GCF_000023145.1,ncbi
GCF_001941345.1,ncbi
GCF_016728365.1,ncbi
GCF_900478045.1,ncbi
GCF_000022905.1,ncbi
GCF_000980815.1,ncbi
GCF_900478035.1,ncbi
GCF_007970465.1,ncbi
GCF_019047805.1,ncbi
GCF_023520795.1,ncbi
GCF_000011305.1,ncbi
GCF_900187295.1,ncbi
GCF_000344785.1,ncbi
GCF_900187235.1,ncbi
GCF_001941465.1,ncbi
GCF_028609865.1,ncbi
GCF_028609845.1,ncbi
GCF_000341345.1,ncbi
GCF_000767055.1,ncbi
GCF_000550785.1,ncbi
GCF_000550805.1,ncbi
GCF_000177535.2,ncbi
GCF_016728665.1,ncbi
GCF_000590555.1,ncbi
GCF_902702935.1,ncbi
GCF_009026825.1,ncbi
GCF_000442645.1,ncbi
GCF_000418365.1,ncbi
GCF_000835165.1,ncbi
GCF_001941485.1,ncbi
GCF_024453815.1,ncbi
GCF_002355155.1,ncbi
GCF_000626675.1,ncbi
GCF_001020985.1,ncbi
GCF_009734425.1,ncbi
GCF_001643015.1,ncbi
GCF_003813965.1,ncbi
GCF_001277995.1,ncbi
GCF_001941445.1,ncbi
GCF_000833575.1,ncbi
GCF_009734405.1,ncbi
GCF_001941565.1,ncbi
GCF_001274895.1,ncbi
GCF_001021045.1,ncbi
GCF_001021025.1,ncbi
GCF_014522205.1,ncbi
GCF_011038655.2,ncbi
GCF_001941505.1,ncbi
GCF_900187215.1,ncbi
GCF_020616335.1,ncbi
GCF_003065405.1,ncbi
GCF_009734385.1,ncbi
GCF_004795735.1,ncbi
GCF_001021065.1,ncbi
GCF_004114895.1,ncbi
GCF_007641235.1,ncbi
GCF_003070865.1,ncbi
GCF_000980835.1,ncbi
GCF_003814005.1,ncbi
GCF_014490555.1,ncbi
GCF_000732945.1,ncbi
GCF_000747315.1,ncbi
GCF_003813985.1,ncbi
GCF_014262665.1,ncbi
GCF_014490575.1,ncbi
GCF_011038645.2,ncbi
GCF_000404185.1,ncbi
GCF_002843135.1,ncbi
GCF_001865765.1,ncbi
GCF_000215645.1,ncbi
GCF_016728105.1,ncbi
GCF_016728725.1,ncbi
GCF_000006605.1,ncbi
GCF_003641245.1,ncbi
GCF_902381765.1,ncbi
GCF_001586235.1,ncbi
GCF_002162115.2,ncbi
GCF_016728645.1,ncbi
GCF_016628735.2,ncbi
GCF_020097615.1,ncbi
GCF_002287505.1,ncbi
GCF_020886775.1,ncbi
GCF_016599755.1,ncbi
GCF_900103625.1,ncbi
GCF_014117265.1,ncbi
GCF_014217255.1,ncbi
GCF_001263755.1,ncbi
GCF_000143825.1,ncbi
GCF_015351335.1,ncbi
GCF_000296405.1,ncbi
GCF_000175375.1,ncbi
GCF_000375365.1,ncbi
GCF_015752125.1,ncbi
GCF_007559235.1,ncbi
GCF_001412085.1,ncbi
GCF_003693265.1,ncbi
GCF_029383185.1,ncbi
GCF_900156665.1,ncbi
GCF_006539825.1,ncbi
GCF_900447205.1,ncbi
GCF_015351405.1,ncbi
GCF_000688415.1,ncbi
GCF_000411375.1,ncbi
GCF_000312345.1,ncbi
GCF_900105505.1,ncbi
GCF_001412105.1,ncbi
GCF_021568315.1,ncbi
GCF_900177745.1,ncbi
GCF_012396315.1,ncbi
GCF_006334925.1,ncbi
GCF_000403725.2,ncbi
GCF_900092335.1,ncbi
GCF_000372445.1,ncbi
GCF_000372085.1,ncbi
GCF_000428805.1,ncbi
GCF_000379705.1,ncbi
GCF_000372385.1,ncbi
GCF_000379425.1,ncbi
GCF_000427865.1,ncbi
GCF_001571025.1,ncbi
GCF_000420605.1,ncbi
GCF_000159635.1,ncbi
GCF_026930265.1,ncbi
GCF_013978595.1,ncbi
GCF_900169525.1,ncbi
GCF_019754945.1,ncbi
GCF_900078305.2,ncbi
GCF_900626215.1,ncbi
GCF_003716585.1,ncbi
GCF_900411315.1,ncbi
GCF_027570035.1,ncbi
GCF_027570065.1,ncbi
GCF_022869005.1,ncbi
GCF_900232865.1,ncbi
GCF_027570215.1,ncbi
GCF_027570155.1,ncbi
GCF_014837045.1,ncbi
GCF_008930985.1,ncbi
GCF_027570165.1,ncbi
GCF_027570075.1,ncbi
GCF_900155535.1,ncbi
GCF_027570195.1,ncbi
GCF_027570055.1,ncbi
GCF_900176865.1,ncbi
GCF_007859215.1,ncbi
GCF_900205605.1,ncbi
GCF_003932295.1,ncbi
GCF_000318135.1,ncbi
GCF_026236545.1,ncbi
GCF_002285125.1,ncbi
GCF_900113445.1,ncbi
GCF_000759055.1,ncbi
GCF_023155215.1,ncbi
GCF_026410325.1,ncbi
GCF_026410485.1,ncbi
GCF_026410355.1,ncbi
GCF_022012515.1,ncbi
GCF_013601105.1,ncbi
GCF_002847405.1,ncbi
GCF_027569975.1,ncbi
GCF_000011325.1,ncbi
GCF_000382905.1,ncbi
GCF_001457455.1,ncbi
GCF_902809765.1,ncbi
GCF_030408695.1,ncbi
GCF_020736085.1,ncbi
GCF_002155265.1,ncbi
GCF_900187135.1,ncbi
GCF_016727365.1,ncbi
GCF_016889365.1,ncbi
GCF_016128075.1,ncbi
GCF_030408615.1,ncbi
GCF_016889425.1,ncbi
GCF_028609885.1,ncbi
GCF_030408355.1,ncbi
GCF_030408375.1,ncbi
GCF_030408675.1,ncbi
GCF_016027615.1,ncbi
GCF_016728685.1,ncbi
GCF_030408555.1,ncbi
GCF_016728705.1,ncbi
GCF_011612265.2,ncbi
GCF_001941425.1,ncbi
GCF_030408755.1,ncbi
GCF_030408435.1,ncbi
GCF_030408395.1,ncbi
GCF_000766885.2,ncbi
GCF_030408835.1,ncbi
GCF_030408415.1,ncbi
GCF_030408655.1,ncbi
GCF_016127395.1,ncbi
GCF_030440595.1,ncbi
GCF_016889225.1,ncbi
GCF_016127975.1,ncbi
GCF_000069945.1,ncbi
GCF_030440305.1,ncbi
GCF_016728505.1,ncbi
GCF_019048165.1,ncbi
GCF_030408635.1,ncbi
GCF_016889465.1,ncbi
GCF_000819445.1,ncbi
GCF_020099275.1,ncbi
GCF_030440575.1,ncbi
GCF_028609805.1,ncbi
GCF_030440535.1,ncbi
GCF_030440555.1,ncbi
GCF_030408815.1,ncbi
GCF_030408855.1,ncbi
GCF_024453835.1,ncbi
GCF_030408795.1,ncbi
GCF_030408595.1,ncbi
GCF_030408735.1,ncbi
GCF_030408455.1,ncbi
GCF_000739455.1,ncbi
GCF_030408715.1,ncbi
GCF_030408575.1,ncbi
GCF_030408775.1,ncbi
GCF_900637605.1,ncbi
GCF_018286655.1,ncbi
GCF_002847425.1,ncbi
GCF_013046805.1,ncbi
GCF_001447865.2,ncbi
GCF_001643035.1,ncbi
GCF_001936195.1,ncbi
GCF_013014885.1,ncbi
GCF_002220135.1,ncbi
GCF_002163915.1,ncbi
GCF_029674605.1,ncbi
GCF_002355675.1,ncbi
GCF_001687645.1,ncbi
GCF_018884245.1,ncbi
GCF_001518935.2,ncbi
GCF_000828015.1,ncbi
GCF_019551735.1,ncbi
GCF_000742715.1,ncbi
GCF_007833335.1,ncbi
GCF_007833315.1,ncbi
GCF_000742735.1,ncbi
GCF_007431185.1,ncbi
GCF_007430945.1,ncbi
GCF_017579845.1,ncbi
GCF_019504365.1,ncbi
GCF_002277975.1,ncbi
GCF_000196335.1,ncbi
GCF_000010225.1,ncbi
GCF_000404145.1,ncbi
GCF_001683115.1,ncbi
GCF_002243555.1,ncbi
GCF_000445015.1,ncbi
GCF_021560255.1,ncbi
GCF_003194045.1,ncbi
GCF_021560235.1,ncbi
GCF_021560275.1,ncbi
GCF_900638705.1,ncbi
GCF_004758745.1,ncbi
GCF_020736105.1,ncbi
GCF_002073375.2,ncbi
GCF_021560315.1,ncbi
GCF_021560335.1,ncbi
GCF_001902275.1,ncbi
GCF_021560295.1,ncbi
GCF_900638715.1,ncbi
GCF_021052705.1,ncbi
GCF_021560215.1,ncbi
GCF_021560115.1,ncbi
GCF_020736125.1,ncbi
GCF_000195815.1,ncbi
GCF_000241875.1,ncbi
GCF_000255275.1,ncbi
GCF_000255175.1,ncbi
GCF_000241935.1,ncbi
GCF_000255195.1,ncbi
GCF_000242775.1,ncbi
GCF_000255155.1,ncbi
GCF_024968405.1,ncbi
GCF_024969465.1,ncbi
GCF_024968285.1,ncbi
GCF_024969365.1,ncbi
GCF_024969425.1,ncbi
GCF_000241915.1,ncbi
GCF_024969525.1,ncbi
GCF_024969485.1,ncbi
GCF_024969565.1,ncbi
GCF_024969505.1,ncbi
GCF_024969545.1,ncbi
GCF_024969445.1,ncbi
GCF_024968705.1,ncbi
GCF_024968525.1,ncbi
GCF_024968265.1,ncbi
GCF_024969205.1,ncbi
GCF_024968245.1,ncbi
