genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_030418195.1,PRJNA990579,ASM3041819v1,Contig,na,SAMN36271085,2023-07-10,GCA_030418195.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_030418195.1,,yes,major,mosselii,5(3),IBPM RAS,78327,ncbi
GCF_021283375.2,PRJNA788750,ASM2128337v2,Complete Genome,na,SAMN23773752,2023-06-30,GCA_021283375.2,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_021283375.2,,yes,major,mosselii,NMI4849_14,National Medicines Institute,78327,ncbi
GCF_029838575.1,PRJNA868296,ASM2983857v1,Contig,na,SAMN30525434,2023-04-19,GCA_029838575.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029838575.1,,yes,major,mosselii,GD03978,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029838655.1,PRJNA868296,ASM2983865v1,Contig,na,SAMN30525429,2023-04-19,GCA_029838655.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029838655.1,,yes,major,mosselii,GD03973,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029838905.1,PRJNA868296,ASM2983890v1,Contig,na,SAMN30525419,2023-04-19,GCA_029838905.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029838905.1,,yes,major,mosselii,GD03963,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029839145.1,PRJNA868296,ASM2983914v1,Contig,na,SAMN30525406,2023-04-19,GCA_029839145.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029839145.1,,yes,major,mosselii,GD03950,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029840975.1,PRJNA868296,ASM2984097v1,Contig,na,SAMN30525309,2023-04-19,GCA_029840975.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029840975.1,,yes,major,mosselii,GD03853,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029841265.1,PRJNA868296,ASM2984126v1,Contig,na,SAMN30525296,2023-04-19,GCA_029841265.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029841265.1,,yes,major,mosselii,GD03840,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029842385.1,PRJNA868296,ASM2984238v1,Contig,na,SAMN30525238,2023-04-19,GCA_029842385.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029842385.1,,yes,major,mosselii,GD03782,Washington University in St. Louis School of Medicine,78327,ncbi
GCF_029842535.1,PRJNA868296,ASM2984253v1,Contig,na,SAMN30525232,2023-04-19,GCA_029842535.1,full,Pseudomonas,Pseudomonas mosselii (g-proteobacteria),GCF_029842535.1,,yes,major,mosselii,GD03776,Washington University in St. Louis School of Medicine,78327,ncbi
