genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_002158885.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,4M13,GCF_002158885.1,1,2129370,2129370.0,2129370,2129370,2129370,2129370.0,2129370,2129370,100.0,ASM215888v1,1596,,GCF_002158885.1,GCA_002158885.1,yes,SAMN07160387,Wonkwang University,2017-05-30,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,1,0.3477986446695501,2129370,3.0,0.0,3.0,3.0
GCF_902386655.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,MGYG-HGUT-02387,GCF_902386655.1,1,2129370,2129370.0,2129370,2129370,2129370,2129370.0,2129370,2129370,100.0,UHGG_MGYG-HGUT-02387,1596,,GCF_902386655.1,GCA_902386655.1,yes,SAMEA5851891,EMG,2019-08-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,1,0.3477986446695501,2129370,3.0,0.0,3.0,3.0
GCF_013363915.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,EJL,GCF_013363915.1,1,2111859,2111859.0,2111859,2111859,2111859,2111859.0,2111859,2111859,100.0,ASM1336391v1,1596,,GCF_013363915.1,GCA_013363915.1,yes,SAMN15049686,KHEPRIOME,2020-06-21,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,1,0.3498860482636388,2111859,3.0,0.0,3.0,3.0
GCF_017840575.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,HL70,GCF_017840575.1,3,2176460,725486.7,2086542,2086542,2086542,2002247.144,37520,2086542,95.86861233378971,ASM1784057v1,1596,,GCF_017840575.1,GCA_017840575.1,yes,SAMN18524018,Hallym University,2021-04-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,3,0.3499825404556022,2176460,3.0,0.0,3.0,3.0
GCF_017498665.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,HL75,GCF_017498665.1,1,1988235,1988235.0,1988235,1988235,1988235,1988235.0,1988235,1988235,100.0,ASM1749866v1,1596,,GCF_017498665.1,GCA_017498665.1,yes,SAMN18236560,Hallym University,2021-03-21,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,1,0.3497157026206661,1988235,2.0,0.0,2.0,2.0
GCF_020995385.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,Lg1199,GCF_020995385.1,4,2081630,520407.5,1928547,1928547,1928547,1791110.996,23715,1928547,92.64600337235724,ASM2099538v1,1596,,GCF_020995385.1,GCA_020995385.1,yes,SAMN23313747,University of Texas at Dallas,2021-11-29,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,4,0.3466749614484802,2081630,3.0,1.0,4.0,4.0
GCF_002884735.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,UMB0056,GCF_002884735.1,7,1906916,272416.6,1094208,587013,210295,831820.678,311,1094208,57.38102779566588,ASM288473v1,1596,,GCF_002884735.1,GCA_002884735.1,yes,SAMN07511417,Loyola University Chicago,2018-01-10,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,7,0.3481034298312039,1906916,2.0,0.0,2.0,2.0
GCF_002863455.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,UMB0099,GCF_002863455.1,14,1945820,138987.1,1022543,448806,94136,662776.079,305,1022543,52.55074981241842,ASM286345v1,1596,,GCF_002863455.1,GCA_002863455.1,yes,SAMN08193696,Loyola University Chicago,2017-12-28,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,14,0.3495271916210132,1945820,2.0,0.0,2.0,2.0
GCF_018728605.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,LM19,GCF_018728605.1,25,1971357,78854.3,570354,409860,212004,541342.494,255,726732,28.932050359219563,ASM1872860v1,1596,,GCF_018728605.1,GCA_018728605.1,yes,SAMN11388075,Quadram Institute Bioscience and Teagasc,2021-06-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,25,0.3488155620722172,1971357,2.0,0.0,2.0,2.0
GCF_002007185.1,custom,Lactobacillus gasseri (firmicutes),Lactobacillus,gasseri,AL3,GCF_002007185.1,16,1987978,124248.6,1106151,559690,210225,797269.556,301,1106151,55.64201414703784,ASM200718v1,1596,,GCF_002007185.1,GCA_002007185.1,yes,SAMN06252408,University of Naples Federico II,2017-02-17,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,,Lactobacillus,16,0.3477769874716923,1987978,2.0,0.0,2.0,2.0
