genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_000688415.1,PRJNA215660,ASM68841v1,Contig,na,SAMN02743909,2014-04-08,GCA_000688415.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum DSM 44287 (high G+C Gram-positive bacteria),GCF_000688415.1,Representative Genome,yes,major,pseudodiphtheriticum,DSM 44287,DOE Joint Genome Institute,1121368,ncbi
GCF_023509275.1,PRJNA541851,ASM2350927v1,Complete Genome,na,SAMN24898294,2022-05-19,GCA_023509275.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_023509275.1,,yes,major,pseudodiphtheriticum,PC1145,"Divison of Bacterial Diseases, Centers for Disease Control",37637,ncbi
GCF_023509255.1,PRJNA541851,ASM2350925v1,Complete Genome,na,SAMN13559122,2022-05-19,GCA_023509255.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_023509255.1,,yes,major,pseudodiphtheriticum,CD1121,"Divison of Bacterial Diseases, Centers for Disease Control",37637,ncbi
GCF_023509295.1,PRJNA541851,ASM2350929v1,Complete Genome,na,SAMN24898280,2022-05-19,GCA_023509295.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_023509295.1,,yes,major,pseudodiphtheriticum,PC1130,"Divison of Bacterial Diseases, Centers for Disease Control",37637,ncbi
GCF_030515855.1,PRJNA842591,ASM3051585v1,Complete Genome,na,SAMN28690434,2023-07-21,GCA_030515855.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030515855.1,,yes,major,pseudodiphtheriticum,CPD,Semmelweis University,37637,ncbi
GCF_030515655.1,PRJNA842591,ASM3051565v1,Chromosome,na,SAMN28690444,2023-07-21,GCA_030515655.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030515655.1,,yes,major,pseudodiphtheriticum,CP10,Semmelweis University,37637,ncbi
GCF_030229145.1,PRJNA804245,ASM3022914v1,Scaffold,na,SAMN35346782,2023-06-07,GCA_030229145.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030229145.1,,yes,major,pseudodiphtheriticum,MSK300,Duke University,37637,ncbi
GCF_030175855.1,PRJNA842433,ASM3017585v1,Contig,na,SAMN35023430,2023-06-05,GCA_030175855.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030175855.1,,yes,major,pseudodiphtheriticum,KPL4066,Baylor College of Medicine,37637,ncbi
GCF_030229425.1,PRJNA804245,ASM3022942v1,Scaffold,na,SAMN35346761,2023-06-07,GCA_030229425.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030229425.1,,yes,major,pseudodiphtheriticum,MSK188,Duke University,37637,ncbi
GCF_030229785.1,PRJNA804245,ASM3022978v1,Scaffold,na,SAMN35346767,2023-06-07,GCA_030229785.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030229785.1,,yes,major,pseudodiphtheriticum,MSK202,Duke University,37637,ncbi
GCF_030229165.1,PRJNA804245,ASM3022916v1,Scaffold,na,SAMN35346773,2023-06-07,GCA_030229165.1,full,Corynebacterium,Corynebacterium pseudodiphtheriticum (high G+C Gram-positive bacteria),GCF_030229165.1,,yes,major,pseudodiphtheriticum,MSK223,Duke University,37637,ncbi
