genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_009913915.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,SRCM102733,GCF_009913915.1,3,2058732,686244.0,1988249,1988249,1988249,1921389.982,33117,1988249,96.57638779598317,ASM991391v1,1245,Representative Genome,GCF_009913915.1,GCA_009913915.1,yes,SAMN08707608,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,3,0.376913070763946,2058732,3.0,0.0,3.0,3.0
GCF_002370415.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,LK-151,GCF_002370415.1,4,2137369,534342.2,2090103,2090103,2090103,2044409.452,2869,2090103,97.78858961648643,ASM237041v1,1245,,GCF_002370415.1,GCA_002370415.1,yes,SAMD00065790,"Department of Life Science & Technology Faculty of Chemistry, Materials and Biotechnology Kansai University",2017-05-30,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,4,0.3768694128154755,2137369,3.0,0.0,3.0,3.0
GCF_004103675.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,SRCM103453,GCF_004103675.1,5,2182604,436520.8,2057400,2057400,2057400,1941371.235,15213,2057400,94.26354941162025,ASM410367v1,1245,,GCF_004103675.1,GCA_004103675.1,yes,SAMN10754493,Microbial Institute for Fermentation Industry,2019-01-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,5,0.3766331409637296,2182604,3.0,0.0,3.0,3.0
GCF_016127295.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,FDAARGOS_1033,GCF_016127295.1,2,2075758,1037879.0,2038391,2038391,2038391,2002369.333,37367,2038391,98.19983832412063,ASM1612729v1,1245,,GCF_016127295.1,GCA_016127295.1,yes,SAMN16357202,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,2,0.3766821565905081,2075758,4.0,0.0,4.0,4.0
GCF_019048965.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,WiKim32,GCF_019048965.1,5,2134525,426905.0,2017582,2017582,2017582,1908995.865,10187,2017582,94.52135721062064,ASM1904896v1,1245,,GCF_019048965.1,GCA_019048965.1,yes,SAMN11026499,world institute of kimchi,2021-06-28,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,5,0.3760265164380834,2134525,4.0,0.0,4.0,4.0
GCF_003255835.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,CBA7131,GCF_003255835.1,4,2087307,521826.8,2004569,2004569,2004569,1926210.923,24533,2004569,96.0361365146574,ASM325583v1,1245,,GCF_003255835.1,GCA_003255835.1,yes,SAMN07206913,Korea Food Research Institute,2018-06-18,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,4,0.3761866366567065,2087307,3.0,0.0,3.0,3.0
GCF_004194375.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,SRCM103460,GCF_004194375.1,5,2087214,417442.8,1980926,1980926,1980926,1881436.286,22435,1980926,94.90766160058337,ASM419437v1,1245,,GCF_004194375.1,GCA_004194375.1,yes,SAMN10743321,Microbial Institute for Fermentation Industry,2019-02-14,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,5,0.3759269533454643,2087214,3.0,0.0,3.0,3.0
GCF_009913935.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,SRCM102735,GCF_009913935.1,4,2058439,514609.8,1973483,1973483,1973483,1893284.422,18960,1973483,95.87279487028763,ASM991393v1,1245,,GCF_009913935.1,GCA_009913935.1,yes,SAMN08707610,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,4,0.375883861508648,2058439,3.0,0.0,3.0,3.0
GCF_021253825.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,KNU-2,GCF_021253825.1,5,2098412,419682.4,1973419,1973419,1973419,1858226.12,14080,1973419,94.04344809312948,ASM2125382v1,1245,,GCF_021253825.1,GCA_021253825.1,yes,SAMN10492388,Kangwon National University,2021-12-21,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,5,0.3777237263225715,2098412,3.0,0.0,3.0,3.0
GCF_004102585.1,custom,Leuconostoc mesenteroides (firmicutes),Leuconostoc,mesenteroides,SRCM103356,GCF_004102585.1,4,2039393,509848.2,1946833,1946833,1946833,1860029.356,17338,1946833,95.46139464046408,ASM410258v1,1245,,GCF_004102585.1,GCA_004102585.1,yes,SAMN10742283,Microbial Institute for Fermentation Industry,2019-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,,Leuconostoc,4,0.3756877659185846,2039393,3.0,0.0,3.0,3.0
