genome_id,source
GCF_000404005.1,ncbi
GCF_015645455.1,ncbi
GCF_020092045.1,ncbi
GCF_020092035.1,ncbi
GCF_011650445.1,ncbi
GCF_020092095.1,ncbi
GCF_015244315.1,ncbi
GCF_020092085.1,ncbi
GCF_020092025.1,ncbi
GCF_000721235.1,ncbi
GCF_020092125.1,ncbi
GCF_020092145.1,ncbi
GCF_020092165.1,ncbi
GCF_020092205.1,ncbi
GCF_020092175.1,ncbi
GCF_020092245.1,ncbi
GCF_020092225.1,ncbi
GCF_020092265.1,ncbi
GCF_020092255.1,ncbi
GCF_020092305.1,ncbi
GCF_020092325.1,ncbi
GCF_020092345.1,ncbi
GCF_020092355.1,ncbi
GCF_020092375.1,ncbi
GCF_020092425.1,ncbi
GCF_020092445.1,ncbi
GCF_020092465.1,ncbi
GCF_020092365.1,ncbi
GCF_020092485.1,ncbi
GCF_020092505.1,ncbi
GCF_020092525.1,ncbi
GCF_020092545.1,ncbi
GCF_020092585.1,ncbi
GCF_020092565.1,ncbi
GCF_020092605.1,ncbi
GCF_020092695.1,ncbi
GCF_020092645.1,ncbi
GCF_020092625.1,ncbi
GCF_020092665.1,ncbi
GCF_020092675.1,ncbi
GCF_020092725.1,ncbi
GCF_020685665.1,ncbi
GCF_022827705.1,ncbi
GCF_023805375.1,ncbi
GCF_027925665.1,ncbi
GCF_027925645.1,ncbi
GCF_029542005.1,ncbi
GCF_029866785.1,ncbi
