genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_000215645.1,PRJNA61801,ASM21564v1,Complete Genome,na,SAMN02603079,2011-06-02,GCA_000215645.1,full,Corynebacterium,Corynebacterium ulcerans 809 (high G+C Gram-positive bacteria),GCF_000215645.1,Representative Genome,yes,major,ulcerans,809,"Center for Biotechnology, Bielefeld University",945711,ncbi
GCF_900187135.1,PRJEB6403,51485_C02,Complete Genome,na,SAMEA4504038,2017-08-15,GCA_900187135.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_900187135.1,,yes,major,ulcerans,NCTC7910,SC,65058,ncbi
GCF_016727365.1,PRJNA231221,ASM1672736v1,Complete Genome,na,SAMN16357287,2021-01-20,GCA_016727365.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_016727365.1,,yes,major,ulcerans,FDAARGOS_1118,US Food and Drug Administration,65058,ncbi
GCF_009002285.1,PRJDB8202,ASM900228v1,Complete Genome,na,SAMD00168434,2019-09-05,GCA_009002285.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_009002285.1,,yes,major,ulcerans,FH2016-1,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",65058,ncbi
GCF_008995395.1,PRJDB8202,ASM899539v1,Complete Genome,na,SAMD00168433,2019-09-05,GCA_008995395.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_008995395.1,,yes,major,ulcerans,0211,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",65058,ncbi
GCF_009789155.1,PRJNA594551,ASM978915v1,Complete Genome,na,SAMN13521090,2019-12-21,GCA_009789155.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_009789155.1,,yes,major,ulcerans,MRi49,UFMG,65058,ncbi
GCF_030295465.1,PRJDB14999,ASM3029546v1,Complete Genome,na,SAMD00567576,2023-02-03,GCA_030295465.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_030295465.1,,yes,major,ulcerans,TSU-28,Shimane Prefectural Institute of Public Health and Environmental Science,65058,ncbi
GCF_014792805.1,PRJNA638049,ASM1479280v1,Complete Genome,na,SAMN15165966,2020-09-29,GCA_014792805.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_014792805.1,,yes,major,ulcerans,LIV-14050,University of Liverpool,65058,ncbi
GCF_000767645.1,PRJNA260628,ASM76764v1,Complete Genome,na,SAMN03025287,2014-10-22,GCA_000767645.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_000767645.1,,yes,major,ulcerans,210931,Federal University of Minas Gerais,65058,ncbi
GCF_000767415.1,PRJNA260630,ASM76741v1,Complete Genome,na,SAMN03025288,2014-10-20,GCA_000767415.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_000767415.1,,yes,major,ulcerans,210932,Federal University of Minas Gerais,65058,ncbi
GCF_001281445.1,PRJNA273964,ASM128144v1,Complete Genome,na,SAMN03316967,2015-09-14,GCA_001281445.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_001281445.1,,yes,major,ulcerans,131001,Federal University of Minas Gerais,65058,ncbi
GCF_900475605.1,PRJEB6403,45532_A02,Complete Genome,na,SAMEA3919791,2018-06-17,GCA_900475605.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_900475605.1,,yes,major,ulcerans,NCTC13718,SC,65058,ncbi
GCF_000769635.1,PRJNA263610,ASM76963v1,Complete Genome,na,SAMN03104569,2014-10-28,GCA_000769635.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_000769635.1,,yes,major,ulcerans,05146,Federal University of Minas Gerais,65058,ncbi
GCF_900475775.1,PRJEB6403,46941_E01,Complete Genome,na,SAMEA4017706,2018-06-17,GCA_900475775.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_900475775.1,,yes,major,ulcerans,NCTC8639,SC,65058,ncbi
GCF_900475635.1,PRJEB6403,45076_H01,Complete Genome,na,SAMEA3893446,2018-06-17,GCA_900475635.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_900475635.1,,yes,major,ulcerans,NCTC7908,SC,65058,ncbi
GCF_949127625.1,PRJEB22103,FRC0011_h,Complete Genome,na,SAMEA112465938,2023-03-10,GCA_949127625.2,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_949127625.1,,yes,major,ulcerans,FRC0011,Institut Pasteur,65058,ncbi
GCF_000968945.1,PRJNA278475,ASM96894v1,Complete Genome,na,SAMN03418694,2015-04-03,GCA_000968945.1,full,Corynebacterium,Corynebacterium ulcerans (high G+C Gram-positive bacteria),GCF_000968945.1,,yes,major,ulcerans,131002,Federal University of Minas Gerais,65058,ncbi
GCF_000767685.1,PRJNA263376,ASM76768v1,Complete Genome,na,SAMN03099770,2014-10-22,GCA_000767685.1,full,Corynebacterium,Corynebacterium ulcerans FRC11 (high G+C Gram-positive bacteria),GCF_000767685.1,,yes,major,ulcerans,FRC11,Federal University of Minas Gerais,1006579,ncbi
