genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_008084965.1,custom,Lactobacillus sp. SL9-6 (firmicutes),Lactobacillus,sp.,SL9-6,GCF_008084965.1,15,2516449,167763.3,543803,329447,107029,544563.31,310,891053,21.609935269898177,ASM808496v1,2604480,,GCF_008084965.1,GCA_008084965.1,yes,SAMN12586662,Chulalongkorn University,2019-08-24,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,15,0.4577648901289078,2516449,3.0,0.0,3.0,3.0
GCF_003813165.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,LMT1-73,GCF_003813165.1,3,2529623,843207.7,2485914,2485914,2485914,2443438.327,10582,2485914,98.27211406600904,ASM381316v1,1580,Representative Genome,GCF_003813165.1,GCA_003813165.1,yes,SAMN10417161,Medytox,2018-11-21,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,3,0.4587221099744902,2529623,1.0,0.0,1.0,1.0
GCF_900475625.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,NCTC13768,GCF_900475625.1,1,2494328,2494328.0,2494328,2494328,2494328,2494328.0,2494328,2494328,100.0,45709_F01,1580,,GCF_900475625.1,GCA_900475625.1,yes,SAMEA3919799,SC,2018-06-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,1,0.460001250837901,2494328,1.0,0.0,1.0,1.0
GCF_002762175.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,BDGP6,GCF_002762175.1,1,2785111,2785111.0,2785111,2785111,2785111,2785111.0,2785111,2785111,100.0,ASM276217v1,1580,,GCF_002762175.1,GCA_002762175.1,yes,SAMN07965606,Lawrence Berkeley National Laboratory,2017-11-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,1,0.4557215134333964,2785111,1.0,0.0,1.0,1.0
GCF_006228205.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,UCCLBBS124,GCF_006228205.1,5,2728238,545647.6,2612259,2612259,2612259,2502650.454,20971,2612259,95.7489412580574,ASM622820v1,1580,,GCF_006228205.1,GCA_006228205.1,yes,SAMN08351564,University College Cork,2019-06-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,5,0.4558099403351174,2728238,1.0,0.0,1.0,1.0
GCF_006228285.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,UCCLBBS449,GCF_006228285.1,10,2775071,277507.1,2582548,2582548,2582548,2406173.597,2763,2582548,93.0624117364925,ASM622828v1,1580,,GCF_006228285.1,GCA_006228285.1,yes,SAMN08354482,University College Cork,2019-06-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,10,0.4541894603777705,2775071,3.0,0.0,3.0,3.0
GCF_002117345.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,TMW 1.2108,GCF_002117345.1,9,2917978,324219.8,2566011,2566011,107035,2265015.316,5108,2566011,87.93798308280597,ASM211734v1,1580,,GCF_002117345.1,GCA_002117345.1,yes,SAMN04517635,Technische Universitaet Muenchen,2017-05-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,9,0.4529273352986211,2917978,2.0,0.0,2.0,2.0
GCF_001676805.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,NPS-QW-145,GCF_001676805.1,1,2552671,2552671.0,2552671,2552671,2552671,2552671.0,2552671,2552671,100.0,ASM167680v1,1580,,GCF_001676805.1,GCA_001676805.1,yes,SAMN04871683,The University of Hong Kong,2016-06-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,1,0.4580609878828882,2552671,1.0,0.0,1.0,1.0
GCF_002117325.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,TMW 1.2113,GCF_002117325.1,5,2667873,533574.6,2537412,2537412,2537412,2415244.442,8512,2537412,95.10992464783745,ASM211732v1,1580,,GCF_002117325.1,GCA_002117325.1,yes,SAMN04517634,Technische Universitaet Muenchen,2017-05-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,5,0.4573516055674314,2667873,3.0,0.0,3.0,3.0
GCF_006228265.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,UCCLB95,GCF_006228265.1,3,2528774,842924.7,2511216,2511216,2511216,2493862.523,3546,2511216,99.30567144394873,ASM622826v1,1580,,GCF_006228265.1,GCA_006228265.1,yes,SAMN08354483,University College Cork,2019-06-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,3,0.4586716725179869,2528774,1.0,0.0,1.0,1.0
GCF_003184305.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,ZLB004,GCF_003184305.1,6,2655087,442514.5,2443996,2443996,2443996,2254020.98,16724,2443996,92.0495637242772,ASM318430v1,1580,,GCF_003184305.1,GCA_003184305.1,yes,SAMN06237125,Beijing Academy of Agriculture and Forestry Sciences,2018-06-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,6,0.456469411360155,2655087,1.0,0.0,1.0,1.0
GCF_006228225.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,SA-C12,GCF_006228225.1,3,2508862,836287.3,2440441,2440441,2440441,2374889.834,24780,2440441,97.27282728185128,ASM622822v1,1580,,GCF_006228225.1,GCA_006228225.1,yes,SAMN08354551,University College Cork,2019-06-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,3,0.4573683207765114,2508862,3.0,0.0,3.0,3.0
GCF_002174235.1,custom,Levilactobacillus brevis (firmicutes),Levilactobacillus,brevis,SRCM101106,GCF_002174235.1,5,2554125,510825.0,2440326,2440326,2440326,2332957.65,16049,2440326,95.54450154162384,ASM217423v1,1580,,GCF_002174235.1,GCA_002174235.1,yes,SAMN07125941,Microbial Institiue for Fermentation Industry,2017-06-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,,Levilactobacillus,5,0.4562705427494739,2554125,3.0,0.0,3.0,3.0
