genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_021282625.2,PRJNA788750,ASM2128262v2,Complete Genome,na,SAMN23773730,2023-06-30,GCA_021282625.2,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021282625.2,,yes,major,monteilii,NMI8712_11,National Medicines Institute,76759,ncbi
GCF_021282645.2,PRJNA788750,ASM2128264v2,Complete Genome,na,SAMN23773731,2023-06-30,GCA_021282645.2,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021282645.2,,yes,major,monteilii,NMI10873_11,National Medicines Institute,76759,ncbi
GCF_021283055.2,PRJNA788750,ASM2128305v2,Complete Genome,na,SAMN23773763,2023-06-30,GCA_021283055.2,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021283055.2,,yes,major,monteilii,NMI135_16,National Medicines Institute,76759,ncbi
GCF_021283365.2,PRJNA788750,ASM2128336v2,Complete Genome,na,SAMN23773737,2023-06-30,GCA_021283365.2,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021283365.2,,yes,major,monteilii,NMI6266_12,National Medicines Institute,76759,ncbi
GCF_021282525.2,PRJNA788750,ASM2128252v2,Complete Genome,na,SAMN23773709,2023-06-29,GCA_021282525.2,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021282525.2,,yes,major,monteilii,NMI985_06,National Medicines Institute,76759,ncbi
GCF_029837455.1,PRJNA868296,ASM2983745v1,Contig,na,SAMN30525483,2023-04-19,GCA_029837455.1,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_029837455.1,,yes,major,monteilii,GD04027,Washington University in St. Louis School of Medicine,76759,ncbi
GCF_028682695.1,PRJNA860640,ASM2868269v1,Contig,na,SAMN29855431,2023-02-17,GCA_028682695.1,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_028682695.1,,yes,major,monteilii,17453,UC San Diego,76759,ncbi
GCF_022867785.1,PRJNA821994,ASM2286778v1,Scaffold,na,SAMN27162600,2022-04-09,GCA_022867785.1,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_022867785.1,,yes,major,monteilii,HB41,Hebei University,76759,ncbi
GCF_021497465.1,PRJNA658722,ASM2149746v1,Complete Genome,na,SAMN15887528,2022-01-18,GCA_021497465.1,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021497465.1,,yes,major,monteilii,A2,Hunan Agricultural University,76759,ncbi
GCF_021282545.1,PRJNA788750,ASM2128254v1,Contig,na,SAMN23773717,2021-12-25,GCA_021282545.1,full,Pseudomonas,Pseudomonas monteilii (g-proteobacteria),GCF_021282545.1,,yes,major,monteilii,NMI2188_10,National Medicines Institute,76759,ncbi
