genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_001008755.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,ATCC 27780,GCF_001008755.1,121,2025875,16742.8,50024,25834,14092,54720.691,148,160191,2.4692540260381315,ASM100875v1,1623,,GCF_001008755.1,GCA_001008755.1,yes,SAMN02650410,Teagasc Food Research Centre,2015-05-18,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,121,0.43360720676251,2025875,2.0,1.0,2.0,2.0
GCF_009679165.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A5,GCF_009679165.1,104,2278508,21908.7,141657,63172,23271,138284.695,1008,269094,6.217094695300609,ASM967916v1,1623,,GCF_009679165.1,GCA_009679165.1,yes,SAMN11946132,Massachusetts Institute of Technology,2019-11-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,104,0.4377026545441139,2278508,3.0,0.0,3.0,3.0
GCF_003436835.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,TF10-9AT,GCF_003436835.1,24,2171083,90461.8,133440,106511,101686,202816.714,565,413303,6.1462412998489695,ASM343683v1,1623,,GCF_003436835.1,GCA_003436835.1,yes,SAMN09736943,BGI,2018-08-31,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,24,0.438287251109239,2171083,2.0,1.0,2.0,2.0
GCF_009679205.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A4,GCF_009679205.1,159,2303365,14486.6,127738,54552,17442,133153.44,1001,269535,5.545712468497177,ASM967920v1,1623,,GCF_009679205.1,GCA_009679205.1,yes,SAMN11946131,Massachusetts Institute of Technology,2019-11-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,159,0.4411411131106012,2303365,3.0,0.0,3.0,3.0
GCF_009679155.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A6,GCF_009679155.1,36,2131094,59197.1,127530,65374,32937,142420.421,1211,267459,5.984250342781689,ASM967915v1,1623,,GCF_009679155.1,GCA_009679155.1,yes,SAMN11946133,Massachusetts Institute of Technology,2019-11-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,36,0.4375297382471163,2131094,3.0,0.0,3.0,3.0
GCF_009679235.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A1,GCF_009679235.1,36,2137966,59387.9,106227,68160,34323,136436.805,1052,269468,4.968600997396591,ASM967923v1,1623,,GCF_009679235.1,GCA_009679235.1,yes,SAMN11946128,Massachusetts Institute of Technology,2019-11-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,36,0.4375934883903672,2137966,3.0,0.0,3.0,3.0
GCF_902374165.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,MGYG-HGUT-01334,GCF_902374165.1,7,2108740,301248.6,1099846,251051,112590,708755.902,49674,1099846,52.15654846021795,MGYG-HGUT-01334,1623,,GCF_902374165.1,GCA_902374165.1,yes,SAMEA5850837,EMG,2019-08-22,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,7,0.4363098343086393,2108740,2.0,0.0,2.0,2.0
GCF_009679195.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A3,GCF_009679195.1,49,2151294,43904.0,82716,56591,34323,124731.006,1022,269587,3.844941695556256,ASM967919v1,1623,,GCF_009679195.1,GCA_009679195.1,yes,SAMN11946130,Massachusetts Institute of Technology,2019-11-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,49,0.4377444459009322,2151294,3.0,0.0,3.0,3.0
GCF_002076375.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,PEL66,GCF_002076375.1,49,2020221,41229.0,79625,62040,30181,92843.529,640,204206,3.9414004705425794,ASM207637v1,1623,,GCF_002076375.1,GCA_002076375.1,yes,SAMN06140972,Helsinki University,2017-03-31,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,49,0.4340906267185619,2020221,2.0,0.0,2.0,2.0
GCF_009677765.1,custom,Ligilactobacillus ruminis (firmicutes),Ligilactobacillus,ruminis,BIOML-A27,GCF_009677765.1,49,2144749,43770.4,77367,39027,23269,98034.45,1291,243331,3.607275256918176,ASM967776v1,1623,,GCF_009677765.1,GCA_009677765.1,yes,SAMN11946154,Massachusetts Institute of Technology,2019-11-20,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,,Ligilactobacillus,49,0.43689028413115,2144749,2.0,1.0,2.0,2.0
