genome_id,source
GCF_000495755.1,ncbi
GCF_000359525.1,ncbi
GCF_000373225.1,ncbi
GCF_000495635.2,ncbi
GCF_000717375.1,ncbi
GCF_000719435.1,ncbi
GCF_000721455.1,ncbi
GCF_000719955.1,ncbi
GCF_000725635.1,ncbi
GCF_001014595.1,ncbi
GCF_001577385.1,ncbi
GCF_001431765.1,ncbi
GCF_002188355.1,ncbi
GCF_001865795.1,ncbi
GCF_001704195.1,ncbi
GCF_002910725.2,ncbi
GCF_002844215.1,ncbi
GCF_003428925.1,ncbi
GCF_004195735.1,ncbi
GCF_004124335.1,ncbi
GCF_004195745.1,ncbi
GCF_004195755.1,ncbi
GCF_004195765.1,ncbi
GCF_004195775.1,ncbi
GCF_004195835.1,ncbi
GCF_004195845.1,ncbi
GCF_004195885.1,ncbi
GCF_004195895.1,ncbi
GCF_004195855.1,ncbi
GCF_004195945.1,ncbi
GCF_004195935.1,ncbi
GCF_004195955.1,ncbi
GCF_004195965.1,ncbi
GCF_004196045.1,ncbi
GCF_004196035.1,ncbi
GCF_004196055.1,ncbi
GCF_004195995.1,ncbi
GCF_004196095.1,ncbi
GCF_004196115.1,ncbi
GCF_004196125.1,ncbi
GCF_004196145.1,ncbi
GCF_004196135.1,ncbi
GCF_004196155.1,ncbi
GCF_004196225.1,ncbi
GCF_004196215.1,ncbi
GCF_009834105.1,ncbi
GCF_007896905.1,ncbi
GCF_009846825.1,ncbi
GCF_010523235.1,ncbi
GCF_012184365.2,ncbi
GCF_013363465.1,ncbi
GCF_013363555.1,ncbi
GCF_013693715.1,ncbi
GCF_015601545.1,ncbi
GCF_014280995.1,ncbi
GCF_016613285.1,ncbi
GCF_016613335.1,ncbi
GCF_017979945.1,ncbi
GCF_016803985.1,ncbi
GCF_018638335.1,ncbi
GCF_019067045.1,ncbi
GCF_019219645.1,ncbi
GCF_019219685.1,ncbi
GCF_019286295.1,ncbi
GCF_019286195.1,ncbi
GCF_020521315.1,ncbi
GCF_020535385.1,ncbi
GCF_020881855.1,ncbi
GCF_022026295.1,ncbi
GCF_022213265.1,ncbi
GCF_022695635.1,ncbi
GCF_022399495.1,ncbi
GCF_022399585.1,ncbi
GCF_023168385.1,ncbi
GCF_023502165.1,ncbi
GCF_023717205.1,ncbi
GCF_024105315.1,ncbi
GCF_024107515.1,ncbi
GCF_024586905.1,ncbi
GCF_024499195.1,ncbi
GCF_024592655.1,ncbi
GCF_025630915.1,ncbi
GCF_025957665.1,ncbi
GCF_026210455.1,ncbi
GCF_026635925.1,ncbi
GCF_026339675.1,ncbi
GCF_026339695.1,ncbi
GCF_026341425.1,ncbi
GCF_026626005.1,ncbi
GCF_026636035.1,ncbi
GCF_029892465.1,ncbi
GCF_029961205.1,ncbi
GCF_900091885.1,ncbi
GCF_947311705.1,ncbi
