genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_030717425.1,PRJNA1000639,ASM3071742v1,Complete Genome,na,SAMN36811527,2023-08-12,GCA_030717425.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030717425.1,,yes,major,putida,MRSN365855,The University of Sydney,303,ncbi
GCF_030440385.1,PRJNA836759,ASM3044038v1,Complete Genome,na,SAMN28173431,2023-07-12,GCA_030440385.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030440385.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_021283075.2,PRJNA788750,ASM2128307v2,Complete Genome,na,SAMN23773712,2023-06-30,GCA_021283075.2,full,Pseudomonas,Pseudomonas alloputida (g-proteobacteria),GCF_021283075.2,,yes,major,alloputida,NMI5594_09,National Medicines Institute,1940621,ncbi
GCF_021283545.2,PRJNA788750,ASM2128354v2,Complete Genome,na,SAMN23773755,2023-06-30,GCA_021283545.2,full,Pseudomonas,Pseudomonas alloputida (g-proteobacteria),GCF_021283545.2,Representative Genome,yes,major,alloputida,NMI24_14,National Medicines Institute,1940621,ncbi
GCF_021282465.2,PRJNA788750,ASM2128246v2,Contig,na,SAMN23773748,2023-06-25,GCA_021282465.2,full,Pseudomonas,Pseudomonas alloputida (g-proteobacteria),GCF_021282465.2,,yes,major,alloputida,NMI5768_13,National Medicines Institute,1940621,ncbi
GCF_021282725.2,PRJNA788750,ASM2128272v2,Contig,na,SAMN23773720,2023-06-25,GCA_021282725.2,full,Pseudomonas,Pseudomonas alloputida (g-proteobacteria),GCF_021282725.2,,yes,major,alloputida,NMI2291_10,National Medicines Institute,1940621,ncbi
GCF_029590515.1,PRJNA945798,ASM2959051v1,Complete Genome,na,SAMN33792085,2023-04-05,GCA_029590515.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_029590515.1,,yes,major,putida,AHSWHJXPP1,The Affiliated Hospital Of Southwest Medical University,303,ncbi
GCF_900183025.1,PRJEB20716,IMG-taxon 2675902956 annotated assembly,Chromosome,na,SAMN05216380,2023-03-30,GCA_900183025.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_900183025.1,,yes,major,putida,mt-2,DOE - JOINT GENOME INSTITUTE,303,ncbi
GCF_028682255.1,PRJNA860640,ASM2868225v1,Contig,na,SAMN29855455,2023-02-17,GCA_028682255.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682255.1,,yes,major,putida,55687,UC San Diego,303,ncbi
GCF_028682275.1,PRJNA860640,ASM2868227v1,Contig,na,SAMN29855454,2023-02-17,GCA_028682275.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682275.1,,yes,major,putida,53902,UC San Diego,303,ncbi
GCF_028682295.1,PRJNA860640,ASM2868229v1,Contig,na,SAMN29855453,2023-02-17,GCA_028682295.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682295.1,,yes,major,putida,53645,UC San Diego,303,ncbi
GCF_028682315.1,PRJNA860640,ASM2868231v1,Contig,na,SAMN29855451,2023-02-17,GCA_028682315.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682315.1,,yes,major,putida,49128,UC San Diego,303,ncbi
GCF_028682335.1,PRJNA860640,ASM2868233v1,Contig,na,SAMN29855449,2023-02-17,GCA_028682335.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682335.1,,yes,major,putida,43142,UC San Diego,303,ncbi
GCF_028682345.1,PRJNA860640,ASM2868234v1,Contig,na,SAMN29855452,2023-02-17,GCA_028682345.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682345.1,,yes,major,putida,49688,UC San Diego,303,ncbi
GCF_028682375.1,PRJNA860640,ASM2868237v1,Contig,na,SAMN29855448,2023-02-17,GCA_028682375.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682375.1,,yes,major,putida,39213,UC San Diego,303,ncbi
GCF_028682425.1,PRJNA860640,ASM2868242v1,Contig,na,SAMN29855446,2023-02-17,GCA_028682425.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682425.1,,yes,major,putida,31916,UC San Diego,303,ncbi
GCF_028682535.1,PRJNA860640,ASM2868253v1,Contig,na,SAMN29855439,2023-02-17,GCA_028682535.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682535.1,,yes,major,putida,23973,UC San Diego,303,ncbi
GCF_028682545.1,PRJNA860640,ASM2868254v1,Contig,na,SAMN29855440,2023-02-17,GCA_028682545.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682545.1,,yes,major,putida,23974,UC San Diego,303,ncbi
GCF_028682745.1,PRJNA860640,ASM2868274v1,Contig,na,SAMN29855429,2023-02-17,GCA_028682745.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682745.1,,yes,major,putida,17421,UC San Diego,303,ncbi
GCF_028682795.1,PRJNA860640,ASM2868279v1,Contig,na,SAMN29855427,2023-02-17,GCA_028682795.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682795.1,,yes,major,putida,15070,UC San Diego,303,ncbi
GCF_027886605.1,PRJNA914626,ASM2788660v1,Complete Genome,na,SAMN32340834,2023-01-17,GCA_027886605.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_027886605.1,,yes,major,putida,PD689_delTT1,"Faculty of Science, Masaryk University",303,ncbi
GCF_027886645.1,PRJNA914626,ASM2788664v1,Complete Genome,na,SAMN32340833,2023-01-17,GCA_027886645.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_027886645.1,,yes,major,putida,PD584_L3,"Faculty of Science, Masaryk University",303,ncbi
GCF_027886665.1,PRJNA914626,ASM2788666v1,Complete Genome,na,SAMN32340832,2023-01-17,GCA_027886665.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_027886665.1,,yes,major,putida,PD584,"Faculty of Science, Masaryk University",303,ncbi
GCF_027595085.1,PRJNA833765,ASM2759508v1,Complete Genome,na,SAMN28016848,2023-01-09,GCA_027595085.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_027595085.1,,yes,major,putida,NY4811,Beijing Institute of Microbiology and Epidemiology,303,ncbi
GCF_026428315.1,PRJNA669150,ASM2642831v1,Complete Genome,na,SAMN16439404,2022-11-28,GCA_026428315.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_026428315.1,,yes,major,putida,PC-578038,Metabolik Technologies,303,ncbi
GCF_026183455.1,PRJNA899573,ASM2618345v1,Complete Genome,na,SAMN31664999,2022-11-15,GCA_026183455.1,full,Pseudomonas,Pseudomonas putida DOT-T1E (g-proteobacteria),GCF_026183455.1,,yes,major,putida,DOT-T1E,University of Arkansas for Medical Sciences,1196325,ncbi
GCF_025985505.1,PRJNA524303,ASM2598550v1,Complete Genome,na,SAMN11022114,2022-11-03,GCA_025985505.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_025985505.1,,yes,major,putida,PP1,Universite Claude Bernard Lyon 1,303,ncbi
GCF_024662275.1,PRJNA836759,ASM2466227v1,Chromosome,na,SAMN28173430,2022-08-15,GCA_024662275.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024662275.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_024662295.1,PRJNA836759,ASM2466229v1,Chromosome,na,SAMN28173429,2022-08-15,GCA_024662295.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024662295.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_024662315.1,PRJNA836759,ASM2466231v1,Complete Genome,na,SAMN28173428,2022-08-15,GCA_024662315.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024662315.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_024662335.1,PRJNA836759,ASM2466233v1,Complete Genome,na,SAMN28173427,2022-08-15,GCA_024662335.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024662335.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_024662355.1,PRJNA836759,ASM2466235v1,Complete Genome,na,SAMN28173426,2022-08-15,GCA_024662355.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024662355.1,,yes,major,putida,KT2440,DTU Biosustain,303,ncbi
GCF_024520415.1,PRJNA674484,ASM2452041v1,Contig,na,SAMN27177293,2022-08-03,GCA_024520415.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024520415.1,,yes,major,putida,T815,City University of Hong Kong,303,ncbi
GCF_024520535.1,PRJNA674484,ASM2452053v1,Contig,na,SAMN27177288,2022-08-03,GCA_024520535.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024520535.1,,yes,major,putida,T901,City University of Hong Kong,303,ncbi
GCF_024520555.1,PRJNA674484,ASM2452055v1,Scaffold,na,SAMN27177287,2022-08-03,GCA_024520555.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024520555.1,,yes,major,putida,T883,City University of Hong Kong,303,ncbi
GCF_024520575.1,PRJNA674484,ASM2452057v1,Scaffold,na,SAMN27177286,2022-08-03,GCA_024520575.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024520575.1,,yes,major,putida,T844,City University of Hong Kong,303,ncbi
