genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_001951095.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CMS3,GCF_001951095.1,2,2363492,1181746.0,2342907,2342907,2342907,2322680.573,20585,2342907,99.12904295846992,ASM195109v1,137591,Representative Genome,GCF_001951095.1,GCA_001951095.1,yes,SAMN04328350,Oradentics,2017-01-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,2,0.4525748341860264,2363492,1.0,0.0,1.0,1.0
GCF_003076495.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,M2,GCF_003076495.1,3,2610714,870238.0,2556971,2556971,2556971,2504903.532,22296,2556971,97.9414443711567,ASM307649v1,137591,,GCF_003076495.1,GCA_003076495.1,yes,SAMN06670431,chengdu medical college,2018-05-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,3,0.4482517043230319,2610714,1.0,0.0,1.0,1.0
GCF_001308145.2,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CH2,GCF_001308145.2,7,2577731,368247.3,2466961,2466961,2466961,2362248.544,2861,2466961,95.702809951853,ASM130814v2,137591,,GCF_001308145.2,GCA_001308145.2,yes,SAMN04120644,CSIR-Institute of Himalayan Bioresource Technology,2015-10-08,na,minor,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,7,0.4473259622512977,2577731,1.0,0.0,1.0,1.0
GCF_003010455.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,BM2,GCF_003010455.1,2,2473510,1236755.0,2462443,2462443,2462443,2451475.032,11067,2462443,99.552579128445,ASM301045v1,137591,,GCF_003010455.1,GCA_003010455.1,yes,SAMN08628864,Dankook University,2018-03-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,2,0.4505819665172164,2473510,1.0,0.0,1.0,1.0
GCF_004103655.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,SRCM103448,GCF_004103655.1,4,2453054,613263.5,2397676,2397676,2397676,2344073.153,6523,2397676,97.74248752779188,ASM410365v1,137591,,GCF_004103655.1,GCA_004103655.1,yes,SAMN10754492,Microbial Institute for Fermentation Industry,2019-01-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,4,0.450322740551166,2453054,1.0,0.0,1.0,1.0
GCF_006517775.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CBA3612,GCF_006517775.1,4,2457678,614419.5,2382774,2382774,2382774,2310970.575,15963,2382774,96.95224516800003,ASM651777v1,137591,,GCF_006517775.1,GCA_006517775.1,yes,SAMN12084129,World Institute of Kimchi,2019-07-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,4,0.4497993634642129,2457678,1.0,0.0,1.0,1.0
GCF_014081885.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CBA3636,GCF_014081885.1,3,2423709,807903.0,2364071,2364071,2364071,2306639.942,27178,2364071,97.5393910737634,ASM1408188v1,137591,,GCF_014081885.1,GCA_014081885.1,yes,SAMN15659522,World Institute of Kimchi,2020-08-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,3,0.4498935309478159,2423709,1.0,0.0,1.0,1.0
GCF_001951075.2,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CMU,GCF_001951075.2,2,2381468,1190734.0,2362501,2362501,2362501,2343836.122,18967,2362501,99.20355847737612,ASM195107v2,137591,,GCF_001951075.2,GCA_001951075.2,yes,SAMN04328351,Oradentics,2017-01-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,2,0.4526649108868983,2381468,1.0,0.0,1.0,1.0
GCF_001932695.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CMS2,GCF_001932695.1,1,2342914,2342914.0,2342914,2342914,2342914,2342914.0,2342914,2342914,100.0,ASM193269v1,137591,,GCF_001932695.1,GCA_001932695.1,yes,SAMN04328345,Oradentics,2017-01-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,1,0.4531813801104095,2342914,1.0,0.0,1.0,1.0
GCF_002243305.1,custom,Weissella cibaria (firmicutes),Weissella,cibaria,CMS1,GCF_002243305.1,1,2342849,2342849.0,2342849,2342849,2342849,2342849.0,2342849,2342849,100.0,ASM224330v1,137591,,GCF_002243305.1,GCA_002243305.1,yes,SAMN07414780,"MACROGEN, Inc.",2017-08-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella,1,0.4531730384672678,2342849,1.0,0.0,1.0,1.0
