genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_001314245.2,custom,Lactobacillus gallinarum (firmicutes),Lactobacillus,gallinarum,HFD4,GCF_001314245.2,6,2374782,395797.0,2317164,2317164,2317164,2261448.171,1401,2317164,97.573756243731,ASM131424v2,52242,,GCF_001314245.2,GCA_001314245.2,yes,SAMN04121884,CSIR-Institute of Himalayan Bioresource Technology,2015-10-14,na,minor,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,6,0.3676307972689703,2374782,1.0,0.0,1.0,1.0
GCF_002849935.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,FAM8105,GCF_002849935.1,2,2255245,1127622.5,2209387,2209387,2209387,2165393.947,45858,2209387,97.96660673230625,ASM284993v1,1587,,GCF_002849935.1,GCA_002849935.1,yes,SAMN04892754,Agroscope,2018-01-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,2,0.370269748962973,2255245,2.0,0.0,2.0,2.0
GCF_002849955.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,FAM22155,GCF_002849955.1,2,2198663,1099331.5,2191149,2191149,2191149,2183686.359,7514,2191149,99.65824685274642,ASM284995v1,1587,,GCF_002849955.1,GCA_002849955.1,yes,SAMN04892861,Agroscope,2018-01-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,2,0.3706229649564303,2198663,1.0,0.0,1.0,1.0
GCF_001308285.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,CAUH18,GCF_001308285.1,1,2160583,2160583.0,2160583,2160583,2160583,2160583.0,2160583,2160583,100.0,ASM130828v1,1587,,GCF_001308285.1,GCA_001308285.1,yes,SAMN03982146,China Agricultural University,2015-10-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,1,0.3680969442044114,2160583,0.0,0.0,0.0,0.0
GCF_015709185.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,TK-J7A,GCF_015709185.1,3,2163684,721228.0,2133360,2133360,2133360,2103744.224,6414,2133360,98.59850144475811,ASM1570918v1,1587,,GCF_015709185.1,GCA_015709185.1,yes,SAMN13106277,Zhejiang Tianke High Technology Development Co.Ltd.,2020-11-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,3,0.3682321448048791,2163684,2.0,0.0,2.0,2.0
GCF_003955865.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,LH5,GCF_003955865.1,3,2163678,721226.0,2133354,2133354,2133354,2103738.226,6414,2133354,98.5984975583243,ASM395586v1,1587,,GCF_003955865.1,GCA_003955865.1,yes,SAMN06118452,Yonsei University,2018-12-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,3,0.3682086706062547,2163678,2.0,0.0,2.0,2.0
GCF_004114755.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,IDCC3801,GCF_004114755.1,2,2157253,1078626.5,2133343,2133343,2133343,2109963.015,23910,2133343,98.89164599608854,ASM411475v1,1587,,GCF_004114755.1,GCA_004114755.1,yes,SAMN10782597,"Research Laboratories, Ildong Pharmaceutical",2019-01-28,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,2,0.3682771561796414,2157253,2.0,0.0,2.0,2.0
GCF_000961015.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,KLDS1.8701,GCF_000961015.1,2,2106631,1053315.5,2096031,2096031,2096031,2085537.673,10600,2096031,99.49682692412672,ASM96101v1,1587,,GCF_000961015.1,GCA_000961015.1,yes,SAMN03164100,Northeast Agricultural University,2015-03-24,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,2,0.3688263393066939,2106631,0.0,0.0,0.0,0.0
GCF_009498395.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,LZ-R-5,GCF_009498395.1,1,2084408,2084408.0,2084408,2084408,2084408,2084408.0,2084408,2084408,100.0,ASM949839v1,1587,,GCF_009498395.1,GCA_009498395.1,yes,SAMN12670384,Nanjing Agricultural University,2019-11-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,1,0.3692453684691288,2084408,1.0,0.0,1.0,1.0
GCF_001006025.1,custom,Lactobacillus helveticus (firmicutes),Lactobacillus,helveticus,MB2-1,GCF_001006025.1,1,2084058,2084058.0,2084058,2084058,2084058,2084058.0,2084058,2084058,100.0,ASM100602v1,1587,,GCF_001006025.1,GCA_001006025.1,yes,SAMN03328961,Nanjing Agricultural University,2015-05-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,,Lactobacillus,1,0.3692747514704485,2084058,1.0,0.0,1.0,1.0
