genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_014841035.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,GHZ10a,GCF_014841035.1,3,2015225,671741.7,1986474,1986474,1986474,1958339.372,13327,1986474,98.57331067250556,ASM1484103v1,33959,Representative Genome,GCF_014841035.1,GCA_014841035.1,yes,SAMN16131614,Lanzhou Veterinary Research Institute,2020-10-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,3,0.3499792827103673,2015225,1.0,0.0,1.0,1.0
GCF_001714745.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,BS15,GCF_001714745.1,2,2159316,1079658.0,2114553,2114553,2114553,2071645.89,44763,2114553,97.9269824333261,ASM171474v1,33959,,GCF_001714745.1,GCA_001714745.1,yes,SAMN04631277,Sichuan Agriculture University,2016-08-26,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,2,0.3484052357320559,2159316,4.0,0.0,5.0,4.0
GCF_004011315.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,ZLJ010,GCF_004011315.1,1,1999879,1999879.0,1999879,1999879,1999879,1999879.0,1999879,1999879,100.0,ASM401131v1,33959,,GCF_004011315.1,GCA_004011315.1,yes,SAMN10160121,Beijing Academy of Agriculture and Forestry Science,2019-01-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,1,0.3491206217976187,1999879,1.0,0.0,1.0,1.0
GCF_013487865.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,3DG,GCF_013487865.1,1,1995616,1995616.0,1995616,1995616,1995616,1995616.0,1995616,1995616,100.0,ASM1348786v1,33959,,GCF_013487865.1,GCA_013487865.1,yes,SAMN13624827,North Carolina State University,2020-07-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,1,0.3440957579013197,1995616,4.0,0.0,4.0,4.0
GCF_002176835.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,UMNLJ22,GCF_002176835.1,3,2042390,680796.7,1990826,1990826,1990826,1941216.78,24341,1990826,97.47531078785148,ASM217683v1,33959,,GCF_002176835.1,GCA_002176835.1,yes,SAMN04573146,University of Minnesota,2017-06-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,3,0.3508874406944804,2042390,0.0,0.0,0.0,0.0
GCF_002176855.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,UMNLJ21,GCF_002176855.1,3,2010439,670146.3,1974529,1974529,1974529,1939590.439,14895,1974529,98.21382295110668,ASM217685v1,33959,,GCF_002176855.1,GCA_002176855.1,yes,SAMN04573145,University of Minnesota,2017-06-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,3,0.3508979879518851,2010439,0.0,0.0,0.0,0.0
GCF_003316915.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,Byun-jo-01,GCF_003316915.1,1,1959519,1959519.0,1959519,1959519,1959519,1959519.0,1959519,1959519,100.0,ASM331691v1,33959,,GCF_003316915.1,GCA_003316915.1,yes,SAMN08281023,Sungkyunkwan University,2018-07-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,1,0.3470581300819231,1959519,1.0,0.0,1.0,1.0
GCF_014058685.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,NCK2677,GCF_014058685.1,1,1951416,1951416.0,1951416,1951416,1951416,1951416.0,1951416,1951416,100.0,ASM1405868v1,33959,,GCF_014058685.1,GCA_014058685.1,yes,SAMN15520417,North Carolina State University,2020-08-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,1,0.3467312966584265,1951416,1.0,0.0,1.0,1.0
GCF_010586925.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,G2A,GCF_010586925.1,3,2177933,725977.7,1944698,1944698,127062,1749028.904,106173,1944698,89.29099288178287,ASM1058692v1,33959,,GCF_010586925.1,GCA_010586925.1,yes,SAMN11618738,University of Alabama at Birmingham,2020-02-14,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,3,0.3453650778054237,2177933,1.0,0.0,1.0,1.0
GCF_009769185.1,custom,Lactobacillus johnsonii (firmicutes),Lactobacillus,johnsonii,DC22.2,GCF_009769185.1,5,1937859,387571.8,1904421,1904421,1904421,1871722.953,5612,1904421,98.27448746271014,ASM976918v1,33959,,GCF_009769185.1,GCA_009769185.1,yes,SAMN11371966,University of Nottingham,2019-12-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,,Lactobacillus,5,0.3452578335162671,1937859,2.0,0.0,2.0,2.0
