genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_016728105.1,PRJNA231221,ASM1672810v1,Complete Genome,na,SAMN16357284,2021-01-20,GCA_016728105.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_016728105.1,Representative Genome,yes,major,striatum,FDAARGOS_1115,US Food and Drug Administration,43770,ncbi
GCF_002804085.1,PRJNA278886,ASM280408v1,Complete Genome,na,SAMN05178544,2017-12-04,GCA_002804085.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_002804085.1,,yes,major,striatum,216,Brigham & Women's Hospital,43770,ncbi
GCF_002803965.1,PRJNA278886,ASM280396v1,Complete Genome,na,SAMN05374476,2017-12-04,GCA_002803965.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_002803965.1,,yes,major,striatum,215,Brigham & Women's Hospital,43770,ncbi
GCF_016889445.1,PRJNA231221,ASM1688944v1,Complete Genome,na,SAMN16357339,2021-02-15,GCA_016889445.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_016889445.1,,yes,major,striatum,FDAARGOS_1197,US Food and Drug Administration,43770,ncbi
GCF_002156805.1,PRJNA386621,ASM215680v1,Complete Genome,na,SAMN07109493,2017-05-23,GCA_002156805.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_002156805.1,,yes,major,striatum,KC-Na-01,Korea Research Institute of Bioscience & Biotechnology,43770,ncbi
GCF_016728205.1,PRJNA231221,ASM1672820v1,Complete Genome,na,SAMN16357285,2021-01-20,GCA_016728205.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_016728205.1,,yes,major,striatum,FDAARGOS_1116,US Food and Drug Administration,43770,ncbi
GCF_016403285.1,PRJNA231221,ASM1640328v1,Chromosome,na,SAMN16357223,2020-12-26,GCA_016403285.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_016403285.1,,yes,major,striatum,FDAARGOS_1054,US Food and Drug Administration,43770,ncbi
GCF_900447675.1,PRJEB6403,51765_E02,Contig,na,SAMEA4521472,2018-08-01,GCA_900447675.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_900447675.1,,yes,major,striatum,NCTC764,SC,43770,ncbi
GCF_006538485.1,PRJDB8042,ASM653848v1,Contig,na,SAMD00169825,2019-06-11,GCA_006538485.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_006538485.1,,yes,major,striatum,NBRC 15291,"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)",43770,ncbi
GCF_900447625.1,PRJEB6403,55064_G01,Contig,na,SAMEA104016175,2018-08-01,GCA_900447625.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_900447625.1,,yes,major,striatum,NCTC9755,SC,43770,ncbi
GCF_022835015.1,PRJDB11902,ASM2283501v1,Contig,na,SAMD00389872,2022-02-03,GCA_022835015.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_022835015.1,,yes,major,striatum,CE91-St29,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",43770,ncbi
GCF_014610855.1,PRJNA418005,ASM1461085v1,Contig,na,SAMN08013311,2020-09-16,GCA_014610855.1,full,Corynebacterium,Corynebacterium striatum (high G+C Gram-positive bacteria),GCF_014610855.1,,yes,major,striatum,1954,Fundacao Oswaldo Cruz,43770,ncbi
