genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_020551885.1,PRJNA761700,ASM2055188v1,Contig,na,SAMN21467678,2021-10-25,GCA_020551885.1,full,Bacillus,Bacillus stercoris (firmicutes),GCF_020551885.1,Representative Genome,yes,major,stercoris,4,CBBC,2054641,ncbi
GCF_023703335.1,PRJNA846537,ASM2370333v1,Contig,na,SAMN28889718,2022-06-12,GCA_023703335.1,full,Bacillus,Bacillus stercoris (firmicutes),GCF_023703335.1,,yes,major,stercoris,PSM7,GBRC,2054641,ncbi
GCF_022814905.1,PRJNA820196,ASM2281490v1,Contig,na,SAMN26982665,2022-04-04,GCA_022814905.1,full,Bacillus,Bacillus stercoris (firmicutes),GCF_022814905.1,,yes,major,stercoris,BHUJPV-SS7,Banaras Hindu University,2054641,ncbi
GCF_002055965.1,PRJNA377766,ASM205596v1,Complete Genome,na,SAMN06472805,2017-03-21,GCA_002055965.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_002055965.1,,yes,major,subtilis,NCIB 3610,"University of Michigan, Ann Arbor",1423,ncbi
GCF_023612315.1,PRJNA694795,ASM2361231v1,Complete Genome,na,SAMN17574687,2022-05-31,GCA_023612315.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_023612315.1,,yes,major,subtilis,pb2441,ProxEnRem Inc.,1423,ncbi
GCF_009913275.1,PRJNA438180,ASM991327v1,Complete Genome,na,SAMN08707582,2020-01-22,GCA_009913275.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_009913275.1,,yes,major,subtilis,SRCM102754,Microbial Institute for Fermentation Industry,1423,ncbi
GCF_025161015.1,PRJNA877089,ASM2516101v1,Complete Genome,na,SAMN30680087,2022-09-13,GCA_025161015.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_025161015.1,,yes,major,subtilis,GL-4,Guangxi Veterinary Research Institute,1423,ncbi
GCF_022647025.1,PRJNA664669,ASM2264702v1,Complete Genome,na,SAMN16229794,2022-03-21,GCA_022647025.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_022647025.1,,yes,major,subtilis,FX-1,"Third Institute of Oceanography, Ministry of Natural Resources",1423,ncbi
GCF_022370975.1,PRJNA807447,ASM2237097v1,Complete Genome,na,SAMN25982035,2022-02-23,GCA_022370975.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_022370975.1,,yes,major,subtilis,ZW,liaocheng university,1423,ncbi
GCF_009662175.1,PRJNA587401,ASM966217v1,Complete Genome,na,SAMN13190553,2019-11-14,GCA_009662175.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_009662175.1,,yes,major,subtilis,MB9_B1,Technical University of Denmark,1423,ncbi
GCF_000953615.1,PRJEB7327,BS49Ch,Complete Genome,na,SAMEA2780588,2014-11-19,GCA_000953615.1,full,Bacillus,Bacillus subtilis (firmicutes),GCF_000953615.1,,yes,major,subtilis,BS49,LEIDEN UNIVERSITY MEDICAL CENTER,1423,ncbi
