genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_030505095.1,PRJNA623878,ASM3050509v1,Contig,na,SAMN14559935,2023-07-18,GCA_030505095.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030505095.1,,yes,major,putida,CGMCC 1.3136,Dalian University of Technology,303,ncbi
GCF_030505105.1,PRJNA623878,ASM3050510v1,Contig,na,SAMN14559936,2023-07-18,GCA_030505105.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030505105.1,,yes,major,putida,CGMCC 1.6309,Dalian University of Technology,303,ncbi
GCF_029836875.1,PRJNA868296,ASM2983687v1,Contig,na,SAMN30525512,2023-04-19,GCA_029836875.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_029836875.1,,yes,major,putida,GD04056,Washington University in St. Louis School of Medicine,303,ncbi
GCF_028682095.1,PRJNA860640,ASM2868209v1,Contig,na,SAMN29855464,2023-02-17,GCA_028682095.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682095.1,,yes,major,putida,12633,UC San Diego,303,ncbi
GCF_028682195.1,PRJNA860640,ASM2868219v1,Contig,na,SAMN29855458,2023-02-17,GCA_028682195.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682195.1,,yes,major,putida,700097,UC San Diego,303,ncbi
GCF_028682675.1,PRJNA860640,ASM2868267v1,Contig,na,SAMN29855432,2023-02-17,GCA_028682675.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_028682675.1,,yes,major,putida,17485,UC San Diego,303,ncbi
GCF_030159475.1,PRJDB15195,ASM3015947v1,Scaffold,na,SAMD00576508,2023-02-15,GCA_030159475.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030159475.1,,yes,major,putida,JCM 13061,"Graduate School of Regional Development and Creativity, Utsunomiya University",303,ncbi
GCF_030159495.1,PRJDB15195,ASM3015949v1,Scaffold,na,SAMD00576510,2023-02-15,GCA_030159495.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030159495.1,,yes,major,putida,JCM 20005,"Graduate School of Regional Development and Creativity, Utsunomiya University",303,ncbi
GCF_030159555.1,PRJDB15195,ASM3015955v1,Scaffold,na,SAMD00576514,2023-02-15,GCA_030159555.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_030159555.1,,yes,major,putida,JCM 21368,"Graduate School of Regional Development and Creativity, Utsunomiya University",303,ncbi
GCF_024762065.1,PRJNA766417,ASM2476206v1,Contig,na,SAMN28751924,2022-08-29,GCA_024762065.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024762065.1,,yes,major,putida,E36,Helmholtz Zentrum Muenchen,303,ncbi
GCF_024749025.1,PRJNA779451,ASM2474902v1,Complete Genome,na,SAMN23038787,2022-08-26,GCA_024749025.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024749025.1,,yes,major,putida,B21-029,Agriculture and Agri-food Canada,303,ncbi
GCF_024508115.1,PRJNA607328,ASM2450811v1,Complete Genome,na,SAMN29939550,2022-08-03,GCA_024508115.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_024508115.1,,yes,major,putida,ATCC 12633,Lawrence Berkeley National Laboratory,303,ncbi
GCF_021282365.1,PRJNA788750,ASM2128236v1,Contig,na,SAMN23773753,2021-12-25,GCA_021282365.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_021282365.1,,yes,major,putida,NMI4533_14,National Medicines Institute,303,ncbi
GCF_021282955.1,PRJNA788750,ASM2128295v1,Contig,na,SAMN23773741,2021-12-25,GCA_021282955.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_021282955.1,,yes,major,putida,NMI5241_13,National Medicines Institute,303,ncbi
GCF_021283035.1,PRJNA788750,ASM2128303v1,Contig,na,SAMN23773733,2021-12-25,GCA_021283035.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_021283035.1,,yes,major,putida,NMI4591_12,National Medicines Institute,303,ncbi
GCF_021602445.1,PRJDB10089,ASM2160244v1,Contig,na,SAMD00422634,2021-11-22,GCA_021602445.1,full,Pseudomonas,Pseudomonas putida (g-proteobacteria),GCF_021602445.1,,yes,major,putida,BML-PP041,"Department of Microbiology, Juntendo University School of Medicine",303,ncbi
