genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_002074095.1,PRJNA293170,ASM207409v1,Complete Genome,na,SAMN03998272,2017-03-29,GCA_002074095.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002074095.1,Representative Genome,yes,major,licheniformis,SCDB 14,Chonbuk National University,1402,ncbi
GCF_022630555.1,PRJNA814630,ASM2263055v1,Complete Genome,na,SAMN26561905,2022-03-19,GCA_022630555.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_022630555.1,,yes,major,licheniformis,DSM 13,Innosoil Phos,1402,ncbi
GCF_006094335.1,PRJNA509976,ASM609433v1,Complete Genome,na,SAMN10591542,2019-06-06,GCA_006094335.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_006094335.1,,yes,major,licheniformis,ATCC 14580,Zhejiang Tianke High Technology Development Co.Ltd.,1402,ncbi
GCF_016026835.1,PRJNA231221,ASM1602683v1,Complete Genome,na,SAMN13450453,2020-12-14,GCA_016026835.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_016026835.1,,yes,major,licheniformis,FDAARGOS_923,US Food and Drug Administration,1402,ncbi
GCF_002074115.1,PRJNA290971,ASM207411v1,Complete Genome,na,SAMN03938153,2017-03-29,GCA_002074115.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002074115.1,,yes,major,licheniformis,SCDB 34,Chonbuk National University,1402,ncbi
GCF_003606405.1,PRJNA493050,ASM360640v1,Complete Genome,na,SAMN10127284,2018-10-02,GCA_003606405.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003606405.1,,yes,major,licheniformis,MT-B06,"Kweichow moutai Co.,Ltd.",1402,ncbi
GCF_001726125.1,PRJNA341305,ASM172612v1,Complete Genome,na,SAMN05717662,2016-09-15,GCA_001726125.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001726125.1,,yes,major,licheniformis,BL1202,Chonbuk National University,1402,ncbi
GCF_004103575.1,PRJNA515364,ASM410357v1,Complete Genome,na,SAMN10754250,2019-01-23,GCA_004103575.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004103575.1,,yes,major,licheniformis,SRCM103529,Microbial Institute for Fermentation Industry,1402,ncbi
GCF_004119755.1,PRJNA516546,ASM411975v1,Complete Genome,na,SAMN10790885,2019-01-30,GCA_004119755.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004119755.1,,yes,major,licheniformis,SRCM103583,Microbial Institute for Fermentation Industry,1402,ncbi
GCF_003339545.1,PRJNA479523,ASM333954v1,Complete Genome,na,SAMN09579729,2018-07-25,GCA_003339545.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003339545.1,,yes,major,licheniformis,0DA23-1,Dongduk Women's University,1402,ncbi
GCF_002074135.1,PRJNA293178,ASM207413v1,Complete Genome,na,SAMN03998369,2017-03-29,GCA_002074135.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002074135.1,,yes,major,licheniformis,SCCB 37,Chonbuk National University,1402,ncbi
GCF_003595625.1,PRJNA438467,ASM359562v1,Complete Genome,na,SAMN08717025,2018-09-25,GCA_003595625.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003595625.1,,yes,major,licheniformis,TAB7,The University of Tokyo,1402,ncbi
GCF_009662395.1,PRJNA587401,ASM966239v1,Complete Genome,na,SAMN13190560,2019-11-14,GCA_009662395.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_009662395.1,,yes,major,licheniformis,P8_B2,Technical University of Denmark,1402,ncbi
GCF_006974025.1,PRJNA496255,ASM697402v1,Complete Genome,na,SAMN10237524,2019-07-15,GCA_006974025.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_006974025.1,,yes,major,licheniformis,TCCC 11148,college of bioengineering,1402,ncbi
GCF_002966955.1,PRJNA432623,ASM296695v1,Complete Genome,na,SAMN08455836,2018-03-02,GCA_002966955.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002966955.1,,yes,major,licheniformis,14ADL4,Dongduk Women's University,1402,ncbi
GCF_002174255.1,PRJNA386752,ASM217425v1,Complete Genome,na,SAMN07125934,2017-06-06,GCA_002174255.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002174255.1,,yes,major,licheniformis,SRCM100027,Microbial Institiue for Fermentation Industry,1402,ncbi
GCF_017338795.1,PRJNA608985,ASM1733879v1,Complete Genome,na,SAMN14217608,2021-03-12,GCA_017338795.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_017338795.1,,yes,major,licheniformis,CP6,Seowon University,1402,ncbi
GCF_002074075.1,PRJNA291016,ASM207407v1,Complete Genome,na,SAMN03938641,2017-03-29,GCA_002074075.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002074075.1,,yes,major,licheniformis,SCK B11,Chonbuk National University,1402,ncbi
GCF_004119795.1,PRJNA516719,ASM411979v1,Complete Genome,na,SAMN10796173,2019-01-30,GCA_004119795.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004119795.1,,yes,major,licheniformis,SRCM103608,Microbial Institute for Fermentation Industry,1402,ncbi
GCF_022700915.1,PRJNA673043,ASM2270091v1,Complete Genome,na,SAMN16585298,2022-03-28,GCA_022700915.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_022700915.1,,yes,major,licheniformis,C5,microbial pathogenic ecology group,1402,ncbi
GCF_002236895.1,PRJNA394931,ASM223689v1,Complete Genome,na,SAMN07367816,2017-07-28,GCA_002236895.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002236895.1,,yes,major,licheniformis,BL-010,University of Science and Technology,1402,ncbi
GCF_006494795.1,PRJNA548835,ASM649479v1,Complete Genome,na,SAMN12056526,2019-06-27,GCA_006494795.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_006494795.1,,yes,major,licheniformis,CSL2,Beijing Academy of Agriculture and Forestry Science,1402,ncbi
GCF_015689075.1,PRJNA661689,ASM1568907v1,Complete Genome,na,SAMN16069670,2020-11-25,GCA_015689075.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_015689075.1,,yes,major,licheniformis,LCDD6,Shandong Agricultural University,1402,ncbi
GCF_002504325.1,PRJNA411919,ASM250432v1,Complete Genome,na,SAMN07690960,2017-10-10,GCA_002504325.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002504325.1,,yes,major,licheniformis,ATCC 9789,SCUT,1402,ncbi
GCF_001596055.1,PRJNA286062,ASM159605v1,Complete Genome,na,SAMN03764480,2016-03-22,GCA_001596055.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001596055.1,,yes,major,licheniformis,HRBL-15TDI7,Seoul National University,1402,ncbi
GCF_004101525.1,PRJNA515143,ASM410152v1,Complete Genome,na,SAMN10743313,2019-01-22,GCA_004101525.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004101525.1,,yes,major,licheniformis,SRCM103914,Microbial Institute for Fermentation Industry,1402,ncbi
GCF_004526275.1,PRJNA523318,ASM452627v1,Complete Genome,na,SAMN10970973,2019-03-31,GCA_004526275.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004526275.1,,yes,major,licheniformis,MCC 2514,CSIR-Institute of Himalayan Bioresource Technology,1402,ncbi
GCF_003253815.1,PRJNA390218,ASM325381v1,Complete Genome,na,SAMN07206915,2018-06-18,GCA_003253815.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003253815.1,,yes,major,licheniformis,CBA7132,Korea Food Research Institute,1402,ncbi
GCF_902386215.1,PRJEB33885,UHGG_MGYG-HGUT-02357,Complete Genome,na,SAMEA5851861,2019-08-10,GCA_902386215.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_902386215.1,,yes,major,licheniformis,MGYG-HGUT-02357,EMG,1402,ncbi
GCF_007855455.1,PRJNA556772,ASM785545v1,Complete Genome,na,SAMN12368592,2019-08-06,GCA_007855455.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_007855455.1,,yes,major,licheniformis,KNU11,kyungpook national university,1402,ncbi
GCF_003952865.1,PRJNA421625,ASM395286v1,Complete Genome,na,SAMN08148560,2018-12-18,GCA_003952865.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003952865.1,,yes,major,licheniformis,PB3,Korea Food Research Institute,1402,ncbi
GCF_016126875.1,PRJNA684471,ASM1612687v1,Complete Genome,na,SAMN17058402,2020-12-20,GCA_016126875.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_016126875.1,,yes,major,licheniformis,H2,Sichuan Agriculture University,1402,ncbi
GCF_024134745.1,PRJNA849219,ASM2413474v1,Chromosome,na,SAMN29043847,2022-07-04,GCA_024134745.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_024134745.1,,yes,major,licheniformis,2096tsa1,NASA Johnson Space Center,1402,ncbi
GCF_002953475.1,PRJNA429512,ASM295347v1,Chromosome,na,SAMN08335842,2018-02-06,GCA_002953475.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_002953475.1,,yes,major,licheniformis,MBGJa67,Hemant Purohit's shared submissions,1402,ncbi
GCF_014673515.1,PRJNA658341,ASM1467351v1,Chromosome,na,SAMN15866867,2020-09-21,GCA_014673515.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_014673515.1,,yes,major,licheniformis,OK12,"Marmara University, IBSB-Industrial Biotechnology and Systems Biology Research Group",1402,ncbi
GCF_001914255.1,PRJNA338659,ASM191425v1,Chromosome,na,SAMN05559629,2016-12-28,GCA_001914255.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001914255.1,,yes,major,licheniformis,YNP1-TSU,Tennessee State University,1402,ncbi
GCF_016629635.1,PRJNA504821,ASM1662963v1,Contig,na,SAMN10406195,2021-01-13,GCA_016629635.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_016629635.1,,yes,major,licheniformis,PER-URP-12,Instituto de Quimica,1402,ncbi
GCF_000948275.1,PRJNA260738,BFA_12_A,Contig,na,SAMN03025777,2015-03-05,GCA_000948275.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_000948275.1,,yes,major,licheniformis,5NAP23,Los Alamos National Laboratory,1402,ncbi
GCF_004078545.1,PRJNA515140,ASM407854v1,Contig,na,SAMN10743309,2019-01-20,GCA_004078545.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004078545.1,,yes,major,licheniformis,SRCM103844,Microbial Institute for Fermentation Industry,1402,ncbi
GCF_003024435.1,PRJNA437377,ASM302443v1,Scaffold,na,SAMN08660996,2018-03-28,GCA_003024435.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_003024435.1,,yes,major,licheniformis,Wintermute,Aarhus Universitet,1402,ncbi
GCF_007831455.1,PRJNA341680,ASM783145v1,Scaffold,na,SAMN05583282,2019-08-02,GCA_007831455.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_007831455.1,,yes,major,licheniformis,BAC-19466,NIZO food research,1402,ncbi
GCF_023713785.1,PRJNA832800,ASM2371378v1,Contig,na,SAMN27922005,2022-06-13,GCA_023713785.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_023713785.1,,yes,major,licheniformis,MER 161,Jet Propulsion Laboratory,1402,ncbi
GCF_023713725.1,PRJNA832800,ASM2371372v1,Contig,na,SAMN27922006,2022-06-13,GCA_023713725.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_023713725.1,,yes,major,licheniformis,MER 165,Jet Propulsion Laboratory,1402,ncbi
GCF_945957445.1,PRJEB53346,plastics_colonisation_sample_123,Contig,na,SAMEA110407930,2022-09-11,GCA_945957445.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_945957445.1,,yes,major,licheniformis,plastics_colonisation_sample_123,University of Exeter,1402,ncbi
GCF_019037245.1,PRJNA728748,ASM1903724v1,Scaffold,na,SAMN19102906,2021-06-25,GCA_019037245.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_019037245.1,,yes,major,licheniformis,179-J 6A2 HS,"Jet Propulsion Laboratory, California Institute of Technology",1402,ncbi
GCF_001662975.1,PRJNA321941,ASM166297v1,Contig,na,SAMN05162511,2016-06-15,GCA_001662975.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001662975.1,,yes,major,licheniformis,SRCM100115,Microbial Institue for Fermentation Industry,1402,ncbi
GCF_018587905.1,PRJNA727619,ASM1858790v1,Contig,na,SAMN19026551,2021-05-28,GCA_018587905.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_018587905.1,,yes,major,licheniformis,VSD4,Hasselt University,1402,ncbi
GCF_008368405.1,PRJNA506655,ASM836840v1,Scaffold,na,SAMN10470871,2019-09-10,GCA_008368405.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_008368405.1,,yes,major,licheniformis,W18,Chr-Hansen,1402,ncbi
GCF_013520855.1,PRJNA645298,ASM1352085v1,Scaffold,na,SAMN15501749,2020-07-23,GCA_013520855.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_013520855.1,,yes,major,licheniformis,KNP,"Babasaheb Bhimrao Ambedkar University, Lucknow",1402,ncbi
GCF_004362235.1,PRJNA463107,ASM436223v1,Scaffold,na,SAMN09074950,2019-03-22,GCA_004362235.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_004362235.1,,yes,major,licheniformis,19_TX,DOE Joint Genome Institute,1402,ncbi
GCF_008368435.1,PRJNA506655,ASM836843v1,Scaffold,na,SAMN10470870,2019-09-10,GCA_008368435.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_008368435.1,,yes,major,licheniformis,W17,Chr-Hansen,1402,ncbi
GCF_001896295.1,PRJNA338659,ASM189629v1,Contig,na,SAMN05560547,2016-12-09,GCA_001896295.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001896295.1,,yes,major,licheniformis,YNP5-TSU,Tennessee State University,1402,ncbi
GCF_018274685.1,PRJNA723422,ASM1827468v1,Contig,na,SAMN18897653,2021-05-04,GCA_018274685.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_018274685.1,,yes,major,licheniformis,NL28.11,University of the Philippines Los Banos,1402,ncbi
GCF_900171545.1,PRJEB18273,Blich,Scaffold,na,SAMEA100366168,2017-04-25,GCA_900171545.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_900171545.1,,yes,major,licheniformis,R-53713,Jessy,1402,ncbi
GCF_001896305.1,PRJNA338659,ASM189630v1,Contig,na,SAMN05560543,2016-12-09,GCA_001896305.1,full,Bacillus,Bacillus licheniformis (firmicutes),GCF_001896305.1,,yes,major,licheniformis,YNP3-TSU,Tennessee State University,1402,ncbi
