genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_001865765.1,PRJNA335634,ASM186576v1,Complete Genome,na,SAMN05449619,2016-11-03,GCA_001865765.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001865765.1,Representative Genome,yes,major,pseudotuberculosis,MEX29,UFMG,1719,ncbi
GCF_002155265.1,PRJNA382169,ASM215526v1,Complete Genome,na,SAMN06701041,2017-05-22,GCA_002155265.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_002155265.1,,yes,major,pseudotuberculosis,ATCC 19410,UFMG,1719,ncbi
GCF_001867105.1,PRJNA317385,ASM186710v1,Complete Genome,na,SAMN04606560,2016-11-07,GCA_001867105.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867105.1,,yes,major,pseudotuberculosis,39,Federal University of Minas Gerais,1719,ncbi
GCF_001867025.1,PRJNA317379,ASM186702v1,Complete Genome,na,SAMN04606554,2016-11-07,GCA_001867025.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867025.1,,yes,major,pseudotuberculosis,33,Federal University of Minas Gerais,1719,ncbi
GCF_001867005.1,PRJNA317378,ASM186700v1,Complete Genome,na,SAMN04606552,2016-11-07,GCA_001867005.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867005.1,,yes,major,pseudotuberculosis,32,Federal University of Minas Gerais,1719,ncbi
GCF_001867085.1,PRJNA317384,ASM186708v1,Complete Genome,na,SAMN04606559,2016-11-07,GCA_001867085.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867085.1,,yes,major,pseudotuberculosis,38,Federal University of Minas Gerais,1719,ncbi
GCF_001867045.1,PRJNA317382,ASM186704v1,Complete Genome,na,SAMN04606556,2016-11-07,GCA_001867045.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867045.1,,yes,major,pseudotuberculosis,35,Federal University of Minas Gerais,1719,ncbi
GCF_001866985.1,PRJNA317381,ASM186698v1,Complete Genome,na,SAMN04606555,2016-11-07,GCA_001866985.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001866985.1,,yes,major,pseudotuberculosis,34,Federal University of Minas Gerais,1719,ncbi
GCF_001867065.1,PRJNA317383,ASM186706v1,Complete Genome,na,SAMN04606557,2016-11-07,GCA_001867065.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867065.1,,yes,major,pseudotuberculosis,36,Federal University of Minas Gerais,1719,ncbi
GCF_001867165.1,PRJNA317388,ASM186716v1,Complete Genome,na,SAMN04606603,2016-11-07,GCA_001867165.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001867165.1,,yes,major,pseudotuberculosis,48,Federal University of Minas Gerais,1719,ncbi
GCF_029674565.1,PRJNA951056,ASM2967456v1,Complete Genome,na,SAMN33993821,2023-04-11,GCA_029674565.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_029674565.1,,yes,major,pseudotuberculosis,G1,Sichuan Agricultural University,1719,ncbi
GCF_001579925.1,PRJNA256958,ASM157992v1,Complete Genome,na,SAMN04260966,2016-03-03,GCA_001579925.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001579925.1,,yes,major,pseudotuberculosis,MB66,Federal University of Para,1719,ncbi
GCF_001969095.1,PRJNA256958,ASM196909v2,Complete Genome,na,SAMN05509267,2017-11-15,GCA_001969095.2,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001969095.1,,yes,major,pseudotuberculosis,MB154,Federal University of Para,1719,ncbi
GCF_026647995.1,PRJNA758392,ASM2664799v1,Complete Genome,na,SAMN22442156,2022-12-05,GCA_026647995.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026647995.1,,yes,major,pseudotuberculosis,MB271,UFMG,1719,ncbi
GCF_001579865.1,PRJNA256958,ASM157986v1,Complete Genome,na,SAMN04260964,2016-03-03,GCA_001579865.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_001579865.1,,yes,major,pseudotuberculosis,MB14,Federal University of Para,1719,ncbi
GCF_026650725.1,PRJNA758392,ASM2665072v1,Complete Genome,na,SAMN22442124,2022-12-05,GCA_026650725.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026650725.1,,yes,major,pseudotuberculosis,MB46,UFMG,1719,ncbi
GCF_026650585.1,PRJNA758392,ASM2665058v1,Complete Genome,na,SAMN22442131,2022-12-05,GCA_026650585.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026650585.1,,yes,major,pseudotuberculosis,MB122,UFMG,1719,ncbi
GCF_026650845.1,PRJNA758392,ASM2665084v1,Complete Genome,na,SAMN22442118,2022-12-05,GCA_026650845.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026650845.1,,yes,major,pseudotuberculosis,MB5,UFMG,1719,ncbi
GCF_026650285.1,PRJNA758392,ASM2665028v1,Complete Genome,na,SAMN22442148,2022-12-05,GCA_026650285.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026650285.1,,yes,major,pseudotuberculosis,MB184,UFMG,1719,ncbi
GCF_026650325.1,PRJNA758392,ASM2665032v1,Complete Genome,na,SAMN22442146,2022-12-05,GCA_026650325.1,full,Corynebacterium,Corynebacterium pseudotuberculosis (high G+C Gram-positive bacteria),GCF_026650325.1,,yes,major,pseudotuberculosis,MB182,UFMG,1719,ncbi
