genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_013127755.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,PMC65,GCF_013127755.1,1,2044083,2044083.0,2044083,2044083,2044083,2044083.0,2044083,2044083,100.0,ASM1312775v1,1254,Representative Genome,GCF_013127755.1,GCA_013127755.1,yes,SAMN14916503,Probiotics Microbiome Convergence Center,2020-05-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4223037909908746,2044083,0.0,0.0,0.0,0.0
GCF_016127815.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FDAARGOS_1007,GCF_016127815.1,1,2068296,2068296.0,2068296,2068296,2068296,2068296.0,2068296,2068296,100.0,ASM1612781v1,1254,,GCF_016127815.1,GCA_016127815.1,yes,SAMN16357176,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4222911034010606,2068296,0.0,0.0,0.0,0.0
GCF_016726765.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FDAARGOS_1133,GCF_016726765.1,1,1953377,1953377.0,1953377,1953377,1953377,1953377.0,1953377,1953377,100.0,ASM1672676v1,1254,,GCF_016726765.1,GCA_016726765.1,yes,SAMN16357302,US Food and Drug Administration,2021-01-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.422190391306952,1953377,0.0,0.0,0.0,0.0
GCF_001767275.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,ZPA017,GCF_001767275.1,1,2131361,2131361.0,2131361,2131361,2131361,2131361.0,2131361,2131361,100.0,ASM176727v1,1254,,GCF_001767275.1,GCA_001767275.1,yes,SAMN04515708,Beijing Academy of Agriculture and Forestry Sciences,2016-10-18,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4210215913681446,2131361,0.0,0.0,0.0,0.0
GCF_001922325.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,BCC1,GCF_001922325.1,3,2170623,723541.0,2096059,2096059,2096059,2025857.232,13522,2096059,96.56485718616268,ASM192232v1,1254,,GCF_001922325.1,GCA_001922325.1,yes,SAMN06052263,China Agricultural University,2016-12-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.4214720842817938,2170623,0.0,0.0,0.0,0.0
GCF_006770685.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,JQII-5,GCF_006770685.1,1,2085679,2085679.0,2085679,2085679,2085679,2085679.0,2085679,2085679,100.0,ASM677068v1,1254,,GCF_006770685.1,GCA_006770685.1,yes,SAMN07701376,BGI,2019-07-09,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4216818599602335,2085679,0.0,0.0,0.0,0.0
GCF_019448175.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,PMC202,GCF_019448175.1,1,2044111,2044111.0,2044111,2044111,2044111,2044111.0,2044111,2044111,100.0,ASM1944817v1,1254,,GCF_019448175.1,GCA_019448175.1,yes,SAMN20446287,Probiotics Microbiome Convergence Center,2021-08-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4223038768442614,2044111,0.0,0.0,0.0,0.0
GCF_010092385.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,CACC 537,GCF_010092385.1,1,2035984,2035984.0,2035984,2035984,2035984,2035984.0,2035984,2035984,100.0,ASM1009238v1,1254,,GCF_010092385.1,GCA_010092385.1,yes,SAMN13871425,Center for Industrialization of Agricultural and Livestock Microorganisms,2020-02-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4197587014436262,2035984,1.0,0.0,1.0,1.0
GCF_014906145.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,HN9,GCF_014906145.1,3,2107472,702490.7,2034522,2034522,2034522,1965391.268,30711,2034522,96.53850679866684,ASM1490614v1,1254,,GCF_014906145.1,GCA_014906145.1,yes,SAMN16191522,"Faculty of Science, Prince of Songkla University",2020-10-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.4203533902229781,2107472,0.0,0.0,0.0,0.0
GCF_002174215.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM101189,GCF_002174215.1,3,2094755,698251.7,2025732,2025732,2025732,1960721.463,9423,2025732,96.70496072333042,ASM217421v1,1254,,GCF_002174215.1,GCA_002174215.1,yes,SAMN07167785,Microbial Institute for Fermentation Industry,2017-06-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.4213729051846158,2094755,0.0,0.0,0.0,0.0
GCF_002173575.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM100424,GCF_002173575.1,3,2087612,695870.7,2025714,2025714,2025714,1967294.124,3436,2025714,97.03498542832672,ASM217357v1,1254,,GCF_002173575.1,GCA_002173575.1,yes,SAMN07126147,Microbial Institiue for Fermentation Industry,2017-06-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.421576902221294,2087612,0.0,0.0,0.0,0.0
GCF_002173595.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM100313,GCF_002173595.1,3,2115377,705125.7,2025575,2025575,2025575,1942289.836,15841,2025575,95.7547992627319,ASM217359v1,1254,,GCF_002173595.1,GCA_002173595.1,yes,SAMN07125954,Microbial Institiue for Fermentation Industry,2017-06-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.4209311153520153,2115377,0.0,0.0,0.0,0.0
GCF_009913895.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM102732,GCF_009913895.1,2,2073486,1036743.0,2018117,2018117,2018117,1965705.074,55369,2018117,97.32966607925012,ASM991389v1,1254,,GCF_009913895.1,GCA_009913895.1,yes,SAMN08707607,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,2,0.4215109241152339,2073486,0.0,0.0,0.0,0.0
GCF_009913875.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM102731,GCF_009913875.1,2,2060722,1030361.0,2015015,2015015,2015015,1971335.571,45707,2015015,97.78199097209618,ASM991387v1,1254,,GCF_009913875.1,GCA_009913875.1,yes,SAMN08707606,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,2,0.4211659796906133,2060722,0.0,0.0,0.0,0.0
GCF_004355265.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,ATCC 8042,GCF_004355265.1,1,2009598,2009598.0,2009598,2009598,2009598,2009598.0,2009598,2009598,100.0,ASM435526v1,1254,,GCF_004355265.1,GCA_004355265.1,yes,SAMN10358339,Seoul National University,2019-03-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4212404669988724,2009598,0.0,0.0,0.0,0.0
GCF_016128055.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FDAARGOS_1008,GCF_016128055.1,1,2009583,2009583.0,2009583,2009583,2009583,2009583.0,2009583,2009583,100.0,ASM1612805v1,1254,,GCF_016128055.1,GCA_016128055.1,yes,SAMN16357177,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4212396303113631,2009583,0.0,0.0,0.0,0.0
GCF_004101585.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM103387,GCF_004101585.1,2,2033016,1016508.0,2001079,2001079,2001079,1970145.408,31937,2001079,98.42908270274312,ASM410158v1,1254,,GCF_004101585.1,GCA_004101585.1,yes,SAMN10743318,Microbial Institute for Fermentation Industry,2019-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,2,0.4226789164472881,2033016,0.0,0.0,0.0,0.0
GCF_004103635.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM103444,GCF_004103635.1,1,1970727,1970727.0,1970727,1970727,1970727,1970727.0,1970727,1970727,100.0,ASM410363v1,1254,,GCF_004103635.1,GCA_004103635.1,yes,SAMN10754287,Microbial Institute for Fermentation Industry,2019-01-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4206498414037053,1970727,1.0,0.0,1.0,1.0
GCF_003957355.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,PB22,GCF_003957355.1,1,1955616,1955616.0,1955616,1955616,1955616,1955616.0,1955616,1955616,100.0,ASM395735v1,1254,,GCF_003957355.1,GCA_003957355.1,yes,SAMN08180273,Korea Food Research Institute,2018-12-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4221723487637654,1955616,0.0,0.0,0.0,0.0
GCF_016653595.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,pll,GCF_016653595.1,1,1941154,1941154.0,1941154,1941154,1941154,1941154.0,1941154,1941154,100.0,ASM1665359v1,1254,,GCF_016653595.1,GCA_016653595.1,yes,SAMN17214561,Huazhong Agricultural University,2021-01-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4231374738943947,1941154,0.0,0.0,0.0,0.0
GCF_020150035.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,MT25,GCF_020150035.1,1,1869541,1869541.0,1869541,1869541,1869541,1869541.0,1869541,1869541,100.0,ASM2015003v1,1254,,GCF_020150035.1,GCA_020150035.1,yes,SAMN21449396,Kweichow Moutai Distillery,2021-09-26,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4240805630900847,1869541,0.0,0.0,0.0,0.0
GCF_004102605.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM103367,GCF_004102605.1,3,1961468,653822.7,1852892,1852892,1852892,1753470.303,42610,1852892,94.46455409927668,ASM410260v1,1254,,GCF_004102605.1,GCA_004102605.1,yes,SAMN10743317,Microbial Institute for Fermentation Industry,2019-01-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.4225799248318097,1961468,0.0,0.0,0.0,0.0
GCF_019844055.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,ZY271,GCF_019844055.1,1,1779925,1779925.0,1779925,1779925,1779925,1779925.0,1779925,1779925,100.0,ASM1984405v1,1254,,GCF_019844055.1,GCA_019844055.1,yes,SAMN17245097,East China University of Science and Technology,2021-09-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,1,0.4259977246232285,1779925,0.0,0.0,0.0,0.0
GCF_012396515.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,CCUG 32235,GCF_012396515.1,7,1933794,276256.3,446249,382711,313798,462267.614,1710,658457,23.07634629128025,ASM1239651v1,1254,,GCF_012396515.1,GCA_012396515.1,yes,SAMN14517844,Bacterial Special Pathogens Branch (CDC),2020-04-15,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,7,0.4213830428680614,1933794,0.0,0.0,0.0,0.0
GCF_001437115.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,DSM 19927,GCF_001437115.1,31,2040711,65829.4,318866,140119,75377,276293.289,222,464364,15.625240418658008,ASM143711v1,1254,,GCF_001437115.1,GCA_001437115.1,yes,SAMN02797813,Shanghai Majorbio,2015-11-06,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,31,0.4212762120653047,2040711,0.0,0.0,0.0,0.0
GCF_004054355.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,SRCM 103289,GCF_004054355.1,2,2093052,1046526.0,2022494,2022494,2022494,1956693.102,70558,2022494,96.6289418514208,ASM405435v1,1254,,GCF_004054355.1,GCA_004054355.1,yes,SAMN10737798,Chunlab,2019-01-19,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,2,0.4216823088962911,2093052,0.0,0.0,0.0,0.0
GCF_009789085.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM13875,GCF_009789085.1,3,1946342,648780.7,1853722,1853722,1853722,1768385.491,20732,1853722,95.24132963271614,ASM978908v1,1254,,GCF_009789085.1,GCA_009789085.1,yes,SAMN13008412,Agroscope,2019-12-20,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,3,0.422446312107533,1946342,0.0,0.0,0.0,0.0
GCF_009808095.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM18098,GCF_009808095.1,2,1910394,955197.0,1830469,1830469,1830469,1757231.632,79925,1830469,95.81630804954372,ASM980809v1,1254,,GCF_009808095.1,GCA_009808095.1,yes,SAMN13008307,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,2,0.4236325072210235,1910394,0.0,0.0,0.0,0.0
GCF_009807885.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19476,GCF_009807885.1,12,2065612,172134.3,558913,239533,78955,404587.828,370,564253,27.05798572045476,ASM980788v1,1254,,GCF_009807885.1,GCA_009807885.1,yes,SAMN13008319,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,12,0.4200149882940261,2065612,0.0,0.0,0.0,0.0
GCF_009807905.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM19071,GCF_009807905.1,10,2044227,204422.7,455164,313736,128346,403322.194,443,582196,22.265824685810333,ASM980790v1,1254,,GCF_009807905.1,GCA_009807905.1,yes,SAMN13008316,Agroscope,2019-12-30,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,10,0.4198276414507782,2044227,0.0,0.0,0.0,0.0
GCF_004099705.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,L3-A,GCF_004099705.1,16,1948817,121801.1,434882,310817,101073,413894.602,255,636445,22.31517890084087,ASM409970v1,1254,,GCF_004099705.1,GCA_004099705.1,yes,SAMN10744158,Texas Tech University,2019-01-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,16,0.4220237200311779,1948817,1.0,1.0,1.0,1.0
GCF_021378045.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,ST31BZ,GCF_021378045.1,21,1957512,93214.9,433517,311146,72528,386872.963,1042,597929,22.14632656147191,ASM2137804v1,1254,,GCF_021378045.1,GCA_021378045.1,yes,SAMN19274595,Universidade de Sao Paulo,2022-01-05,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,21,0.4211713644667312,1957512,2.0,2.0,2.0,2.0
GCF_902373655.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,MGYG-HGUT-01296,GCF_902373655.1,4,1942827,485706.8,1937622,1937622,1937622,1932436.581,732,1937622,99.73209143171266,MGYG-HGUT-01296,1254,,GCF_902373655.1,GCA_902373655.1,yes,SAMEA5850799,EMG,2019-08-22,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,4,0.4184716395232308,1942827,0.0,0.0,0.0,0.0
GCF_005864375.1,custom,Pediococcus acidilactici (firmicutes),Pediococcus,acidilactici,FAM 18969,GCF_005864375.1,18,2075235,115290.8,413925,314878,118462,364027.247,244,502975,19.94593383399952,ASM586437v1,1254,,GCF_005864375.1,GCA_005864375.1,yes,SAMN11653951,Agroscope,2019-05-23,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,Pediococcus,18,0.420401544885278,2075235,0.0,0.0,0.0,0.0
