genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_016127775.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,FDAARGOS_1009,GCF_016127775.1,2,1751923,875961.5,1717965,1717965,1717965,1685323.434,33958,1717965,98.06167280182976,ASM1612777v1,1255,,GCF_016127775.1,GCA_016127775.1,yes,SAMN16357178,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,2,0.3740758012766543,1751923,3.0,0.0,3.0,3.0
GCF_007923185.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,SL001,GCF_007923185.1,2,1919175,959587.5,1842476,1842476,1842476,1771907.485,76699,1842476,96.00354318913077,ASM792318v1,1255,,GCF_007923185.1,GCA_007923185.1,yes,SAMN11094516,Hunan Normal University,2019-08-09,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,2,0.3744280745632889,1919175,3.0,1.0,3.0,3.0
GCF_009791435.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,GDIAS001,GCF_009791435.1,1,1831351,1831351.0,1831351,1831351,1831351,1831351.0,1831351,1831351,100.0,ASM979143v1,1255,,GCF_009791435.1,GCA_009791435.1,yes,SAMN13611447,Guangdong Academy of Agricultural Sciences,2019-12-23,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,1,0.371469477997391,1831351,2.0,0.0,2.0,2.0
GCF_009914035.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,SRCM102740,GCF_009914035.1,2,1875540,937770.0,1818150,1818150,1818150,1764272.175,57390,1818150,96.9400812565981,ASM991403v1,1255,,GCF_009914035.1,GCA_009914035.1,yes,SAMN08707615,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,2,0.3739589664843192,1875540,2.0,0.0,2.0,2.0
GCF_009913995.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,SRCM102738,GCF_009913995.1,2,1875539,937769.5,1818149,1818149,1818149,1764271.177,57390,1818149,96.94007962511044,ASM991399v1,1255,,GCF_009913995.1,GCA_009913995.1,yes,SAMN08707613,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,2,0.3739586326917222,1875539,2.0,0.0,2.0,2.0
GCF_009914015.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,SRCM102739,GCF_009914015.1,3,1899184,633061.3,1818149,1818149,1818149,1742600.235,23645,1818149,95.73316750772965,ASM991401v1,1255,,GCF_009914015.1,GCA_009914015.1,yes,SAMN08707614,Microbial Institute for Fermentation Industry,2020-01-22,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,3,0.3735688590468327,1899184,2.0,0.0,2.0,2.0
GCF_016128215.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,FDAARGOS_1010,GCF_016128215.1,6,1948413,324735.5,1803065,1803065,1803065,1671458.296,6694,1803065,92.54018526872896,ASM1612821v1,1255,,GCF_016128215.1,GCA_016128215.1,yes,SAMN16357179,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,6,0.3732304188075115,1948413,2.0,1.0,2.0,2.0
GCF_016126975.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,FDAARGOS_1011,GCF_016126975.1,1,1785764,1785764.0,1785764,1785764,1785764,1785764.0,1785764,1785764,100.0,ASM1612697v1,1255,,GCF_016126975.1,GCA_016126975.1,yes,SAMN16357180,US Food and Drug Administration,2020-12-20,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,1,0.3733774451719264,1785764,2.0,0.0,2.0,2.0
GCF_002982155.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,KCCM 40703,GCF_002982155.1,1,1758362,1758362.0,1758362,1758362,1758362,1758362.0,1758362,1758362,100.0,ASM298215v1,1255,,GCF_002982155.1,GCA_002982155.1,yes,SAMN06447729,Kyungpook National University,2018-03-08,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,1,0.3720218021090082,1758362,1.0,0.0,1.0,1.0
GCF_002202155.1,custom,Pediococcus pentosaceus (firmicutes),Pediococcus,pentosaceus,SRCM100194,GCF_002202155.1,3,1869792,623264.0,1757573,1757573,1757573,1655476.752,51763,1757573,93.9983163902723,ASM220215v1,1255,,GCF_002202155.1,GCA_002202155.1,yes,SAMN07224387,Microbial Institute for Fermentation Industry,2017-06-20,na,major,Complete Genome,full,ppentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,,Pediococcus,3,0.3737977272338313,1869792,1.0,0.0,1.0,1.0
