genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_002091995.1,custom,Lacticaseibacillus casei (firmicutes),Lacticaseibacillus,casei,GCRL 163,GCF_002091995.1,77,2977711,38671.6,105124,49319,28343,132115.33,207,322041,3.530362751791561,ASM209199v1,1582,,GCF_002091995.1,GCA_002091995.1,yes,SAMN05949208,University of Tasmania,2017-04-13,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,77,0.4635436414077793,2977711,1.0,0.0,1.0,1.0
GCF_002091975.1,custom,Lacticaseibacillus casei (firmicutes),Lacticaseibacillus,casei,MJA 12,GCF_002091975.1,96,3159370,32910.1,93220,39892,19657,133730.313,217,436660,2.95058825018912,ASM209197v1,1582,,GCF_002091975.1,GCA_002091975.1,yes,SAMN05949223,University of Tasmania,2017-04-13,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,96,0.46310815130864696,3159370,1.0,0.0,1.0,1.0
GCF_007989685.1,custom,Lacticaseibacillus casei (firmicutes),Lacticaseibacillus,casei,NBRC 101979,GCF_007989685.1,123,3034666,24672.1,67872,33513,13843,128332.154,508,480713,2.2365558516159605,ASM798968v1,1582,,GCF_007989685.1,GCA_007989685.1,yes,SAMD00166012,National Institute of Technology and Evaluation,2019-08-01,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,123,0.46083588770559925,3034666,5.0,2.0,5.0,5.0
GCF_000309565.2,custom,Lactobacillus casei 12A (firmicutes),Lactobacillus,casei,12A,GCF_000309565.2,1,2907892,2907892.0,2907892,2907892,2907892,2907892.0,2907892,2907892,100.0,ASM30956v2,1051650,,GCF_000309565.2,GCA_000309565.2,yes,SAMN02472008,University of Wisconsin-Madison and Utah State University,2014-05-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,1,0.4644415954925424,2907892,2.0,0.0,2.0,2.0
GCF_000510825.1,custom,Lacticaseibacillus casei A2-362 (firmicutes),Lacticaseibacillus,casei,A2-362,GCF_000510825.1,162,3186676,19670.8,53770,21155,7944,79443.883,1063,228744,1.6873381542397157,ASM51082v1,1051653,,GCF_000510825.1,GCA_000510825.1,yes,SAMN02597184,DOE Joint Genome Institute,2013-12-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,162,0.46187751751354705,3186676,3.0,2.0,3.0,3.0
GCF_000019245.4,custom,Lacticaseibacillus paracasei (firmicutes),Lacticaseibacillus,paracasei,Zhang,GCF_000019245.4,2,2898456,1449228.0,2861969,2861969,2861969,2826400.628,36487,2861969,98.74115736102256,ASM1924v3,1597,Representative Genome,GCF_000019245.4,GCA_000019245.3,yes,SAMN02603933,"The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China",2015-02-05,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,2,0.4643078935819623,2898456,1.0,0.0,1.0,1.0
GCF_009931715.1,custom,Lacticaseibacillus paracasei (firmicutes),Lacticaseibacillus,paracasei,CACC 566,GCF_009931715.1,3,3240202,1080067.3,3123521,3123521,3123521,3013168.033,51921,3123521,96.39895907724272,ASM993171v1,1597,,GCF_009931715.1,GCA_009931715.1,yes,SAMN13871807,Center for Industrialization of Agricultural and Livestock Microorganisms,2020-01-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,3,0.46140240639318164,3240202,3.0,0.0,3.0,3.0
GCF_000418515.1,custom,Lacticaseibacillus paracasei (firmicutes),Lacticaseibacillus,paracasei,LOCK919,GCF_000418515.1,2,3143369,1571684.5,3113601,3113601,3113601,3084396.812,29768,3113601,99.0529905970314,ASM41851v1,1597,,GCF_000418515.1,GCA_000418515.1,yes,SAMN02603330,IBB PAS,2013-07-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,2,0.4622336734885405,3143369,1.0,0.0,1.0,1.0
GCF_012955485.1,custom,Lacticaseibacillus paracasei (firmicutes),Lacticaseibacillus,paracasei,347-16,GCF_012955485.1,3,3219033,1073011.0,3102350,3102350,3102350,2992036.864,51922,3102350,96.37521578685276,ASM1295548v1,1597,,GCF_012955485.1,GCA_012955485.1,yes,SAMN13259076,Stavropol Plague Control Reseach Institute,2020-05-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,3,0.4614485157499162,3219033,3.0,0.0,3.0,3.0
GCF_003966835.1,custom,Lacticaseibacillus paracasei (firmicutes),Lacticaseibacillus,paracasei,IJH-SONE68,GCF_003966835.1,3,3181204,1060401.3,3084917,3084917,3084917,2993006.748,45267,3084917,96.97325289418724,ASM396683v1,1597,,GCF_003966835.1,GCA_003966835.1,yes,SAMD00094822,Hiroshima University,2018-07-25,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,,Lacticaseibacillus,3,0.4639168063412469,3181204,1.0,0.0,1.0,1.0
