genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_014841055.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,ZLp4b,GCF_014841055.1,3,2310004,770001.3,2003344,2003344,274836,1770531.469,31824,2003344,86.72469831221072,ASM1484105v1,1624,,GCF_014841055.1,GCA_014841055.1,yes,SAMN16131617,Lanzhou Veterinary Research Institute,2020-10-04,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,3,0.3289842788151016,2310004,1.0,0.0,1.0,1.0
GCF_011045395.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,IBB3154,GCF_011045395.1,3,2165513,721837.7,1921419,1921419,230637,1729486.496,13457,1921419,88.72812123501453,ASM1104539v1,1624,,GCF_011045395.1,GCA_011045395.1,yes,SAMN08575814,IBB PAS,2020-03-02,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,3,0.3289557716808904,2165513,1.0,0.0,1.0,1.0
GCF_002162055.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,ZLS006,GCF_002162055.1,3,2177581,725860.3,1893327,1893327,264403,1678463.459,19851,1893327,86.94634091682468,ASM216205v1,1624,,GCF_002162055.1,GCA_002162055.1,yes,SAMN06698339,Beijing Academy of Agriculture and Forestry Sciences,2017-05-31,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,3,0.3320625042191312,2177581,2.0,0.0,2.0,2.0
GCF_003316955.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,DJ-sa-01,GCF_003316955.1,1,1870629,1870629.0,1870629,1870629,1870629,1870629.0,1870629,1870629,100.0,ASM331695v1,1624,,GCF_003316955.1,GCA_003316955.1,yes,SAMN08281078,Sungkyunkwan University,2018-07-13,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,1,0.329761807392059,1870629,1.0,0.0,1.0,1.0
GCF_021266585.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,BNS11,GCF_021266585.1,7,2298974,328424.9,1865220,1865220,359787,1570584.346,2037,1865220,81.13271398458616,ASM2126658v1,1624,,GCF_021266585.1,GCA_021266585.1,yes,SAMN24045799,Chinese Academy of Agricultural Sciences,2021-12-22,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,7,0.3298027728891236,2298974,2.0,0.0,2.0,2.0
GCF_000758365.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,JCM1046,GCF_000758365.1,5,2320461,464092.2,1836297,1836297,129218,1486111.243,33315,1836297,79.13500808675518,ASM75836v1,1624,,GCF_000758365.1,GCA_000758365.1,yes,SAMN02711722,University College Cork,2014-09-26,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,5,0.3298857425313332,2320461,2.0,0.0,2.0,2.0
GCF_900094615.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,LPM01,GCF_900094615.1,2,2033361,1016680.5,1788723,1788723,244638,1602950.839,244638,1788723,87.96878665421438,ASM90009461v1,1624,,GCF_900094615.1,GCA_900094615.1,yes,SAMEA4359642,Wellness Technologies Spa,2016-09-30,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,2,0.328957819098527,2033361,2.0,0.0,2.0,2.0
GCF_020535185.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,AR809,GCF_020535185.1,5,2028711,405742.2,1747224,1747224,247948,1535474.685,2898,1747224,86.12483493213178,ASM2053518v1,1624,,GCF_020535185.1,GCA_020535185.1,yes,SAMN22202533,University of Shanghai for Science and Technology,2021-10-20,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,5,0.3286687951117729,2028711,2.0,1.0,2.0,2.0
GCF_001723525.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,CICC 23174,GCF_001723525.1,4,2083592,520898.0,1746897,1746897,279615,1502917.008,27292,1746897,83.84064634534977,ASM172352v1,1624,,GCF_001723525.1,GCA_001723525.1,yes,SAMN05277751,Acadamy of Military Medical Sciences,2016-09-13,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,4,0.3284443403507021,2083592,2.0,1.0,2.0,2.0
GCF_013487885.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,2D,GCF_013487885.1,3,1983159,661053.0,1700858,1700858,248523,1490461.718,33778,1700858,85.76508489737837,ASM1348788v1,1624,,GCF_013487885.1,GCA_013487885.1,yes,SAMN13624825,North Carolina State University,2020-07-23,na,major,Complete Genome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,3,0.3318185783389027,1983159,1.0,0.0,1.0,1.0
GCF_002736025.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,BCRC 14759,GCF_002736025.1,4,2117615,529403.8,1704023,1704023,405494,1448872.153,3398,1704023,80.46897098858858,ASM273602v1,1624,,GCF_002736025.1,GCA_002736025.1,yes,SAMN07807134,Food Industry Research and Development Institute,2017-10-30,na,major,Chromosome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,4,0.3297662700726997,2117615,1.0,0.0,1.0,1.0
GCF_002735985.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,BCRC 12574,GCF_002735985.1,4,2049688,512422.0,1507589,269701,250219,1175137.23,22179,1507589,73.55212110330937,ASM273598v1,1624,,GCF_002735985.1,GCA_002735985.1,yes,SAMN07792363,Food Industry Research and Development Institute,2017-10-30,na,major,Chromosome,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,4,0.3286949038097506,2049688,1.0,0.0,1.0,1.0
GCF_002079585.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,DSM 20554,GCF_002079585.1,51,1971822,38663.2,170258,91408,49196,173680.507,207,334317,8.634552206030767,ASM207958v1,1624,,GCF_002079585.1,GCA_002079585.1,yes,SAMN06163261,University College Cork,2017-04-05,na,major,Scaffold,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,51,0.3260289214746564,1971822,1.0,0.0,1.0,1.0
GCF_902385835.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,MGYG-HGUT-02324,GCF_902385835.1,3,1978364,659454.7,1751565,1751565,176951,1567849.207,49848,1751565,88.53603280286136,UHGG_MGYG-HGUT-02324,1624,,GCF_902385835.1,GCA_902385835.1,yes,SAMEA5851828,EMG,2019-08-15,na,major,Contig,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,3,0.3303653928195216,1978364,1.0,0.0,1.0,1.0
GCF_002738245.1,custom,Ligilactobacillus salivarius (firmicutes),Ligilactobacillus,salivarius,SGL 03,GCF_002738245.1,5,1989039,397807.8,1701783,1701783,175036,1474720.135,16883,1701783,85.55805089794619,ASM273824v1,1624,,GCF_002738245.1,GCA_002738245.1,yes,SAMN07787064,University of Bologna,2017-10-31,na,major,Scaffold,full,lsalivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,,Ligilactobacillus,5,0.3298140458784367,1989039,1.0,0.0,1.0,1.0
