genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_003641185.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,DSM 20314,GCF_003641185.1,2,3671373,1835686.5,3622107,3622107,3622107,3574163.197,49266,3622107,98.65810420243326,ASM364118v1,1589,Representative Genome,GCF_003641185.1,GCA_003641185.1,yes,SAMN10174879,Korea University,2018-10-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,2,0.4633552624590309,3671373,2.0,0.0,2.0,2.0
GCF_002850015.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,BGM48,GCF_002850015.1,6,3676811,612801.8,3591251,3591251,3591251,3508189.785,10370,3591251,97.6729834631152,ASM285001v1,1589,,GCF_002850015.1,GCA_002850015.1,yes,SAMN05412454,UC Davis,2018-01-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,6,0.4617822346593284,3676811,2.0,0.0,2.0,2.0
GCF_003627295.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,ZFM222,GCF_003627295.1,5,3701596,740319.2,3564857,3564857,3564857,3435418.721,8616,3564857,96.30594478705942,ASM362729v1,1589,,GCF_003627295.1,GCA_003627295.1,yes,SAMN07303442,Zhejiang Gongshang University,2018-10-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,5,0.4614677020398768,3701596,2.0,0.0,2.0,2.0
GCF_003627375.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,ZFM94,GCF_003627375.1,4,3687169,921792.2,3564833,3564833,3564833,3448740.73,9828,3564833,96.68211573703294,ASM362737v1,1589,,GCF_003627375.1,GCA_003627375.1,yes,SAMN07302932,Zhejiang Gongshang University,2018-10-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,4,0.4619272943551001,3687169,2.0,0.0,2.0,2.0
GCF_002211885.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,SLC13,GCF_002211885.1,2,3583008,1791504.0,3520510,3520510,3520510,3460192.291,62498,3520510,98.25571140226312,ASM221188v1,1589,,GCF_002211885.1,GCA_002211885.1,yes,SAMN07267280,National Yang Ming University,2017-06-30,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,2,0.4639769154855361,3583008,1.0,0.0,1.0,1.0
GCF_016804305.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,MS031,GCF_016804305.1,9,3805124,422791.6,3581301,3581301,3581301,3373361.831,3528,3581301,94.11785266393422,ASM1680430v1,1589,,GCF_016804305.1,GCA_016804305.1,yes,SAMN12671278,Southwest University,2021-02-03,na,major,Chromosome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,9,0.4606701384764333,3805124,2.0,0.0,2.0,2.0
GCF_004354685.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,ATCC 8041,GCF_004354685.1,42,3701834,88138.9,188995,88826,55258,200505.455,851,418676,5.105442329396726,ASM435468v1,1589,,GCF_004354685.1,GCA_004354685.1,yes,SAMN08556546,Carlsberg Research Laboratory,2019-03-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,42,0.4631471859624175,3701834,2.0,1.0,2.0,2.0
GCF_009812415.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,DZ35,GCF_009812415.1,45,3962622,88058.3,855608,726455,306591,866272.429,233,1394121,21.59196612747822,ASM981241v1,1589,,GCF_009812415.1,GCA_009812415.1,yes,SAMN12671269,Southwest University,2019-12-31,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,45,0.4584133939598579,3962622,2.0,1.0,2.0,2.0
GCF_001188985.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,FL0421,GCF_001188985.1,19,3716548,195607.8,620519,498925,147308,597272.116,687,993479,16.69611155297873,ASM118898v1,1589,,GCF_001188985.1,GCA_001188985.1,yes,SAMN03785590,Huazhong Agriculture University,2015-07-30,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,19,0.4619111605715841,3716548,2.0,1.0,2.0,2.0
GCF_020532005.1,custom,Lactiplantibacillus pentosus (firmicutes),Lactiplantibacillus,pentosus,GPS1-6,GCF_020532005.1,150,3905499,26036.7,261886,123941,25229,251459.599,209,515161,6.705570786217075,ASM2053200v1,1589,,GCF_020532005.1,GCA_020532005.1,yes,SAMN22237326,Chandrakasem Rajabhat University,2021-10-19,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus,,Lactiplantibacillus,150,0.4584866108018463,3905499,2.0,1.0,2.0,2.0
