genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_015377785.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,P3MRA,GCF_015377785.1,1,1871250,1871250.0,1871250,1871250,1871250,1871250.0,1871250,1871250,100.0,ASM1537778v1,1584,,GCF_015377785.1,GCA_015377785.1,yes,SAMN13106283,Zhejiang Tianke High Technology Development Co.Ltd.,2020-11-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4972264529058116,1871250,1.0,0.0,1.0,1.0
GCF_009734125.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,TS1-06,GCF_009734125.1,1,1853687,1853687.0,1853687,1853687,1853687,1853687.0,1853687,1853687,100.0,ASM973412v1,1584,,GCF_009734125.1,GCA_009734125.1,yes,SAMN13382266,FSBSI Institute of Experimental Medicine,2019-12-07,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4977560936662986,1853687,2.0,0.0,2.0,2.0
GCF_009362855.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,328M,GCF_009362855.1,73,1785290,24456.0,60623,28883,15771,64799.749,500,135527,3.39569481708854,ASM936285v1,1584,,GCF_009362855.1,GCA_009362855.1,yes,SAMN13056197,Max Rubner-Institut,2019-10-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,73,0.4972441452089016,1785290,0.0,0.0,0.0,0.0
GCF_019583415.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,SW-B10,GCF_019583415.1,63,1738505,27595.3,57987,34940,16339,75050.105,302,176459,3.33545201192979,ASM1958341v1,1584,,GCF_019583415.1,GCA_019583415.1,yes,SAMN10274219,INRA,2021-08-12,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,63,0.5020750587430004,1738505,1.0,0.0,1.0,1.0
GCF_002847905.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,UMB0003,GCF_002847905.1,79,2049233,25939.7,50184,32421,17661,65858.241,300,153700,2.448916253056632,ASM284790v1,1584,,GCF_002847905.1,GCA_002847905.1,yes,SAMN08193694,Loyola University Chicago,2017-12-28,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,79,0.4939916544385143,2049233,0.0,0.0,0.0,0.0
GCF_902374335.1,custom,Lactobacillus delbrueckii (firmicutes),Lactobacillus,delbrueckii,MGYG-HGUT-01369,GCF_902374335.1,26,2071079,79656.9,2038844,2038844,2038844,2007136.931,517,2038844,98.44356492437034,MGYG-HGUT-01369,1584,,GCF_902374335.1,GCA_902374335.1,yes,SAMEA5850872,EMG,2019-08-22,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,26,0.4510687424284636,2071079,3.0,0.0,3.0,3.0
GCF_003597655.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,KLDS1.0207,GCF_003597655.1,1,1869179,1869179.0,1869179,1869179,1869179,1869179.0,1869179,1869179,100.0,ASM359765v1,1585,,GCF_003597655.1,GCA_003597655.1,yes,SAMN10068249,Northeast Agricultural University,2018-09-26,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4982941708632507,1869179,2.0,0.0,2.0,2.0
GCF_001953135.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,DSM 20080,GCF_001953135.1,1,1868180,1868180.0,1868180,1868180,1868180,1868180.0,1868180,1868180,100.0,ASM195313v1,1585,,GCF_001953135.1,GCA_001953135.1,yes,SAMN06046524,Korea University,2017-01-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4978069565031207,1868180,2.0,0.0,2.0,2.0
GCF_002000885.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,ND04,GCF_002000885.1,1,1861754,1861754.0,1861754,1861754,1861754,1861754.0,1861754,1861754,100.0,ASM200088v1,1585,,GCF_002000885.1,GCA_002000885.1,yes,SAMN05357477,Inner Mongolia Agricultural University,2017-02-16,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4960472758484741,1861754,1.0,0.0,1.0,1.0
GCF_900196735.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,Lactobacillus bulgaricus ACA-DC 87,GCF_900196735.1,1,1856003,1856003.0,1856003,1856003,1856003,1856003.0,1856003,1856003,100.0,Lactobacillus bulgaricus ACA-DC 87,1585,,GCF_900196735.1,GCA_900196735.1,yes,SAMEA104141261,Agricultural University of Athens,2017-07-07,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,1,0.4980379880851485,1856003,0.0,0.0,0.0,0.0
GCF_001510975.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,CFL1,GCF_001510975.1,44,1757917,39952.7,115532,47958,19231,131705.452,1107,265756,6.572096407282028,Lactobacillus delbrueckii subsp. bulgaricus CFL1,1585,,GCF_001510975.1,GCA_001510975.1,yes,SAMEA3628664,INRA GRIGNON,2016-01-03,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,44,0.4983511735764544,1757917,1.0,0.0,1.0,1.0
GCF_021133885.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,CIRM BIA 864,GCF_021133885.1,94,1804034,19191.9,114408,63786,32885,264813.596,201,569904,6.341787349905823,ASM2113388v1,1585,,GCF_021133885.1,GCA_021133885.1,yes,SAMN23014269,Agroscope,2021-12-09,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,94,0.4995055525561048,1804034,1.0,0.0,1.0,1.0
GCF_021133875.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,CIRM BIA 905,GCF_021133875.1,116,1825362,15735.9,111366,49596,24910,148473.106,200,315008,6.10103639716396,ASM2113387v1,1585,,GCF_021133875.1,GCA_021133875.1,yes,SAMN23014270,Agroscope,2021-12-09,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,116,0.4969666290850801,1825362,2.0,0.0,2.0,2.0
GCF_003326615.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,MBT 92059,GCF_003326615.1,44,1831175,41617.6,106538,49980,20624,178664.16,1100,462962,5.818013024424208,ASM332661v1,1585,,GCF_003326615.1,GCA_003326615.1,yes,SAMN09642035,Max-Rubner Institut,2018-07-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,44,0.4979715210179256,1831175,2.0,0.0,2.0,2.0
GCF_021133685.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,CIRM BIA 1581,GCF_021133685.1,97,1779909,18349.6,106168,52645,22808,149033.577,201,320168,5.964799324010385,ASM2113368v1,1585,,GCF_021133685.1,GCA_021133685.1,yes,SAMN23014277,Agroscope,2021-12-09,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,97,0.4985193063240873,1779909,1.0,0.0,1.0,1.0
GCF_021133775.1,custom,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus,delbrueckii,CIRM BIA 1379,GCF_021133775.1,95,1779231,18728.7,106168,53097,22808,149830.001,201,320169,5.967072291343845,ASM2113377v1,1585,,GCF_021133775.1,GCA_021133775.1,yes,SAMN23014274,Agroscope,2021-12-09,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,,Lactobacillus,95,0.498476589043244,1779231,1.0,0.0,1.0,1.0
