genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_024722515.1,PRJNA868395,ASM2472251v1,Complete Genome,na,SAMN30244782,2022-08-21,GCA_024722515.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_024722515.1,,yes,major,amycolatum,BER245,State University of Londrina,43765,ncbi
GCF_002847785.1,PRJNA316969,ASM284778v1,Scaffold,na,SAMN08193653,2017-12-28,GCA_002847785.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_002847785.1,,yes,major,amycolatum,UMB0042,Loyola University Chicago,43765,ncbi
GCF_030230115.1,PRJNA970254,ASM3023011v1,Contig,na,SAMN35153912,2023-06-07,GCA_030230115.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_030230115.1,,yes,major,amycolatum,UMB9351A,Loyola University Chicago,43765,ncbi
GCF_030218665.1,PRJNA970254,ASM3021866v1,Contig,na,SAMN34996450,2023-06-07,GCA_030218665.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_030218665.1,,yes,major,amycolatum,UMB0042B,Loyola University Chicago,43765,ncbi
GCF_022346265.1,PRJNA694925,ASM2234626v1,Contig,na,SAMN17729880,2022-02-20,GCA_022346265.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_022346265.1,,yes,major,amycolatum,ACRPW,NHGRI/NIH,43765,ncbi
GCF_028527865.1,PRJNA269675,ASM2852786v1,Contig,na,SAMN31031745,2023-02-06,GCA_028527865.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_028527865.1,,yes,major,amycolatum,SCPM-O-B-9436 (R3),SRCAMB,43765,ncbi
GCF_025146405.1,PRJNA803478,ASM2514640v1,Contig,na,SAMN25653425,2022-09-12,GCA_025146405.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_025146405.1,,yes,major,amycolatum,p3-SID751,University of Wisconsin - Madison,43765,ncbi
GCF_001722255.1,PRJNA339674,ASM172225v1,Contig,na,SAMN05601680,2016-09-08,GCA_001722255.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_001722255.1,,yes,major,amycolatum,ICIS 53,Institute of Cellular and Intracellular Symbiosis Russian Academy of Sciences,43765,ncbi
GCF_020161895.1,PRJNA339674,ASM2016189v1,Contig,na,SAMN21545782,2021-09-27,GCA_020161895.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_020161895.1,,yes,major,amycolatum,ICIS 99,Institute of Cellular and Intracellular Symbiosis Russian Academy of Sciences,43765,ncbi
GCF_008368695.1,PRJNA339674,ASM836869v1,Contig,na,SAMN11391704,2019-09-10,GCA_008368695.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_008368695.1,,yes,major,amycolatum,ICIS 5,Institute of Cellular and Intracellular Symbiosis Russian Academy of Sciences,43765,ncbi
GCF_030230685.1,PRJNA970254,ASM3023068v1,Contig,na,SAMN35153858,2023-06-07,GCA_030230685.1,full,Corynebacterium,Corynebacterium amycolatum (high G+C Gram-positive bacteria),GCF_030230685.1,,yes,major,amycolatum,UMB8929,Loyola University Chicago,43765,ncbi
