genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_001507765.1,PRJNA80833,LI6934,Contig,na,SAMN04388495,2016-01-08,GCA_001507765.1,full,Bacillus,Bacillus licheniformis LMG 6934 (firmicutes),GCF_001507765.1,,yes,major,licheniformis,LMG 6934,University of Ghent,1131734,ncbi
GCF_001507755.1,PRJNA80829,LI7559,Contig,na,SAMN04388493,2016-01-08,GCA_001507755.1,full,Bacillus,Bacillus licheniformis LMG 7559 (firmicutes),GCF_001507755.1,,yes,major,licheniformis,LMG 7559,University of Ghent,1131732,ncbi
GCF_002993925.1,PRJNA412146,ASM299392v1,Complete Genome,na,SAMN07701716,2018-03-12,GCA_002993925.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_002993925.1,Representative Genome,yes,major,paralicheniformis,Bac84,King Abdullah University of Science and Technology,1648923,ncbi
GCF_008365255.1,PRJNA552192,ASM836525v1,Complete Genome,na,SAMN12179583,2019-09-10,GCA_008365255.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_008365255.1,,yes,major,paralicheniformis,A4-3,National Institute of Agricultural Sciences,1648923,ncbi
GCF_002393225.1,PRJNA401080,ASM239322v1,Complete Genome,na,SAMN07594137,2017-09-28,GCA_002393225.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_002393225.1,,yes,major,paralicheniformis,14DA11,Dongduk Women's University,1648923,ncbi
GCF_021654755.1,PRJDB12645,ASM2165475v1,Complete Genome,na,SAMD00425497,2021-12-20,GCA_021654755.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_021654755.1,,yes,major,paralicheniformis,J41TS8,Obihiro University of Agriculture and Veterinary Medicine,1648923,ncbi
GCF_003711025.1,PRJNA492145,ASM371102v1,Complete Genome,na,SAMN10094284,2018-11-05,GCA_003711025.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_003711025.1,,yes,major,paralicheniformis,CBMAI 1303,Brazilian Microbiome Project,1648923,ncbi
GCF_002993945.1,PRJNA412146,ASM299394v1,Complete Genome,na,SAMN07701715,2018-03-12,GCA_002993945.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_002993945.1,,yes,major,paralicheniformis,Bac48,King Abdullah University of Science and Technology,1648923,ncbi
GCF_009497935.1,PRJNA488539,ASM949793v1,Complete Genome,na,SAMN09935371,2019-11-04,GCA_009497935.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_009497935.1,,yes,major,paralicheniformis,FA6,"Institute of Hydrobiology, Chinese Academy of Sciences",1648923,ncbi
GCF_900635765.1,PRJEB6403,33763_B01,Complete Genome,na,SAMEA2771256,2018-12-20,GCA_900635765.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_900635765.1,,yes,major,paralicheniformis,NCTC8721,SC,1648923,ncbi
GCF_021654735.1,PRJDB12645,ASM2165473v1,Complete Genome,na,SAMD00425496,2021-12-20,GCA_021654735.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_021654735.1,,yes,major,paralicheniformis,J36TS2,Obihiro University of Agriculture and Veterinary Medicine,1648923,ncbi
GCF_021654715.1,PRJDB12645,ASM2165471v1,Complete Genome,na,SAMD00425495,2021-12-20,GCA_021654715.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_021654715.1,,yes,major,paralicheniformis,J25TS1,Obihiro University of Agriculture and Veterinary Medicine,1648923,ncbi
GCF_000876525.1,PRJNA271049,ASM87652v1,Complete Genome,na,SAMN03272542,2015-02-17,GCA_000876525.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_000876525.1,,yes,major,paralicheniformis,BL-09,Inner Mongolia Agricultural University,1648923,ncbi
GCF_002068155.1,PRJNA379336,ASM206815v1,Complete Genome,na,SAMN06605939,2017-03-22,GCA_002068155.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_002068155.1,,yes,major,paralicheniformis,MDJK30,Shandong Agricultural University,1648923,ncbi
GCF_018324505.1,PRJDB9762,ASM1832450v1,Complete Genome,na,SAMD00222839,2021-03-16,GCA_018324505.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018324505.1,,yes,major,paralicheniformis,RSC-1,"Computational Bioscience Research Center, King Abdullah University of Science and Technology",1648923,ncbi
GCF_018324565.1,PRJDB9762,ASM1832456v1,Complete Genome,na,SAMD00222840,2021-03-16,GCA_018324565.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018324565.1,,yes,major,paralicheniformis,RSC-2,"Computational Bioscience Research Center, King Abdullah University of Science and Technology",1648923,ncbi
GCF_003171815.2,PRJNA471129,ASM317181v2,Complete Genome,na,SAMN09203095,2021-03-01,GCA_003171815.2,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_003171815.2,,yes,major,paralicheniformis,SUBG0010,SaurashtraUniversity,1648923,ncbi
GCF_020042645.1,PRJNA761002,ASM2004264v1,Chromosome,na,SAMN13510061,2021-09-20,GCA_020042645.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_020042645.1,,yes,major,paralicheniformis,ES-1,National University of sciences and technology,1648923,ncbi
GCF_018595795.2,PRJNA731607,ASM1859579v2,Chromosome,na,SAMN19291396,2021-10-15,GCA_018595795.2,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018595795.2,,yes,major,paralicheniformis,VITHBRA024,Vellore Institute of Technology,1648923,ncbi
GCF_011068305.1,PRJNA605457,ASM1106830v1,Chromosome,na,SAMN14066386,2020-03-09,GCA_011068305.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_011068305.1,,yes,major,paralicheniformis,ZAP17,Unversidad Michoacana de San Nicolas de Hidalgo,1648923,ncbi
GCF_001042485.2,PRJNA282685,ASM104248v2,Contig,na,SAMN03573918,2015-11-16,GCA_001042485.2,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_001042485.2,,yes,major,paralicheniformis,KJ-16,NCAUR-ARS-USDA,1648923,ncbi
GCF_018332895.1,PRJDB11087,ASM1833289v1,Contig,na,SAMD00277596,2021-03-26,GCA_018332895.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018332895.1,,yes,major,paralicheniformis,J23TS8,National Agriculture and Food Research Organization,1648923,ncbi
GCF_019037005.1,PRJNA728748,ASM1903700v1,Contig,na,SAMN19102908,2021-06-25,GCA_019037005.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_019037005.1,,yes,major,paralicheniformis,179-K 2B1 HS,"Jet Propulsion Laboratory, California Institute of Technology",1648923,ncbi
GCF_018332915.1,PRJDB11087,ASM1833291v1,Contig,na,SAMD00277597,2021-03-26,GCA_018332915.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018332915.1,,yes,major,paralicheniformis,J25TS1,National Agriculture and Food Research Organization,1648923,ncbi
GCF_019037035.1,PRJNA728748,ASM1903703v1,Contig,na,SAMN19102907,2021-06-25,GCA_019037035.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_019037035.1,,yes,major,paralicheniformis,179-K 9B1 HS,"Jet Propulsion Laboratory, California Institute of Technology",1648923,ncbi
GCF_023930055.1,PRJNA822920,ASM2393005v1,Contig,na,SAMN27282932,2022-06-27,GCA_023930055.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_023930055.1,,yes,major,paralicheniformis,ZP1,Institute of Molecular Genetics and Genetic Engineering,1648923,ncbi
GCF_018917315.1,PRJNA733006,ASM1891731v1,Contig,na,SAMN19374056,2021-06-16,GCA_018917315.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_018917315.1,,yes,major,paralicheniformis,N28,The Institute of Microbiology of the Chinese Academy of Sciences,1648923,ncbi
GCF_023713125.1,PRJNA832800,ASM2371312v1,Contig,na,SAMN27922038,2022-06-13,GCA_023713125.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_023713125.1,,yes,major,paralicheniformis,MPF 38,Jet Propulsion Laboratory,1648923,ncbi
GCF_020072115.1,PRJNA640003,ASM2007211v1,Contig,na,SAMN15297336,2021-09-20,GCA_020072115.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_020072115.1,,yes,major,paralicheniformis,MB647,university of cambridge,1648923,ncbi
GCF_015953145.1,PRJNA638528,ASM1595314v1,Contig,na,SAMN15196594,2020-12-11,GCA_015953145.1,full,Bacillus,Bacillus paralicheniformis (firmicutes),GCF_015953145.1,,yes,major,paralicheniformis,G1,National Institute of Ocean Technology,1648923,ncbi
