genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_018987235.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,ATCC 33820,GCF_018987235.1,1,2239089,2239089.0,2239089,2239089,2239089,2239089.0,2239089,2239089,100.0,ASM1898723v1,47770,,GCF_018987235.1,GCA_018987235.1,yes,SAMN18472633,University of Siena,2021-06-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3700152160097253,2239089,3.0,0.0,3.0,3.0
GCF_020042125.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,Lc1226,GCF_020042125.1,1,2526154,2526154.0,2526154,2526154,2526154,2526154.0,2526154,2526154,100.0,ASM2004212v1,47770,,GCF_020042125.1,GCA_020042125.1,yes,SAMN21367958,University of Texas at Dallas,2021-09-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3711515608312082,2526154,4.0,0.0,4.0,4.0
GCF_020042005.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,Lc1700,GCF_020042005.1,3,2818964,939654.7,2423824,2423824,200485,2111771.412,194655,2423824,85.9827936788125,ASM2004200v1,47770,,GCF_020042005.1,GCA_020042005.1,yes,SAMN21367959,University of Texas at Dallas,2021-09-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,3,0.3685545469896032,2818964,4.0,0.0,4.0,4.0
GCF_016767795.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,PRL2021,GCF_016767795.1,1,2411492,2411492.0,2411492,2411492,2411492,2411492.0,2411492,2411492,100.0,ASM1676779v1,47770,,GCF_016767795.1,GCA_016767795.1,yes,SAMN15357510,University of Parma,2021-01-28,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3731063590507453,2411492,3.0,0.0,3.0,3.0
GCF_009730275.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,FDAARGOS_743,GCF_009730275.1,2,2386960,1193480.0,2373487,2373487,2373487,2360166.094,13473,2373487,99.4355581995509,ASM973027v1,47770,,GCF_009730275.1,GCA_009730275.1,yes,SAMN11056458,US Food and Drug Administration,2019-12-05,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3711989308576599,2386960,2.0,0.0,2.0,2.0
GCF_020887095.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,KT-11,GCF_020887095.1,2,2397766,1198883.0,2363434,2363434,2363434,2330085.154,34332,2363434,98.56816720230414,ASM2088709v1,47770,,GCF_020887095.1,GCA_020887095.1,yes,SAMD00404900,KITII Corporation,2021-10-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3669824328145448,2397766,2.0,0.0,2.0,2.0
GCF_003971565.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,AB70,GCF_003971565.1,2,2367925,1183962.5,2351263,2351263,2351263,2334835.486,16662,2351263,99.2963459569032,ASM397156v1,47770,,GCF_003971565.1,GCA_003971565.1,yes,SAMN08409124,KRIBB,2018-12-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3726490492730978,2367925,2.0,0.0,2.0,2.0
GCF_020042225.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,Lc116,GCF_020042225.1,2,2447242,1223621.0,2350925,2350925,2350925,2262189.567,96317,2350925,96.06426336259348,ASM2004222v1,47770,,GCF_020042225.1,GCA_020042225.1,yes,SAMN21367957,University of Texas at Dallas,2021-09-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3716420362187311,2447242,4.0,0.0,4.0,4.0
GCF_013487905.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,1D,GCF_013487905.1,1,2349358,2349358.0,2349358,2349358,2349358,2349358.0,2349358,2349358,100.0,ASM1348790v1,47770,,GCF_013487905.1,GCA_013487905.1,yes,SAMN13624824,North Carolina State University,2020-07-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3693004642119251,2349358,3.0,0.0,3.0,3.0
GCF_003795065.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,CO3MRSI1,GCF_003795065.1,1,2345902,2345902.0,2345902,2345902,2345902,2345902.0,2345902,2345902,100.0,ASM379506v1,47770,,GCF_003795065.1,GCA_003795065.1,yes,SAMN10343598,University of Maryland Baltimore,2018-11-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.370892304964146,2345902,2.0,0.0,2.0,2.0
GCF_021278945.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,lc31,GCF_021278945.1,1,2321025,2321025.0,2321025,2321025,2321025,2321025.0,2321025,2321025,100.0,ASM2127894v1,47770,,GCF_021278945.1,GCA_021278945.1,yes,SAMN15862579,Anhui Provincial Cancer Hospital,2021-12-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3717077584256955,2321025,2.0,0.0,2.0,2.0
GCF_018885325.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,PMC201,GCF_018885325.1,4,2391600,597900.0,2315587,2315587,2315587,2243014.35,9163,2315587,96.82166750292691,ASM1888532v1,47770,,GCF_018885325.1,GCA_018885325.1,yes,SAMN19601668,Probiotics Microbiome Convergence Center,2021-06-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,4,0.3727073925405586,2391600,3.0,0.0,3.0,3.0
GCF_021278925.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,lc83,GCF_021278925.1,1,2308435,2308435.0,2308435,2308435,2308435,2308435.0,2308435,2308435,100.0,ASM2127892v1,47770,,GCF_021278925.1,GCA_021278925.1,yes,SAMN15862762,Anhui Provincial Cancer Hospital,2021-12-23,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3700173494163795,2308435,2.0,0.0,2.0,2.0
GCF_009933525.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,C25,GCF_009933525.1,2,2325084,1162542.0,2145933,2145933,2145933,1994389.674,179151,2145933,92.29485902444814,ASM993352v1,47770,,GCF_009933525.1,GCA_009933525.1,yes,SAMN13634618,North Carolina State University,2020-01-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3685927046076614,2325084,1.0,0.0,1.0,1.0
GCF_013456995.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,B4,GCF_013456995.1,1,2039590,2039590.0,2039590,2039590,2039590,2039590.0,2039590,2039590,100.0,ASM1345699v1,47770,,GCF_013456995.1,GCA_013456995.1,yes,SAMN15516019,Shanghai Jiao Tong University,2020-07-22,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,1,0.3701748880902534,2039590,1.0,0.0,1.0,1.0
GCF_009769205.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,DC21.1,GCF_009769205.1,2,2039404,1019702.0,2023061,2023061,2023061,2006979.933,16343,2023061,99.19863842573616,ASM976920v1,47770,,GCF_009769205.1,GCA_009769205.1,yes,SAMN11372136,University of Nottingham,2019-12-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3700350690691986,2039404,1.0,0.0,1.0,1.0
GCF_008694205.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,NCK971,GCF_008694205.1,2,2219892,1109946.0,2050458,2050458,2050458,1906888.214,169434,2050458,92.36746652539853,ASM869420v1,47770,,GCF_008694205.1,GCA_008694205.1,yes,SAMN12667796,North Carolina State University,2019-09-25,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,2,0.3691116504766898,2219892,0.0,0.0,0.0,0.0
GCF_001567095.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,JCM 5810,GCF_001567095.1,7,2048451,292635.9,1243967,434354,342795,905060.142,1289,1243967,60.72720314032408,ASM156709v1,47770,,GCF_001567095.1,GCA_001567095.1,yes,SAMN04498476,University of Illinois,2016-02-24,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,7,0.3680053855327757,2048451,2.0,0.0,2.0,2.0
GCF_009857395.1,custom,Lactobacillus crispatus (firmicutes),Lactobacillus,crispatus,Indica2,GCF_009857395.1,39,2209487,56653.5,153263,90889,48140,141825.176,1115,238218,6.9365875427191925,ASM985739v1,47770,,GCF_009857395.1,GCA_009857395.1,yes,SAMN13743077,Translational Health Science and Technology Institute,2020-01-12,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,,Lactobacillus,39,0.36487383723009,2209487,0.0,0.0,0.0,0.0
