genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_004771075.1,custom,Weissella confusa (firmicutes),Weissella,confusa,VTT E-133279,GCF_004771075.1,2,2216758,1108379.0,2212145,2212145,2212145,2207551.199,4613,2212145,99.79190331105154,ASM477107v1,1583,Representative Genome,GCF_004771075.1,GCA_004771075.1,yes,SAMN08627292,University of Saskatchewan,2019-04-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,2,0.450590907983641,2216758,1.0,0.0,1.0,1.0
GCF_019576155.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LM1,GCF_019576155.1,2,2529433,1264716.5,2503583,2503583,2503583,2478261.358,25850,2503583,98.9780318355932,ASM1957615v1,1583,,GCF_019576155.1,GCA_019576155.1,yes,SAMN20587850,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",2021-08-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,2,0.4441485502877522,2529433,2.0,0.0,2.0,2.0
GCF_011044335.1,custom,Weissella confusa (firmicutes),Weissella,confusa,N17,GCF_011044335.1,4,2332391,583097.8,2279677,2279677,2279677,2228718.181,3741,2279677,97.73991582028914,ASM1104433v1,1583,,GCF_011044335.1,GCA_011044335.1,yes,SAMN14115307,Jilin Agriculture University,2020-03-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,4,0.4484912692597425,2332391,1.0,0.0,1.0,1.0
GCF_016466525.1,custom,Weissella confusa (firmicutes),Weissella,confusa,UC 010F3,GCF_016466525.1,23,2359005,102565.4,631641,313178,110295,463239.443,205,661013,26.77573807601086,ASM1646652v1,1583,,GCF_016466525.1,GCA_016466525.1,yes,SAMN14219514,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,23,0.4464721354978052,2359005,1.0,0.0,1.0,1.0
GCF_016466405.1,custom,Weissella confusa (firmicutes),Weissella,confusa,UC 724F13,GCF_016466405.1,25,2335379,93415.2,631603,292815,110295,462567.013,205,661015,27.044989271548644,ASM1646640v1,1583,,GCF_016466405.1,GCA_016466405.1,yes,SAMN14219518,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,25,0.4470790394192976,2335379,1.0,0.0,1.0,1.0
GCF_004766265.1,custom,Weissella confusa (firmicutes),Weissella,confusa,VTT E-153460,GCF_004766265.1,17,2179627,128213.4,629501,245136,64263,450859.425,536,634913,28.881134249116936,ASM476626v1,1583,,GCF_004766265.1,GCA_004766265.1,yes,SAMN08627295,University of Saskatchewan,2019-04-09,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,17,0.4497797100146034,2179627,1.0,0.0,1.0,1.0
GCF_004766395.1,custom,Weissella confusa (firmicutes),Weissella,confusa,VTT E-143403,GCF_004766395.1,13,2178881,167606.2,629501,245137,177037,459605.447,551,634913,28.89102250191727,ASM476639v1,1583,,GCF_004766395.1,GCA_004766395.1,yes,SAMN08627293,University of Saskatchewan,2019-04-09,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,13,0.4497836274674936,2178881,1.0,0.0,1.0,1.0
GCF_016466175.1,custom,Weissella confusa (firmicutes),Weissella,confusa,CCUG 30763,GCF_016466175.1,24,2292343,95514.3,566279,291123,86285,422570.73,205,652155,24.70306581519432,ASM1646617v1,1583,,GCF_016466175.1,GCA_016466175.1,yes,SAMN14219529,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,24,0.4477039430835612,2292343,1.0,0.0,1.0,1.0
GCF_016466615.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 17705,GCF_016466615.1,30,2170823,72360.8,313611,134810,63788,324989.625,240,566160,14.44664074408646,ASM1646661v1,1583,,GCF_016466615.1,GCA_016466615.1,yes,SAMN14219504,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,30,0.448861560799752,2170823,1.0,0.0,1.0,1.0
GCF_016466645.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 17695,GCF_016466645.1,30,2237500,74583.3,313611,240218,63976,341876.478,236,566160,14.016134078212293,ASM1646664v1,1583,,GCF_016466645.1,GCA_016466645.1,yes,SAMN14219501,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,30,0.4481090502793296,2237500,1.0,0.0,1.0,1.0
GCF_016466065.1,custom,Weissella confusa (firmicutes),Weissella,confusa,CCUG 36556,GCF_016466065.1,30,2181147,72704.9,288100,151688,63983,264080.331,240,497858,13.208646643256966,ASM1646606v1,1583,,GCF_016466065.1,GCA_016466065.1,yes,SAMN14219532,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,30,0.4477378186798047,2181147,1.0,0.0,1.0,1.0
GCF_016466005.1,custom,Weissella confusa (firmicutes),Weissella,confusa,CCUG 39957,GCF_016466005.1,45,2278109,50624.6,272851,72982,39203,210262.652,209,349565,11.977082747138088,ASM1646600v1,1583,,GCF_016466005.1,GCA_016466005.1,yes,SAMN14219536,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,45,0.4464040131530142,2278109,1.0,0.0,1.0,1.0
GCF_014694545.1,custom,Weissella confusa (firmicutes),Weissella,confusa,UC4052,GCF_014694545.1,27,2332950,86405.6,262315,178825,121399,272561.481,235,422137,11.243918643777192,ASM1469454v1,1583,,GCF_014694545.1,GCA_014694545.1,yes,SAMN11026759,Universita' Cattolica del Sacro Cuore,2020-09-22,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,27,0.4453957435864463,2332950,1.0,0.0,1.0,1.0
GCF_016466395.1,custom,Weissella confusa (firmicutes),Weissella,confusa,UC 710F16,GCF_016466395.1,29,2285793,78820.4,262315,155358,95354,269277.138,209,422240,11.475886049174182,ASM1646639v1,1583,,GCF_016466395.1,GCA_016466395.1,yes,SAMN14219517,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,29,0.4467801765076715,2285793,1.0,0.0,1.0,1.0
GCF_016465845.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 14040,GCF_016465845.1,29,2161388,74530.6,244838,99329,68830,204881.191,207,323890,11.327813423596318,ASM1646584v1,1583,,GCF_016465845.1,GCA_016465845.1,yes,SAMN14219544,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,29,0.4498507440589103,2161388,1.0,0.0,1.0,1.0
GCF_016465875.1,custom,Weissella confusa (firmicutes),Weissella,confusa,CCUG 58143,GCF_016465875.1,39,2198240,56365.1,205933,141660,54223,188897.517,202,281337,9.368085377392823,ASM1646587v1,1583,,GCF_016465875.1,GCA_016465875.1,yes,SAMN14219541,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,39,0.447329227017978,2198240,1.0,0.0,1.0,1.0
GCF_016466515.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 18476,GCF_016466515.1,44,2338394,53145.3,200639,78050,52903,168748.347,207,288398,8.580205046711546,ASM1646651v1,1583,,GCF_016466515.1,GCA_016466515.1,yes,SAMN14219506,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,44,0.4458299157455929,2338394,1.0,0.0,1.0,1.0
GCF_016466495.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 18478,GCF_016466495.1,42,2338194,55671.3,197530,73164,52879,163674.336,207,288398,8.447973093763819,ASM1646649v1,1583,,GCF_016466495.1,GCA_016466495.1,yes,SAMN14219508,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,42,0.4458094580689198,2338194,1.0,0.0,1.0,1.0
GCF_016466565.1,custom,Weissella confusa (firmicutes),Weissella,confusa,LMG 18477,GCF_016466565.1,42,2338112,55669.3,197530,73164,52797,163676.37,207,288398,8.448269372895739,ASM1646656v1,1583,,GCF_016466565.1,GCA_016466565.1,yes,SAMN14219507,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,42,0.4458002867270687,2338112,1.0,0.0,1.0,1.0
GCF_016465985.1,custom,Weissella confusa (firmicutes),Weissella,confusa,CCUG 41966,GCF_016465985.1,41,2279882,55606.9,197133,93127,54354,187636.873,205,311441,8.646631711641216,ASM1646598v1,1583,,GCF_016465985.1,GCA_016465985.1,yes,SAMN14219537,Universita' Cattolica del Sacro Cuore,2021-01-04,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,,Weissella,41,0.4479573942861955,2279882,1.0,0.0,1.0,1.0
