genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_009676365.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,CBA3614,GCF_009676365.1,3,2018071,672690.3,1944111,1944111,1944111,1874492.159,20312,1944111,96.33511407675944,ASM967636v1,1599,Representative Genome,GCF_009676365.1,GCA_009676365.1,yes,SAMN13258981,World Institute of Kimchi,2019-11-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,3,0.4109850446292524,2018071,2.0,0.0,3.0,4.0
GCF_900234355.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,J64,GCF_900234355.1,3,2098105,699368.3,2050232,2050232,2050232,2004476.243,1526,2050232,97.71827434756602,JOUY64_assembly_v1,1599,,GCF_900234355.1,GCA_900234355.1,yes,SAMEA104285100,INRA,2017-12-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,3,0.4107530366688035,2098105,2.0,0.0,3.0,4.0
GCF_014081765.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,CBA3635,GCF_014081765.1,2,2062275,1031137.5,2006110,2006110,2006110,1953004.25,56165,2006110,97.27655138136282,ASM1408176v1,1599,,GCF_014081765.1,GCA_014081765.1,yes,SAMN15659521,World Institute of Kimchi,2020-08-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,2,0.4112962626225891,2062275,2.0,1.0,3.0,4.0
GCF_900234375.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,MFPB16A1401,GCF_900234375.1,2,2041677,1020838.5,1994583,1994583,1994583,1949661.572,47094,1994583,97.69336677642936,MFPB16A15_assembly_v1,1599,,GCF_900234375.1,GCA_900234375.1,yes,SAMEA104285092,INRA,2017-11-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,2,0.4112413471866509,2041677,2.0,0.0,3.0,4.0
GCF_010092945.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,MBEL1397,GCF_010092945.1,1,1994569,1994569.0,1994569,1994569,1994569,1994569.0,1994569,1994569,100.0,ASM1009294v1,1599,,GCF_010092945.1,GCA_010092945.1,yes,SAMN13698554,Kangwon National University,2020-02-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,1,0.4104240063893503,1994569,2.0,0.0,3.0,4.0
GCF_002250035.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,WiKim0063,GCF_002250035.1,3,2075520,691840.0,1988548,1988548,1988548,1908028.306,11504,1988548,95.80962843046562,ASM225003v1,1599,,GCF_002250035.1,GCA_002250035.1,yes,SAMN07454401,World Institute of Kimchi,2017-08-14,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,3,0.4114400246685168,2075520,2.0,0.0,3.0,4.0
GCF_900234405.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,MFPB19,GCF_900234405.1,4,2056455,514113.8,1975965,1975965,1975965,1900354.585,11156,1975965,96.0859829172046,MFPB19A15_assembly_v1,1599,,GCF_900234405.1,GCA_900234405.1,yes,SAMEA104285093,INRA,2017-11-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,4,0.4106425863926028,2056455,3.0,0.0,4.0,5.0
GCF_003288195.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,WiKim0072,GCF_003288195.1,3,2032521,677507.0,1975341,1975341,1975341,1920758.805,14883,1975341,97.18674493400069,ASM328819v1,1599,,GCF_003288195.1,GCA_003288195.1,yes,SAMN08135309,World Institute of Kimchi,2018-07-05,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,3,0.4112798834550787,2032521,2.0,0.0,3.0,4.0
GCF_900234395.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,J54,GCF_900234395.1,3,2011339,670446.3,1964671,1964671,1964671,1919729.236,13205,1964671,97.67975463111888,JOUY54_assembly_v1,1599,,GCF_900234395.1,GCA_900234395.1,yes,SAMEA104285101,INRA,2017-11-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,3,0.4127121285869761,2011339,3.0,0.0,4.0,5.0
GCF_003627275.1,custom,Latilactobacillus sakei (firmicutes),Latilactobacillus,sakei,ZFM220,GCF_003627275.1,2,2015521,1007760.5,1964235,1964235,1964235,1915558.999,51286,1964235,97.45544700352912,ASM362727v1,1599,,GCF_003627275.1,GCA_003627275.1,yes,SAMN07305403,Zhejiang Gongshang University,2018-10-08,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,,Other,2,0.411883081347205,2015521,2.0,0.0,3.0,4.0
