genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_001922025.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,FAM21731,GCF_001922025.1,3,2726576,908858.7,2600578,2600578,2600578,2483331.409,58093,2600578,95.37889279447924,ASM192202v1,152331,Representative Genome,GCF_001922025.1,GCA_001922025.1,yes,SAMN06130972,University of Bern,2016-12-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,3,0.4344118777543703,2726576,2.0,0.0,2.0,2.0
GCF_014879295.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,KEM,GCF_014879295.1,1,2530379,2530379.0,2530379,2530379,2530379,2530379.0,2530379,2530379,100.0,ASM1487929v1,152331,,GCF_014879295.1,GCA_014879295.1,yes,SAMN16268313,InfoBoss Research Center,2020-10-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,1,0.4364445010016286,2530379,1.0,0.0,1.0,1.0
GCF_014905035.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,NSMJ16,GCF_014905035.1,4,2611860,652965.0,2475367,2475367,2475367,2348454.343,37160,2475367,94.77410734112854,ASM1490503v1,152331,,GCF_014905035.1,GCA_014905035.1,yes,SAMN14433813,Nakdonggang National Institute of Biological Resources,2020-10-21,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,4,0.4357304755997641,2611860,1.0,0.0,1.0,1.0
GCF_019266005.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,IPLA11129,GCF_019266005.1,36,2581419,71706.1,253657,89682,45443,297492.066,577,651916,9.826262222444322,ASM1926600v1,152331,,GCF_019266005.1,GCA_019266005.1,yes,SAMN19969475,Instituto de Productos Lacteos de Asturias (IPLA-CSIC),2021-07-18,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,36,0.4351164998785551,2581419,1.0,0.0,1.0,1.0
GCF_001677035.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,IPLA 11122,GCF_001677035.1,24,2561595,106733.1,214172,136681,60106,251057.039,764,527792,8.360884527023202,Lpb2E51,152331,,GCF_001677035.1,GCA_001677035.1,yes,SAMN04932665,Instituto de Productos Lacteos de Asturias (IPLA-CSIC),2016-06-28,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,24,0.4351132790312286,2561595,1.0,0.0,1.0,1.0
GCF_019266025.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,IPLA11125,GCF_019266025.1,32,2581796,80681.1,200485,118083,48452,300279.076,520,647647,7.765330800729415,ASM1926602v1,152331,,GCF_019266025.1,GCA_019266025.1,yes,SAMN19969455,Instituto de Productos Lacteos de Asturias (IPLA-CSIC),2021-07-18,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,32,0.4348693700044465,2581796,1.0,0.0,1.0,1.0
GCF_002095645.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,FAM21829,GCF_002095645.1,66,2738317,41489.7,194211,72134,33353,156342.863,252,286113,7.092349059659638,ASM209564v1,152331,,GCF_002095645.1,GCA_002095645.1,yes,SAMN06130975,University of Bern,2017-04-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,66,0.4328308227279749,2738317,2.0,0.0,2.0,2.0
GCF_002095915.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,FAM23281,GCF_002095915.1,79,2616211,33116.6,192350,102538,15754,187953.113,248,330747,7.352235733279922,ASM209591v1,152331,,GCF_002095915.1,GCA_002095915.1,yes,SAMN06130988,University of Bern,2017-04-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,79,0.4331107085781689,2616211,1.0,1.0,1.0,1.0
GCF_002095905.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,FAM23280,GCF_002095905.1,65,2563148,39433.0,192349,103521,20726,190739.973,240,330747,7.504404739796532,ASM209590v1,152331,,GCF_002095905.1,GCA_002095905.1,yes,SAMN06130987,University of Bern,2017-04-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,65,0.4335383676635138,2563148,1.0,1.0,1.0,1.0
GCF_002095895.1,custom,Lentilactobacillus parabuchneri (firmicutes),Lentilactobacillus,parabuchneri,FAM23279,GCF_002095895.1,84,2611434,31088.5,192222,102538,17677,190186.111,240,337373,7.360783385680052,ASM209589v1,152331,,GCF_002095895.1,GCA_002095895.1,yes,SAMN06130986,University of Bern,2017-04-18,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,,Other,84,0.4330180276430497,2611434,1.0,1.0,1.0,1.0
