genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_023520795.1,PRJNA453400,ASM2352079v1,Complete Genome,na,SAMN13404507,2022-05-23,GCA_023520795.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_023520795.1,Representative Genome,yes,major,accolens,DSM 44278,Bielefeld University,38284,ncbi
GCF_030515895.1,PRJNA842591,ASM3051589v1,Complete Genome,na,SAMN28690432,2023-07-21,GCA_030515895.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030515895.1,,yes,major,accolens,CA9,Semmelweis University,38284,ncbi
GCF_030516055.1,PRJNA842591,ASM3051605v1,Complete Genome,na,SAMN28690429,2023-07-21,GCA_030516055.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516055.1,,yes,major,accolens,CA6,Semmelweis University,38284,ncbi
GCF_900637825.1,PRJEB6403,52683_C03,Complete Genome,na,SAMEA37377418,2018-12-20,GCA_900637825.1,full,Corynebacterium,Corynebacterium segmentosum (high G+C Gram-positive bacteria),GCF_900637825.1,,yes,major,segmentosum,NCTC934,SC,43990,ncbi
GCF_030516125.1,PRJNA842591,ASM3051612v1,Chromosome,na,SAMN28690428,2023-07-21,GCA_030516125.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516125.1,,yes,major,accolens,CA5,Semmelweis University,38284,ncbi
GCF_030516175.1,PRJNA842591,ASM3051617v1,Chromosome,na,SAMN28690426,2023-07-21,GCA_030516175.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516175.1,,yes,major,accolens,CA3,Semmelweis University,38284,ncbi
GCF_030515925.1,PRJNA842591,ASM3051592v1,Chromosome,na,SAMN28690431,2023-07-21,GCA_030515925.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030515925.1,,yes,major,accolens,CA8,Semmelweis University,38284,ncbi
GCF_030516195.1,PRJNA842591,ASM3051619v1,Chromosome,na,SAMN28690425,2023-07-21,GCA_030516195.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516195.1,,yes,major,accolens,CA2,Semmelweis University,38284,ncbi
GCF_030516155.1,PRJNA842591,ASM3051615v1,Chromosome,na,SAMN28690427,2023-07-21,GCA_030516155.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516155.1,,yes,major,accolens,CA4,Semmelweis University,38284,ncbi
GCF_030516215.1,PRJNA842591,ASM3051621v1,Chromosome,na,SAMN28690424,2023-07-21,GCA_030516215.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030516215.1,,yes,major,accolens,CA1,Semmelweis University,38284,ncbi
GCF_000159115.1,PRJNA31443,ASM15911v1,Scaffold,na,SAMN00002226,2009-05-05,GCA_000159115.1,full,Corynebacterium,Corynebacterium accolens ATCC 49725 (high G+C Gram-positive bacteria),GCF_000159115.1,,yes,major,accolens,ATCC 49725,Baylor College of Medicine,525260,ncbi
GCF_030229285.1,PRJNA804245,ASM3022928v1,Scaffold,na,SAMN35346775,2023-06-07,GCA_030229285.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030229285.1,,yes,major,accolens,MSK270,Duke University,38284,ncbi
GCF_030232145.1,PRJNA804245,ASM3023214v1,Scaffold,na,SAMN35346705,2023-06-07,GCA_030232145.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030232145.1,,yes,major,accolens,MSK070,Duke University,38284,ncbi
GCF_030227275.1,PRJNA804245,ASM3022727v1,Scaffold,na,SAMN35346710,2023-06-07,GCA_030227275.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030227275.1,,yes,major,accolens,MSK075,Duke University,38284,ncbi
GCF_030229065.1,PRJNA804245,ASM3022906v1,Scaffold,na,SAMN35346750,2023-06-07,GCA_030229065.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030229065.1,,yes,major,accolens,MSK161,Duke University,38284,ncbi
GCF_030229805.1,PRJNA804245,ASM3022980v1,Scaffold,na,SAMN35346776,2023-06-07,GCA_030229805.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030229805.1,,yes,major,accolens,MSK273,Duke University,38284,ncbi
GCF_022014575.1,PRJNA745058,ASM2201457v1,Contig,na,SAMN20132586,2022-02-05,GCA_022014575.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_022014575.1,,yes,major,accolens,C779,University of Adelaide,38284,ncbi
GCF_030175965.1,PRJNA842433,ASM3017596v1,Contig,na,SAMN35023403,2023-06-05,GCA_030175965.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030175965.1,,yes,major,accolens,KPL3647,Baylor College of Medicine,38284,ncbi
GCF_022014535.1,PRJNA745058,ASM2201453v1,Contig,na,SAMN20132587,2022-02-05,GCA_022014535.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_022014535.1,,yes,major,accolens,C781,University of Adelaide,38284,ncbi
GCF_030229025.1,PRJNA804245,ASM3022902v1,Scaffold,na,SAMN35346736,2023-06-07,GCA_030229025.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030229025.1,,yes,major,accolens,MSK121,Duke University,38284,ncbi
GCF_030176255.1,PRJNA842433,ASM3017625v1,Contig,na,SAMN35023431,2023-06-05,GCA_030176255.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030176255.1,,yes,major,accolens,KPL4075,Baylor College of Medicine,38284,ncbi
GCF_030227185.1,PRJNA804245,ASM3022718v1,Contig,na,SAMN35346712,2023-06-07,GCA_030227185.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030227185.1,,yes,major,accolens,MSK077,Duke University,38284,ncbi
GCF_030228895.1,PRJNA804245,ASM3022889v1,Contig,na,SAMN35346711,2023-06-07,GCA_030228895.1,full,Corynebacterium,Corynebacterium accolens (high G+C Gram-positive bacteria),GCF_030228895.1,,yes,major,accolens,MSK076,Duke University,38284,ncbi
