genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_002843135.1,PRJNA235381,ASM284313v1,Complete Genome,na,SAMN02837547,2017-12-14,GCA_002843135.1,full,Corynebacterium,Corynebacterium diphtheriae bv. mitis str. ISS 3319 (high G+C Gram-positive bacteria),GCF_002843135.1,Representative Genome,yes,major,diphtheriae,ISS 3319,Friedrich-Alexander University Erlangen-Nuremberg,1450520,ncbi
GCF_001457455.1,PRJEB6403,NCTC11397,Complete Genome,na,SAMEA2517360,2015-03-22,GCA_001457455.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_001457455.1,,yes,major,diphtheriae,NCTC11397,SC,1717,ncbi
GCF_902809765.1,PRJEB22103,NCTC11397,Complete Genome,na,SAMEA6566652,2020-02-26,GCA_902809765.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_902809765.1,,yes,major,diphtheriae,NCTC11397,INSTITUT PASTEUR,1717,ncbi
GCF_030408695.1,PRJNA516158,ASM3040869v1,Complete Genome,na,SAMN13404519,2023-07-05,GCA_030408695.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_030408695.1,,yes,major,diphtheriae,DSM 44123,Bielefeld University,1717,ncbi
GCF_020736085.1,PRJNA231221,ASM2073608v1,Complete Genome,na,SAMN22091651,2021-11-03,GCA_020736085.1,full,Corynebacterium,Corynebacterium diphtheriae subsp. diphtheriae (high G+C Gram-positive bacteria),GCF_020736085.1,,yes,major,diphtheriae,FDAARGOS_1554,US Food and Drug Administration,2315257,ncbi
GCF_021560255.1,PRJNA541851,ASM2156025v1,Complete Genome,na,SAMN11612665,2022-01-24,GCA_021560255.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560255.1,,yes,major,diphtheriae,CD1036,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_003194045.1,PRJNA473263,ASM319404v1,Complete Genome,na,SAMN09269643,2018-06-06,GCA_003194045.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_003194045.1,,yes,major,diphtheriae,BQ11,The University of Queensland,1717,ncbi
GCF_021560235.1,PRJNA541851,ASM2156023v1,Complete Genome,na,SAMN11612666,2022-01-24,GCA_021560235.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560235.1,,yes,major,diphtheriae,CD1040,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_021560275.1,PRJNA541851,ASM2156027v1,Complete Genome,na,SAMN11612664,2022-01-24,GCA_021560275.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560275.1,,yes,major,diphtheriae,CD1033,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_900638705.1,PRJEB6403,59178_D01,Complete Genome,na,SAMEA104318197,2018-12-20,GCA_900638705.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_900638705.1,,yes,major,diphtheriae,NCTC3529,SC,1717,ncbi
GCF_004758745.1,PRJNA530107,ASM475874v1,Complete Genome,na,SAMN05615426,2019-04-09,GCA_004758745.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_004758745.1,,yes,major,diphtheriae,TH1526,Christian Medical College,1717,ncbi
GCF_020736105.1,PRJNA231221,ASM2073610v1,Complete Genome,na,SAMN22091650,2021-11-03,GCA_020736105.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_020736105.1,,yes,major,diphtheriae,FDAARGOS_1553,US Food and Drug Administration,1717,ncbi
GCF_002073375.2,PRJNA231221,ASM207337v2,Complete Genome,na,SAMN04875534,2018-02-23,GCA_002073375.2,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_002073375.2,,yes,major,diphtheriae,FDAARGOS_197,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,1717,ncbi
GCF_021560315.1,PRJNA541851,ASM2156031v1,Complete Genome,na,SAMN11612661,2022-01-24,GCA_021560315.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560315.1,,yes,major,diphtheriae,CD1008,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_021560335.1,PRJNA541851,ASM2156033v1,Complete Genome,na,SAMN11612660,2022-01-24,GCA_021560335.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560335.1,,yes,major,diphtheriae,CD1005,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_001902275.1,PRJNA355958,ASM190227v1,Complete Genome,na,SAMN06099113,2016-12-13,GCA_001902275.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_001902275.1,,yes,major,diphtheriae,B-D-16-78,University of Malaya,1717,ncbi
GCF_021560295.1,PRJNA541851,ASM2156029v1,Complete Genome,na,SAMN11612663,2022-01-24,GCA_021560295.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560295.1,,yes,major,diphtheriae,CD1032,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_900638715.1,PRJEB6403,59178_E01,Complete Genome,na,SAMEA104318198,2018-12-20,GCA_900638715.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_900638715.1,,yes,major,diphtheriae,NCTC7838,SC,1717,ncbi
GCF_021052705.1,PRJNA269675,ASM2105270v1,Complete Genome,na,SAMN23378278,2021-12-06,GCA_021052705.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021052705.1,,yes,major,diphtheriae,SCPM-O-B-4453,SRCAMB,1717,ncbi
GCF_021560215.1,PRJNA541851,ASM2156021v1,Complete Genome,na,SAMN11612667,2022-01-24,GCA_021560215.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560215.1,,yes,major,diphtheriae,CD1075,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_021560115.1,PRJNA541851,ASM2156011v1,Complete Genome,na,SAMN11612662,2022-01-24,GCA_021560115.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_021560115.1,,yes,major,diphtheriae,CD1009,"Divison of Bacterial Diseases, Centers for Disease Control",1717,ncbi
GCF_020736125.1,PRJNA231221,ASM2073612v1,Complete Genome,na,SAMN22091649,2021-11-03,GCA_020736125.1,full,Corynebacterium,Corynebacterium diphtheriae (high G+C Gram-positive bacteria),GCF_020736125.1,,yes,major,diphtheriae,FDAARGOS_1552,US Food and Drug Administration,1717,ncbi
GCF_000195815.1,PRJNA87,ASM19581v1,Complete Genome,na,SAMEA1705951,2003-11-10,GCA_000195815.1,full,Corynebacterium,Corynebacterium diphtheriae NCTC 13129 (high G+C Gram-positive bacteria),GCF_000195815.1,,yes,major,diphtheriae,NCTC 13129,Sanger Institute,257309,ncbi
GCF_000241875.1,PRJNA42399,ASM24187v1,Complete Genome,na,SAMN02603066,2012-01-10,GCA_000241875.1,full,Corynebacterium,Corynebacterium diphtheriae 31A (high G+C Gram-positive bacteria),GCF_000241875.1,,yes,major,diphtheriae,31A,"Center for Biotechnology, Bielefeld University",698962,ncbi
GCF_000255275.1,PRJNA42403,ASM25527v1,Complete Genome,na,SAMN02603068,2012-01-13,GCA_000255275.1,full,Corynebacterium,Corynebacterium diphtheriae PW8 (high G+C Gram-positive bacteria),GCF_000255275.1,,yes,major,diphtheriae,PW8,"Center for Biotechnology, Bielefeld University",698964,ncbi
GCF_000255175.1,PRJNA42401,ASM25517v1,Complete Genome,na,SAMN02603067,2012-01-13,GCA_000255175.1,full,Corynebacterium,Corynebacterium diphtheriae C7 (beta) (high G+C Gram-positive bacteria),GCF_000255175.1,,yes,major,diphtheriae,C7 (beta),"Center for Biotechnology, Bielefeld University",698963,ncbi
GCF_000241935.1,PRJNA42423,ASM24193v1,Complete Genome,na,SAMN02603077,2012-01-10,GCA_000241935.1,full,Corynebacterium,Corynebacterium diphtheriae BH8 (high G+C Gram-positive bacteria),GCF_000241935.1,,yes,major,diphtheriae,BH8,"Center for Biotechnology, Bielefeld University",698973,ncbi
GCF_000255195.1,PRJNA42417,ASM25519v1,Complete Genome,na,SAMN02603074,2012-01-13,GCA_000255195.1,full,Corynebacterium,Corynebacterium diphtheriae HC04 (high G+C Gram-positive bacteria),GCF_000255195.1,,yes,major,diphtheriae,HC04,"Center for Biotechnology, Bielefeld University",698970,ncbi
GCF_000242775.1,PRJNA42415,ASM24277v1,Complete Genome,na,SAMN02603073,2012-01-13,GCA_000242775.1,full,Corynebacterium,Corynebacterium diphtheriae HC03 (high G+C Gram-positive bacteria),GCF_000242775.1,,yes,major,diphtheriae,HC03,"Center for Biotechnology, Bielefeld University",698969,ncbi
GCF_000255155.1,PRJNA42411,ASM25515v1,Complete Genome,na,SAMN02603072,2012-01-13,GCA_000255155.1,full,Corynebacterium,Corynebacterium diphtheriae HC02 (high G+C Gram-positive bacteria),GCF_000255155.1,,yes,major,diphtheriae,HC02,"Center for Biotechnology, Bielefeld University",698968,ncbi
GCF_024968405.1,PRJNA873913,ASM2496840v1,Complete Genome,na,SAMN30508155,2022-09-06,GCA_024968405.1,full,Corynebacterium,Corynebacterium diphtheriae bv. gravis (high G+C Gram-positive bacteria),GCF_024968405.1,,yes,major,diphtheriae,453/18,National Institute of Public Health NIH - NRI,1720349,ncbi
GCF_024969465.1,PRJNA873913,ASM2496946v1,Complete Genome,na,SAMN30508153,2022-09-06,GCA_024969465.1,full,Corynebacterium,Corynebacterium diphtheriae bv. gravis (high G+C Gram-positive bacteria),GCF_024969465.1,,yes,major,diphtheriae,5521/17,National Institute of Public Health NIH - NRI,1720349,ncbi
GCF_024968285.1,PRJNA873913,ASM2496828v1,Complete Genome,na,SAMN30508165,2022-09-06,GCA_024968285.1,full,Corynebacterium,Corynebacterium diphtheriae bv. gravis (high G+C Gram-positive bacteria),GCF_024968285.1,,yes,major,diphtheriae,49390/20,National Institute of Public Health NIH - NRI,1720349,ncbi
GCF_024969365.1,PRJNA873913,ASM2496936v1,Complete Genome,na,SAMN30508166,2022-09-06,GCA_024969365.1,full,Corynebacterium,Corynebacterium diphtheriae bv. gravis (high G+C Gram-positive bacteria),GCF_024969365.1,,yes,major,diphtheriae,14225/20,National Institute of Public Health NIH - NRI,1720349,ncbi
GCF_024969425.1,PRJNA873913,ASM2496942v1,Complete Genome,na,SAMN30508154,2022-09-06,GCA_024969425.1,full,Corynebacterium,Corynebacterium diphtheriae bv. gravis (high G+C Gram-positive bacteria),GCF_024969425.1,,yes,major,diphtheriae,7072/17,National Institute of Public Health NIH - NRI,1720349,ncbi
