genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_018551565.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2520,GCF_018551565.1,10,3175498,317549.8,3140405,3140405,3140405,3105878.336,405,3140405,98.89488199961076,ASM1855156v1,271881,Representative Genome,GCF_018551565.1,GCA_018551565.1,yes,SAMN17215148,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,10,0.451040120321285,3175498,4.0,0.0,4.0,4.0
GCF_003641165.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,DSM 16365,GCF_003641165.1,6,3350338,558389.7,3130445,3130445,3130445,2928052.006,26946,3130445,93.43669205912956,ASM364116v1,271881,,GCF_003641165.1,GCA_003641165.1,yes,SAMN10174878,Korea University,2018-10-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,6,0.4497026867139972,3350338,3.0,0.0,3.0,3.0
GCF_020295655.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,BSR19,GCF_020295655.1,17,3079437,181143.4,389340,200534,80837,373018.13,1366,720272,12.643220173038124,ASM2029565v1,271881,,GCF_020295655.1,GCA_020295655.1,yes,SAMN21874309,Sichuan Agricultural University,2021-10-05,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,17,0.4524495873758742,3079437,3.0,1.0,3.0,3.0
GCF_018552305.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2516,GCF_018552305.1,19,3148153,165692.3,3000101,3000101,3000101,2860304.937,553,3000101,95.29717901258292,ASM1855230v1,271881,,GCF_018552305.1,GCA_018552305.1,yes,SAMN17215147,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,19,0.4500616710814246,3148153,2.0,0.0,3.0,4.0
GCF_018552295.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2320,GCF_018552295.1,8,3181752,397719.0,3129011,3129011,3129011,3077476.935,1095,3129011,98.34239123602342,ASM1855229v1,271881,,GCF_018552295.1,GCA_018552295.1,yes,SAMN17215143,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,8,0.4510895255192736,3181752,4.0,0.0,4.0,4.0
GCF_018551525.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2422,GCF_018551525.1,20,3128861,156443.0,2990528,2990528,2990528,2859468.918,303,2990528,95.57880647302645,ASM1855152v1,271881,,GCF_018551525.1,GCA_018551525.1,yes,SAMN17215144,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,20,0.450573866975874,3128861,3.0,1.0,3.0,3.0
GCF_018551595.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2441,GCF_018551595.1,19,3147789,165673.1,2993011,2993011,2993011,2847064.079,620,2993011,95.08296140560884,ASM1855159v1,271881,,GCF_018551595.1,GCA_018551595.1,yes,SAMN17215145,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,19,0.4500952891060995,3147789,3.0,1.0,3.0,3.0
GCF_018552335.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,LQC 2485,GCF_018552335.1,46,3494755,75972.9,3148808,3148808,3148808,2842345.354,316,3148808,90.10096558986253,ASM1855233v1,271881,,GCF_018552335.1,GCA_018552335.1,yes,SAMN17215146,GREENBREAD Project,2021-05-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,46,0.4496692901219112,3494755,3.0,1.0,3.0,3.0
GCF_018917085.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,N104,GCF_018917085.1,54,3056765,56606.8,164202,108649,63556,202019.375,508,408104,5.371757397117541,ASM1891708v1,271881,,GCF_018917085.1,GCA_018917085.1,yes,SAMN19374070,The Institute of Microbiology of the Chinese Academy of Sciences,2021-06-16,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,54,0.4521901421928084,3056765,3.0,2.0,3.0,3.0
GCF_017963485.1,custom,Lactiplantibacillus argentoratensis (firmicutes),Lactiplantibacillus,argentoratensis,XSBN-2,GCF_017963485.1,73,3119902,42738.4,141196,93104,46835,163322.0,338,336318,4.525654972495931,ASM1796348v1,271881,,GCF_017963485.1,GCA_017963485.1,yes,SAMN18603901,Yunnan Minzu University,2021-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,,Lactiplantibacillus,73,0.4516731615287916,3119902,3.0,1.0,3.0,3.0
