genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_029837915.1,PRJNA868296,ASM2983791v1,Contig,na,SAMN30525460,2023-04-19,GCA_029837915.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_029837915.1,,yes,major,fulva,GD04004,Washington University in St. Louis School of Medicine,47880,ncbi
GCF_029839465.1,PRJNA868296,ASM2983946v1,Contig,na,SAMN30525391,2023-04-19,GCA_029839465.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_029839465.1,,yes,major,fulva,GD03935,Washington University in St. Louis School of Medicine,47880,ncbi
GCF_029841105.1,PRJNA868296,ASM2984110v1,Contig,na,SAMN30525305,2023-04-19,GCA_029841105.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_029841105.1,,yes,major,fulva,GD03849,Washington University in St. Louis School of Medicine,47880,ncbi
GCF_947495245.1,PRJEB57783,3-762-J.fasta,Contig,na,SAMEA112157170,2023-01-30,GCA_947495245.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_947495245.1,,yes,major,fulva,3-762-J.fasta,"marine college, shandong university",47880,ncbi
GCF_021602545.1,PRJDB10089,ASM2160254v1,Contig,na,SAMD00422639,2021-11-22,GCA_021602545.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_021602545.1,,yes,major,fulva,BML-PP046,"Department of Microbiology, Juntendo University School of Medicine",47880,ncbi
GCF_021603865.1,PRJDB10089,ASM2160386v1,Contig,na,SAMD00422612,2021-11-22,GCA_021603865.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_021603865.1,,yes,major,fulva,BML-PP018,"Department of Microbiology, Juntendo University School of Medicine",47880,ncbi
GCF_019748425.1,PRJNA644637,ASM1974842v1,Contig,na,SAMN15705248,2021-08-24,GCA_019748425.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_019748425.1,,yes,major,fulva,S/N-202-OC-P3,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_019748475.1,PRJNA644637,ASM1974847v1,Contig,na,SAMN15705247,2021-08-24,GCA_019748475.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_019748475.1,,yes,major,fulva,S/N-202-OC-R4,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166025.1,PRJNA690512,ASM1716602v1,Scaffold,na,SAMN17570311,2021-03-04,GCA_017166025.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166025.1,,yes,major,fulva,F8_8S_8P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166045.1,PRJNA690512,ASM1716604v1,Scaffold,na,SAMN17570308,2021-03-04,GCA_017166045.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166045.1,,yes,major,fulva,F8_8S_3B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166055.1,PRJNA690512,ASM1716605v1,Scaffold,na,SAMN17570312,2021-03-04,GCA_017166055.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166055.1,,yes,major,fulva,F8_8S_9P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166085.1,PRJNA690512,ASM1716608v1,Scaffold,na,SAMN17570310,2021-03-04,GCA_017166085.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166085.1,,yes,major,fulva,F8_8S_7P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166145.1,PRJNA690512,ASM1716614v1,Scaffold,na,SAMN17570304,2021-03-04,GCA_017166145.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166145.1,,yes,major,fulva,F8_8S_13B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166155.1,PRJNA690512,ASM1716615v1,Scaffold,na,SAMN17570305,2021-03-04,GCA_017166155.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166155.1,,yes,major,fulva,F8_8S_1B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166165.1,PRJNA690512,ASM1716616v1,Scaffold,na,SAMN17570306,2021-03-04,GCA_017166165.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166165.1,,yes,major,fulva,F8_8S_2B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166245.1,PRJNA690512,ASM1716624v1,Scaffold,na,SAMN17570301,2021-03-04,GCA_017166245.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166245.1,,yes,major,fulva,F8_7S_9B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166305.1,PRJNA690512,ASM1716630v1,Scaffold,na,SAMN17570300,2021-03-04,GCA_017166305.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166305.1,,yes,major,fulva,F8_7S_8B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166325.1,PRJNA690512,ASM1716632v1,Scaffold,na,SAMN17570297,2021-03-04,GCA_017166325.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166325.1,,yes,major,fulva,F8_7S_6B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166345.1,PRJNA690512,ASM1716634v1,Scaffold,na,SAMN17570294,2021-03-04,GCA_017166345.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166345.1,,yes,major,fulva,F8_7S_3P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166355.1,PRJNA690512,ASM1716635v1,Scaffold,na,SAMN17570293,2021-03-04,GCA_017166355.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166355.1,,yes,major,fulva,F8_7S_3B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166425.1,PRJNA690512,ASM1716642v1,Scaffold,na,SAMN17570292,2021-03-04,GCA_017166425.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166425.1,,yes,major,fulva,F8_7S_2P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166435.1,PRJNA690512,ASM1716643v1,Contig,na,SAMN17570291,2021-03-04,GCA_017166435.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166435.1,,yes,major,fulva,F8_7S_2B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166465.1,PRJNA690512,ASM1716646v1,Scaffold,na,SAMN17570289,2021-03-04,GCA_017166465.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166465.1,,yes,major,fulva,F8_7S_1B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166475.1,PRJNA690512,ASM1716647v1,Scaffold,na,SAMN17570290,2021-03-04,GCA_017166475.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166475.1,,yes,major,fulva,F8_7S_1P,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166645.1,PRJNA690512,ASM1716664v1,Scaffold,na,SAMN17570281,2021-03-04,GCA_017166645.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166645.1,,yes,major,fulva,F8_7S_11B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166665.1,PRJNA690512,ASM1716666v1,Scaffold,na,SAMN17570280,2021-03-04,GCA_017166665.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166665.1,,yes,major,fulva,F8_7S_10B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166685.1,PRJNA690512,ASM1716668v1,Scaffold,na,SAMN17570279,2021-03-04,GCA_017166685.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166685.1,,yes,major,fulva,F8_6S_9B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
GCF_017166695.1,PRJNA690512,ASM1716669v1,Scaffold,na,SAMN17570278,2021-03-04,GCA_017166695.1,full,Pseudomonas,Pseudomonas fulva (g-proteobacteria),GCF_017166695.1,,yes,major,fulva,F8_6S_8B,"Jet Propulsion Laboratory, California Institute of Technology",47880,ncbi
