genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_011058735.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0011D1,GCF_011058735.1,2,1503611,751805.5,1398354,1398354,1398354,1307833.572,105257,1398354,92.99971867723768,ASM1105873v1,147802,,GCF_011058735.1,GCA_011058735.1,yes,SAMN14165696,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,2,0.3326339059770113,1503611,1.0,0.0,1.0,1.0
GCF_011058755.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0210C1,GCF_011058755.1,2,1507452,753726.0,1395649,1395649,1395649,1300430.158,111803,1395649,92.5833127688311,ASM1105875v1,147802,,GCF_011058755.1,GCA_011058755.1,yes,SAMN14165695,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,2,0.3319979674311354,1507452,2.0,0.0,2.0,2.0
GCF_011058695.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0094A1,GCF_011058695.1,2,1474256,737128.0,1379823,1379823,1379823,1297487.752,94433,1379823,93.59453175025232,ASM1105869v1,147802,,GCF_011058695.1,GCA_011058695.1,yes,SAMN14165698,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,2,0.3318595956197567,1474256,3.0,0.0,3.0,3.0
GCF_011058715.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0059G1,GCF_011058715.1,1,1379123,1379123.0,1379123,1379123,1379123,1379123.0,1379123,1379123,100.0,ASM1105871v1,147802,,GCF_011058715.1,GCA_011058715.1,yes,SAMN14165697,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3326969385616801,1379123,2.0,0.0,2.0,2.0
GCF_010748955.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,KY,GCF_010748955.1,1,1339101,1339101.0,1339101,1339101,1339101,1339101.0,1339101,1339101,100.0,ASM1074895v1,147802,,GCF_010748955.1,GCA_010748955.1,yes,SAMN13943229,Seoul National Univerisity,2020-02-19,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3335230128272625,1339101,0.0,0.0,0.0,0.0
GCF_011058775.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0322A1,GCF_011058775.1,1,1318700,1318700.0,1318700,1318700,1318700,1318700.0,1318700,1318700,100.0,ASM1105877v1,147802,,GCF_011058775.1,GCA_011058775.1,yes,SAMN14165694,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3308576628497763,1318700,1.0,0.0,1.0,1.0
GCF_011058795.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,C0254C1,GCF_011058795.1,1,1314822,1314822.0,1314822,1314822,1314822,1314822.0,1314822,1314822,100.0,ASM1105879v1,147802,,GCF_011058795.1,GCA_011058795.1,yes,SAMN14165693,University of Maryland Baltimore,2020-03-03,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3301656041654308,1314822,0.0,0.0,0.0,0.0
GCF_009556455.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,LI335,GCF_009556455.1,1,1363099,1363099.0,1363099,1363099,1363099,1363099.0,1363099,1363099,100.0,ASM955645v1,147802,,GCF_009556455.1,GCA_009556455.1,yes,SAMN13111368,Korea University,2019-11-05,na,major,Chromosome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3326772303405695,1363099,1.0,0.0,1.0,1.0
GCF_009857205.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,Indica1,GCF_009857205.1,1,1331119,1331119.0,1331119,1331119,1331119,1331119.0,1331119,1331119,100.0,ASM985720v1,147802,,GCF_009857205.1,GCA_009857205.1,yes,SAMN13738159,Translational Health Science and Technology Institute,2020-01-12,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,1,0.3320063795949122,1331119,2.0,0.0,2.0,2.0
GCF_002884705.1,ncbi,Lactobacillus iners (firmicutes),Lactobacillus,iners,UMB0030,GCF_002884705.1,14,1310450,93603.6,700772,160930,93459,439654.721,331,700772,53.47567629440269,ASM288470v1,147802,,GCF_002884705.1,GCA_002884705.1,yes,SAMN07511418,Loyola University Chicago,2018-01-10,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,,Lactobacillus,14,0.3266343622419779,1310450,1.0,1.0,1.0,1.0
