genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_003047065.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DSM 20079,GCF_003047065.1,1,2009973,2009973.0,2009973,2009973,2009973,2009973.0,2009973,2009973,100.0,ASM304706v1,1579,,GCF_003047065.1,GCA_003047065.1,yes,SAMN06606133,Kyungpook National University,2018-04-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3471708326430255,2009973,1.0,0.0,1.0,1.0
GCF_003952845.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,YT1,GCF_003952845.1,1,2092540,2092540.0,2092540,2092540,2092540,2092540.0,2092540,2092540,100.0,ASM395284v1,1579,,GCF_003952845.1,GCA_003952845.1,yes,SAMN08142761,Korea Food Research Institute,2018-12-18,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3467226432947518,2092540,1.0,0.0,1.0,1.0
GCF_020883435.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,NC55,GCF_020883435.1,1,2037416,2037416.0,2037416,2037416,2037416,2037416.0,2037416,2037416,100.0,ASM2088343v1,1579,,GCF_020883435.1,GCA_020883435.1,yes,SAMN23011956,Shandong First Medical University,2021-11-18,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3475942075648763,2037416,1.0,0.0,1.0,1.0
GCF_013342945.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA-G80-111,GCF_013342945.1,1,1991976,1991976.0,1991976,1991976,1991976,1991976.0,1991976,1991976,100.0,ASM1334294v1,1579,,GCF_013342945.1,GCA_013342945.1,yes,SAMN15165794,"Institute of Microbiology, Belarus National Academy of Sciences",2020-06-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3470639204488407,1991976,1.0,0.0,1.0,1.0
GCF_000934625.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,FSI4,GCF_000934625.1,1,1991969,1991969.0,1991969,1991969,1991969,1991969.0,1991969,1991969,100.0,ASM93462v1,1579,,GCF_000934625.1,GCA_000934625.1,yes,SAMN03274004,"Fidelity Systems, Inc.",2015-02-25,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3470566058005923,1991969,1.0,0.0,1.0,1.0
GCF_002224305.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,ATCC 53544,GCF_002224305.1,1,1991906,1991906.0,1991906,1991906,1991906,1991906.0,1991906,1991906,100.0,ASM222430v1,1579,,GCF_002224305.1,GCA_002224305.1,yes,SAMN07357495,Naval Research Laboratory,2017-07-24,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3470690886015705,1991906,1.0,0.0,1.0,1.0
GCF_002286215.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA1,GCF_002286215.1,1,1991195,1991195.0,1991195,1991195,1991195,1991195.0,1991195,1991195,100.0,ASM228621v1,1579,,GCF_002286215.1,GCA_002286215.1,yes,SAMN05631052,Korea Food Research Institute,2017-09-05,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,1,0.3470408473303719,1991195,1.0,0.0,1.0,1.0
GCF_000786395.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,ATCC 4356,GCF_000786395.1,20,1956698,97834.9,170687,87265,58813,199285.616,448,405501,8.723216357353051,ASM78639v1,1579,,GCF_000786395.1,GCA_000786395.1,yes,SAMN03105773,Facultad Ciencias Exactas y Naturales-UBA,2014-11-24,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,20,0.3459164367725627,1956698,1.0,0.0,1.0,1.0
GCF_001868765.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,KLDS 1.0901,GCF_001868765.1,7,1992320,284617.1,1609741,1609741,375454,1371391.288,523,1609741,80.79731167683906,ASM186876v1,1579,,GCF_001868765.1,GCA_001868765.1,yes,SAMN05949236,"key lab of dairy science, ministry of education, northeast agriculture university",2016-11-07,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,7,0.3454349702858978,1992320,1.0,0.0,1.0,1.0
GCF_002914945.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LMG P-21904,GCF_002914945.1,16,1965665,122854.1,320101,161363,58693,304482.989,1829,522693,16.284616147715912,ASM291494v1,1579,,GCF_002914945.1,GCA_002914945.1,yes,SAMN07187785,CDI investments,2018-02-02,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,16,0.3457333777627419,1965665,1.0,0.0,1.0,1.0
GCF_017009725.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA1063,GCF_017009725.1,14,1995761,142554.4,242274,167481,83389,473774.716,1406,872320,12.139429520869482,ASM1700972v1,1579,,GCF_017009725.1,GCA_017009725.1,yes,SAMN14422845,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,14,0.3459036427708528,1995761,1.0,0.0,1.0,1.0
GCF_017009715.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,La-5,GCF_017009715.1,19,1965390,103441.6,231909,151367,46821,335947.676,1457,676265,11.799642818982491,ASM1700971v1,1579,,GCF_017009715.1,GCA_017009715.1,yes,SAMN14401351,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,19,0.3457064501193147,1965390,1.0,0.0,1.0,1.0
GCF_017009515.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 14065,GCF_017009515.1,17,1967267,115721.6,231484,161410,58747,340028.387,1403,676426,11.76678102158985,ASM1700951v1,1579,,GCF_017009515.1,GCA_017009515.1,yes,SAMN14363925,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,17,0.3457075221614554,1967267,1.0,0.0,1.0,1.0
GCF_017009605.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 16099,GCF_017009605.1,20,1966633,98331.6,231484,122884,46822,332651.254,1409,676426,11.770574377629176,ASM1700960v1,1579,,GCF_017009605.1,GCA_017009605.1,yes,SAMN14371312,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,20,0.3457274438087838,1966633,1.0,0.0,1.0,1.0
GCF_017009595.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 17008,GCF_017009595.1,17,1977709,116335.8,222101,152037,55466,455883.809,1410,863463,11.230216376625682,ASM1700959v1,1579,,GCF_017009595.1,GCA_017009595.1,yes,SAMN14371317,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,17,0.3459467494965134,1977709,1.0,1.0,1.0,1.0
GCF_003061965.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS13_1A,GCF_003061965.1,41,1964272,47909.1,168388,85923,41982,188701.924,212,389190,8.572539851914602,ASM306196v1,1579,,GCF_003061965.1,GCA_003061965.1,yes,SAMN05583782,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,41,0.3457158682707894,1964272,1.0,0.0,1.0,1.0
GCF_003053135.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS24_1,GCF_003053135.1,32,1968373,61511.7,168151,86407,46950,311616.245,222,670503,8.5426390221772,ASM305313v1,1579,,GCF_003053135.1,GCA_003053135.1,yes,SAMN06464090,USFDA,2018-04-17,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,32,0.3458180944363695,1968373,1.0,0.0,1.0,1.0
GCF_003062025.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS11_1A,GCF_003062025.1,34,1968514,57897.5,168008,86077,46950,311347.154,238,669876,8.53476277029272,ASM306202v1,1579,,GCF_003062025.1,GCA_003062025.1,yes,SAMN05583779,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,34,0.3457933243045261,1968514,1.0,0.0,1.0,1.0
GCF_003062045.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS1_1A,GCF_003062045.1,36,1970142,54726.2,168008,86407,46950,311755.985,222,670920,8.527710185357197,ASM306204v1,1579,,GCF_003062045.1,GCA_003062045.1,yes,SAMN05583775,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,36,0.3457527426957041,1970142,1.0,0.0,1.0,1.0
GCF_002406675.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,P2,GCF_002406675.1,70,2046837,29240.5,167927,147808,42559,247462.384,599,526365,8.204219485967862,ASM240667v1,1579,,GCF_002406675.1,GCA_002406675.1,yes,SAMN07665576,McGill University,2017-10-01,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,70,0.356802227045925,2046837,1.0,0.0,1.0,1.0
GCF_003061905.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS13_1B,GCF_003061905.1,37,1963932,53079.2,167831,85923,43891,300642.722,212,669776,8.545662477112241,ASM306190v1,1579,,GCF_003061905.1,GCA_003061905.1,yes,SAMN05583783,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,37,0.3457095255843889,1963932,1.0,0.0,1.0,1.0
GCF_017009695.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 80064,GCF_017009695.1,22,1961821,89173.7,167795,88033,46950,305190.789,1133,670867,8.553022931246021,ASM1700969v1,1579,,GCF_017009695.1,GCA_017009695.1,yes,SAMN14371424,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,22,0.3453220247922721,1961821,1.0,0.0,1.0,1.0
GCF_017009655.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 17481,GCF_017009655.1,18,1993969,110776.1,167771,122157,58807,340887.981,1133,719630,8.41392218234085,ASM1700965v1,1579,,GCF_017009655.1,GCA_017009655.1,yes,SAMN14371318,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,18,0.3455891240034323,1993969,1.0,0.0,1.0,1.0
GCF_003061925.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS9_1A,GCF_003061925.1,28,1969008,70321.7,167756,88006,46950,311944.439,257,670626,8.519823179997237,ASM306192v1,1579,,GCF_003061925.1,GCA_003061925.1,yes,SAMN05583792,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,28,0.3457827494860356,1969008,1.0,0.0,1.0,1.0
GCF_003061985.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS5_1A,GCF_003061985.1,28,1968830,70315.4,167756,120975,58875,319077.562,257,669979,8.520593448901124,ASM306198v1,1579,,GCF_003061985.1,GCA_003061985.1,yes,SAMN05583788,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,28,0.3457596643691938,1968830,1.0,0.0,1.0,1.0
GCF_017009485.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 12255,GCF_017009485.1,27,1969712,72952.3,167756,121060,43900,309801.068,229,670939,8.516778087354902,ASM1700948v1,1579,,GCF_017009485.1,GCA_017009485.1,yes,SAMN14363914,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,27,0.3457769460713038,1969712,1.0,0.0,1.0,1.0
GCF_017009475.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 14079,GCF_017009475.1,21,1987806,94657.4,167722,86360,55493,328540.313,778,709917,8.437543703963064,ASM1700947v1,1579,,GCF_017009475.1,GCA_017009475.1,yes,SAMN14363926,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,21,0.3454320995107168,1987806,1.0,0.0,1.0,1.0
GCF_003061885.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS20_1,GCF_003061885.1,36,1969467,54707.4,167716,86407,46950,311372.281,240,670292,8.51580656086139,ASM306188v1,1579,,GCF_003061885.1,GCA_003061885.1,yes,SAMN06464087,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,36,0.345785941069335,1969467,1.0,0.0,1.0,1.0
GCF_017009575.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BCRC 16092,GCF_017009575.1,20,1950144,97507.2,167711,86714,58874,308396.702,675,670753,8.599929030881823,ASM1700957v1,1579,,GCF_017009575.1,GCA_017009575.1,yes,SAMN14363928,Food Industry Research and Development Institute,2021-02-26,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,20,0.3454996143874503,1950144,1.0,0.0,1.0,1.0
GCF_009741835.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA_AVK2,GCF_009741835.1,27,1962641,72690.4,167689,86152,43616,302858.078,1118,670189,8.544048554982801,ASM974183v1,1579,,GCF_009741835.1,GCA_009741835.1,yes,SAMN13198280,"Kingston University London, United Kingdom",2019-12-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,27,0.3456592418073402,1962641,1.0,0.0,1.0,1.0
GCF_013867555.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,s-4,GCF_013867555.1,21,1953269,93012.8,167684,86601,58816,307974.722,594,670283,8.584787860760601,ASM1386755v1,1579,,GCF_013867555.1,GCA_013867555.1,yes,SAMN15579838,China Center of Industrial Culture Collection,2020-07-28,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,21,0.3458054164582553,1953269,1.0,0.0,1.0,1.0
GCF_009742735.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA_AVK1,GCF_009742735.1,27,1962738,72694.0,167681,86152,43620,190228.473,1118,378946,8.543218707743979,ASM974273v1,1579,,GCF_009742735.1,GCA_009742735.1,yes,SAMN13198235,"Kingston University London, United Kingdom",2019-12-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,27,0.345628402772046,1962738,1.0,0.0,1.0,1.0
GCF_013867605.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,s-13,GCF_013867605.1,22,1965753,89352.4,167660,87217,46894,387754.256,655,792156,8.529047138679173,ASM1386760v1,1579,,GCF_013867605.1,GCA_013867605.1,yes,SAMN15579847,China Center of Industrial Culture Collection,2020-07-28,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,22,0.3457128133595624,1965753,1.0,0.0,1.0,1.0
GCF_003641085.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,UBLA-34,GCF_003641085.1,34,1951037,57383.4,167656,87905,42116,303085.079,203,669777,8.593173783992821,ASM364108v1,1579,,GCF_003641085.1,GCA_003641085.1,yes,SAMN10136005,Unique Biotech Limited,2018-10-07,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,34,0.345957560005269,1951037,1.0,0.0,1.0,1.0
GCF_003053245.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS10_1A,GCF_003053245.1,34,1970718,57962.3,167634,113187,43678,308404.42,247,670523,8.506239857757427,ASM305324v1,1579,,GCF_003053245.1,GCA_003053245.1,yes,SAMN05583778,USFDA,2018-04-17,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,34,0.3458505986143121,1970718,1.0,0.0,1.0,1.0
GCF_008868625.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,BIO6307,GCF_008868625.1,29,1969767,67923.0,167634,121622,46950,317570.921,249,670626,8.510346655213535,ASM886862v1,1579,,GCF_008868625.1,GCA_008868625.1,yes,SAMN12856535,Bioprox,2019-10-07,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,29,0.3457815061375279,1969767,1.0,0.0,1.0,1.0
GCF_017695935.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,APC2845,GCF_017695935.1,43,1976704,45969.9,167634,121060,46950,330948.101,257,670395,8.48048063847698,ASM1769593v1,1579,,GCF_017695935.1,GCA_017695935.1,yes,SAMN13342918,"APC Microbiome Ireland, University College Cork",2021-04-02,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,43,0.3465910930518681,1976704,1.0,0.0,1.0,1.0
GCF_003061945.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS8_1A,GCF_003061945.1,32,1967572,61486.6,167594,86407,46950,311683.498,250,670523,8.51780773460895,ASM306194v1,1579,,GCF_003061945.1,GCA_003061945.1,yes,SAMN05583791,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,32,0.3457606633963077,1967572,1.0,0.0,1.0,1.0
GCF_021229035.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,NBIMCC 8242 (180),GCF_021229035.1,20,1963878,98193.9,231479,161499,58730,337504.188,1408,675994,11.78683197225082,ASM2122903v1,1579,,GCF_021229035.1,GCA_021229035.1,yes,SAMN23827470,"Faculty of Biology at Sofia University ""St. Kliment Ohridski""",2021-12-19,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,20,0.3456981543660044,1963878,1.0,0.0,1.0,1.0
GCF_001950045.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,L-55,GCF_001950045.1,25,2009507,80380.3,242365,102352,55110,267093.053,1146,515002,12.060918424270232,ASM195004v1,1579,,GCF_001950045.1,GCA_001950045.1,yes,SAMD00064210,"Division of Epigenomics and Development, Department of Molecular Genetics",2016-10-08,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,25,0.3460241740884704,2009507,1.0,0.0,1.0,1.0
GCF_902386525.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,MGYG-HGUT-02379,GCF_902386525.1,25,2009507,80380.3,242365,102352,55110,267093.053,1146,515002,12.060918424270232,UHGG_MGYG-HGUT-02379,1579,,GCF_902386525.1,GCA_902386525.1,yes,SAMEA5851883,EMG,2019-08-15,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,25,0.3460241740884704,2009507,1.0,0.0,1.0,1.0
GCF_018252545.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,LA-G80,GCF_018252545.1,43,1963371,45659.8,112830,69549,42362,289544.957,263,670557,5.746748831474031,ASM1825254v1,1579,,GCF_018252545.1,GCA_018252545.1,yes,SAMN18679498,"Research and Development Center, Biogrowing Co., Ltd.",2021-05-03,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,43,0.345756354759238,1963371,1.0,0.0,1.0,1.0
GCF_001639165.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,WG-LB-IV,GCF_001639165.1,74,1951689,26374.2,89054,21322,10360,131217.405,612,380748,4.562919604506661,ASM163916v1,1579,,GCF_001639165.1,GCA_001639165.1,yes,SAMN04628015,Nanjing Agricultural University,2016-04-29,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,74,0.3458932237666964,1951689,2.0,2.0,2.0,2.0
GCF_003062005.1,ncbi,Lactobacillus acidophilus (firmicutes),Lactobacillus,acidophilus,DS2_1A,GCF_003062005.1,110,1982025,18018.4,86217,45254,17289,136249.947,200,305387,4.349945131872706,ASM306200v1,1579,,GCF_003062005.1,GCA_003062005.1,yes,SAMN05583785,USFDA,2018-04-14,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,110,0.3463200514625194,1982025,2.0,2.0,2.0,2.0
GCF_000159715.1,ncbi,Lactobacillus acidophilus ATCC 4796 (firmicutes),Lactobacillus,acidophilus,ATCC 4796,GCF_000159715.1,38,2020500,53171.1,1227701,413078,346840,890093.023,202,1227701,60.76223707003217,ASM15971v1,525306,,GCF_000159715.1,GCA_000159715.1,yes,SAMN00001471,Baylor College of Medicine,2009-05-28,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,38,0.342299430833952,2020500,1.0,0.0,1.0,1.0
GCF_000442865.1,ncbi,Lactobacillus acidophilus CIRM-BIA 442 (firmicutes),Lactobacillus,acidophilus,CIRM-BIA 442,GCF_000442865.1,19,1986992,104578.5,169301,89450,49946,310797.351,7688,672576,8.52046711813636,LaCIRM442V1,1226677,,GCF_000442865.1,GCA_000442865.1,yes,SAMEA2272381,INRA STLO,2013-07-12,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,19,0.3472132751415204,1986992,1.0,0.0,1.0,1.0
GCF_000469765.1,ncbi,Lactobacillus acidophilus CIRM-BIA 445 (firmicutes),Lactobacillus,acidophilus,CIRM-BIA 445,GCF_000469765.1,22,2002008,91000.4,242633,152218,55226,465867.068,1029,877479,12.119482040031809,LaCIRM445V1,1226678,,GCF_000469765.1,GCA_000469765.1,yes,SAMEA2272655,INRA STLO,2013-08-27,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,,Lactobacillus,22,0.344822298412394,2002008,1.0,0.0,1.0,1.0
