genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_002966535.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,UBOCC-A-315001,GCF_002966535.1,1,1876981,1876981.0,1876981,1876981,1876981,1876981.0,1876981,1876981,100.0,ASM296653v1,1247,Representative Genome,GCF_002966535.1,GCA_002966535.1,yes,SAMN04487212,University of Bordeaux,2018-03-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3773357322210507,1876981,3.0,0.0,3.0,3.0
GCF_900519455.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,UBOCC-A-315001,GCF_900519455.1,1,1876981,1876981.0,1876981,1876981,1876981,1876981.0,1876981,1876981,100.0,UBOCC-A-315001_PRJEB28094_wgs,1247,,GCF_900519455.1,GCA_900519455.1,yes,SAMEA4822705,ISVV,2019-04-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3773357322210507,1876981,3.0,0.0,3.0,3.0
GCF_020510245.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,AWRIB429,GCF_020510245.1,2,1892074,946037.0,1870168,1870168,1870168,1848769.245,21906,1870168,98.84222287288976,ASM2051024v1,1247,,GCF_020510245.1,GCA_020510245.1,yes,SAMN21464313,The Australian Wine Research Institute,2021-10-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,2,0.3807467361213145,1892074,1.0,0.0,1.0,1.0
GCF_009728955.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,SD-2a,GCF_009728955.1,1,1852479,1852479.0,1852479,1852479,1852479,1852479.0,1852479,1852479,100.0,ASM972895v1,1247,,GCF_009728955.1,GCA_009728955.1,yes,SAMN11269073,Northwest A&F University,2019-12-04,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3779832321985836,1852479,2.0,0.0,2.0,2.0
GCF_900519475.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,CRBO_1381,GCF_900519475.1,1,1834577,1834577.0,1834577,1834577,1834577,1834577.0,1834577,1834577,100.0,CRBO_1381_PRJEB28094_wgs,1247,,GCF_900519475.1,GCA_900519475.1,yes,SAMEA4822710,ISVV,2019-04-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3781487503658881,1834577,2.0,0.0,2.0,2.0
GCF_003264795.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,19,GCF_003264795.1,1,1826824,1826824.0,1826824,1826824,1826824,1826824.0,1826824,1826824,100.0,ASM326479v1,1247,,GCF_003264795.1,GCA_003264795.1,yes,SAMN08545569,Universidad Nacional de Quilmes,2018-06-25,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3792166076206575,1826824,2.0,0.0,2.0,2.0
GCF_013113695.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,OE37,GCF_013113695.1,1,1718702,1718702.0,1718702,1718702,1718702,1718702.0,1718702,1718702,100.0,ASM1311369v1,1247,,GCF_013113695.1,GCA_013113695.1,yes,SAMN14123602,CREA-Viticoltura ed Enologia,2020-05-18,na,major,Chromosome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,1,0.3798878455951061,1718702,2.0,0.0,2.0,2.0
GCF_900518825.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,UBOCC-A-315005,GCF_900518825.1,13,1869599,143815.3,286569,144904,114835,298906.661,2100,534171,15.327832331959955,UBOCC-A-315005_PRJEB28094_wgs,1247,,GCF_900518825.1,GCA_900518825.1,yes,SAMEA4822709,ISVV,2019-04-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,13,0.376946072393064,1869599,3.0,0.0,3.0,3.0
GCF_900518755.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,UBOCC-A-315003,GCF_900518755.1,14,1868764,133483.1,219792,163573,114835,236448.45,854,402690,11.761356704217333,UBOCC-A-315003_PRJEB28094_wgs,1247,,GCF_900518755.1,GCA_900518755.1,yes,SAMEA4822707,ISVV,2019-04-11,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,14,0.3769437981467965,1868764,3.0,0.0,3.0,3.0
GCF_000697625.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,OM27,GCF_000697625.1,20,1786146,89307.3,184677,127779,69051,265708.422,1255,550977,10.339412343671794,Oeni1,1247,,GCF_000697625.1,GCA_000697625.1,yes,SAMN02739850,Consiglio per la Ricerca e la Sperimentazione in Agricoltura,2014-06-02,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,20,0.3786594152997571,1786146,1.0,0.0,1.0,1.0
GCF_004377635.1,custom,Oenococcus oeni (firmicutes),Oenococcus,oeni,a1,GCF_004377635.1,40,1842115,46052.9,173522,138402,86790,203682.338,504,399244,9.419715924358686,ASM437763v1,1247,,GCF_004377635.1,GCA_004377635.1,yes,SAMN11130366,Northwest A & F University,2019-03-25,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,,Other,40,0.3778629455815733,1842115,2.0,1.0,2.0,2.0
