genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_002848015.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,UMB0004,GCF_002848015.1,17,2850032,167648.9,489262,143640,118308,517163.516,357,978520,17.16689496819685,ASM284801v1,47715,Representative Genome,GCF_002848015.1,GCF_002848015.1,yes,SAMN08193701,Loyola University Chicago,2017-12-28,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,17,0.4666316027328816,2850032,2.0,1.0,2.0,2.0
GCF_900636965.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,NCTC13764,GCF_900636965.1,1,2988387,2988387.0,2988387,2988387,2988387,2988387.0,2988387,2988387,100.0,45296_G02,47715,,GCF_900636965.1,GCF_900636965.1,yes,SAMEA3905380,SC,2018-12-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,1,0.4676258463177627,2988387,2.0,0.0,2.0,2.0
GCF_016653515.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,KF7,GCF_016653515.1,4,3251532,812883.0,3172945,3172945,3172945,3097522.947,6203,3172945,97.58307776149827,ASM1665351v1,47715,,GCF_016653515.1,GCF_016653515.1,yes,SAMN17214539,"Technology Center of Bright Dairy & Food Co., Ltd,China",2021-01-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,4,0.4665886726626095,3251532,2.0,0.0,2.0,2.0
GCF_001988935.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,BFE5264,GCF_001988935.1,2,3114755,1557377.5,3068152,3068152,3068152,3022943.549,46603,3068152,98.50379885416348,ASM198893v1,47715,,GCF_001988935.1,GCF_001988935.1,yes,SAMN04404358,"AtoGen CO., Ltd.",2017-02-06,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,2,0.46802108030968725,3114755,1.0,0.0,1.0,1.0
GCF_002158925.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,4B15,GCF_002158925.1,1,3047840,3047840.0,3047840,3047840,3047840,3047840.0,3047840,3047840,100.0,ASM215892v1,47715,,GCF_002158925.1,GCF_002158925.1,yes,SAMN07160384,Wonkwang University,2017-05-30,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,1,0.46597918525906873,3047840,2.0,0.0,2.0,2.0
GCF_900070175.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,BPL5,GCF_900070175.1,1,3024027,3024027.0,3024027,3024027,3024027,3024027.0,3024027,3024027,100.0,Lactobacillus rhamnosus CECT 8800,47715,,GCF_900070175.1,GCF_900070175.1,yes,SAMEA3879648,Ferring International Center S.A.,2016-03-01,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,1,0.4672074687163838,3024027,2.0,0.0,2.0,2.0
GCF_008727835.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,hsryfm 1301,GCF_008727835.1,2,3067813,1533906.5,3022021,3022021,3022021,2977596.037,45792,3022021,98.50734057127993,ASM872783v1,47715,,GCF_008727835.1,GCF_008727835.1,yes,SAMN12793868,Yangzhou University,2019-09-29,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,2,0.46704443849739213,3067813,2.0,0.0,2.0,2.0
GCF_015377485.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,TK-F8B,GCF_015377485.1,3,3058443,1019481.0,3016822,3016822,3016822,2976171.295,7225,3016822,98.63914416583864,ASM1537748v1,47715,,GCF_015377485.1,GCF_015377485.1,yes,SAMN13106275,Zhejiang Tianke High Technology Development Co.Ltd.,2020-11-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,3,0.4662869309645463,3058443,1.0,0.0,1.0,1.0
GCF_902381635.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,MGYG-HGUT-01293,GCF_902381635.1,1,3010111,3010111.0,3010111,3010111,3010111,3010111.0,3010111,3010111,100.0,UHGG_MGYG-HGUT-01293,47715,,GCF_902381635.1,GCF_902381635.1,yes,SAMEA5850796,EMG,2019-08-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,1,0.46690005783839866,3010111,2.0,0.0,2.0,2.0
GCF_004010975.1,custom,Lacticaseibacillus rhamnosus (firmicutes),Lacticaseibacillus,rhamnosus,LR-B1,GCF_004010975.1,1,3007503,3007503.0,3007503,3007503,3007503,3007503.0,3007503,3007503,100.0,ASM401097v1,47715,,GCF_004010975.1,GCF_004010975.1,yes,SAMN08176627,Zhejiang University School of Medicine,2019-01-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,,Lacticaseibacillus,1,0.4669095924426343,3007503,2.0,0.0,2.0,2.0
