genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id,source
GCF_016728665.1,PRJNA231221,ASM1672866v1,Complete Genome,na,SAMN16357281,2021-01-20,GCA_016728665.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_016728665.1,Representative Genome,yes,major,propinquum,FDAARGOS_1112,US Food and Drug Administration,43769,ncbi
GCF_030515735.1,PRJNA842591,ASM3051573v1,Complete Genome,na,SAMN28690440,2023-07-21,GCA_030515735.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515735.1,,yes,major,propinquum,CP6,Semmelweis University,43769,ncbi
GCF_023509315.1,PRJNA541851,ASM2350931v1,Complete Genome,na,SAMN24898270,2022-05-19,GCA_023509315.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_023509315.1,,yes,major,propinquum,PC1113,"Divison of Bacterial Diseases, Centers for Disease Control",43769,ncbi
GCF_030515635.1,PRJNA842591,ASM3051563v1,Complete Genome,na,SAMN28690445,2023-07-21,GCA_030515635.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515635.1,,yes,major,propinquum,CP11,Semmelweis University,43769,ncbi
GCF_016728625.1,PRJNA231221,ASM1672862v1,Complete Genome,na,SAMN16357282,2021-01-20,GCA_016728625.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_016728625.1,,yes,major,propinquum,FDAARGOS_1113,US Food and Drug Administration,43769,ncbi
GCF_030515675.1,PRJNA842591,ASM3051567v1,Chromosome,na,SAMN28690443,2023-07-21,GCA_030515675.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515675.1,,yes,major,propinquum,CP9,Semmelweis University,43769,ncbi
GCF_030515775.1,PRJNA842591,ASM3051577v1,Chromosome,na,SAMN28690438,2023-07-21,GCA_030515775.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515775.1,,yes,major,propinquum,CP4,Semmelweis University,43769,ncbi
GCF_030515715.1,PRJNA842591,ASM3051571v1,Chromosome,na,SAMN28690441,2023-07-21,GCA_030515715.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515715.1,,yes,major,propinquum,CP7,Semmelweis University,43769,ncbi
GCF_030515795.1,PRJNA842591,ASM3051579v1,Chromosome,na,SAMN28690437,2023-07-21,GCA_030515795.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515795.1,,yes,major,propinquum,CP3,Semmelweis University,43769,ncbi
GCF_030515815.1,PRJNA842591,ASM3051581v1,Chromosome,na,SAMN28690436,2023-07-21,GCA_030515815.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515815.1,,yes,major,propinquum,CP2,Semmelweis University,43769,ncbi
GCF_030515835.1,PRJNA842591,ASM3051583v1,Chromosome,na,SAMN28690435,2023-07-21,GCA_030515835.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515835.1,,yes,major,propinquum,CP1,Semmelweis University,43769,ncbi
GCF_030515755.1,PRJNA842591,ASM3051575v1,Chromosome,na,SAMN28690439,2023-07-21,GCA_030515755.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515755.1,,yes,major,propinquum,CP5,Semmelweis University,43769,ncbi
GCF_030515695.1,PRJNA842591,ASM3051569v1,Chromosome,na,SAMN28690442,2023-07-21,GCA_030515695.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030515695.1,,yes,major,propinquum,CP8,Semmelweis University,43769,ncbi
GCF_000375525.1,PRJNA169811,ASM37552v1,Contig,na,SAMN02441734,2013-04-20,GCA_000375525.1,full,Corynebacterium,Corynebacterium propinquum DSM 44285 (high G+C Gram-positive bacteria),GCF_000375525.1,,yes,major,propinquum,DSM 44285,DOE Joint Genome Institute,1121367,ncbi
GCF_030229105.1,PRJNA804245,ASM3022910v1,Scaffold,na,SAMN35346745,2023-06-07,GCA_030229105.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030229105.1,,yes,major,propinquum,MSK146,Duke University,43769,ncbi
GCF_030176855.1,PRJNA842433,ASM3017685v1,Contig,na,SAMN35023386,2023-06-05,GCA_030176855.1,full,Corynebacterium,Corynebacterium propinquum (high G+C Gram-positive bacteria),GCF_030176855.1,,yes,major,propinquum,KPL2654,Baylor College of Medicine,43769,ncbi
