genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_009184725.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,reuteri,GCF_009184725.1,2,2047619,1023809.5,2027207,2027207,2027207,2007201.96,20412,2027207,99.00313486053804,ASM918472v1,1598,Representative Genome,GCF_009184725.1,GCA_009184725.1,yes,SAMN12990932,Guangxi University,2019-10-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,2,0.3897692881341695,2047619,1.0,0.0,1.0,1.0
GCF_020023775.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,SD-LRE2-IT,GCF_020023775.1,1,2313802,2313802.0,2313802,2313802,2313802,2313802.0,2313802,2313802,100.0,ASM2002377v1,1598,,GCF_020023775.1,GCA_020023775.1,yes,SAMN19814906,SEED HEALTH INC,2021-09-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3880280162261075,2313802,1.0,0.0,1.0,1.0
GCF_003316935.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,SKKU-OGDONS-01,GCF_003316935.1,1,2259968,2259968.0,2259968,2259968,2259968,2259968.0,2259968,2259968,100.0,ASM331693v1,1598,,GCF_003316935.1,GCA_003316935.1,yes,SAMN09270376,Sungkyunkwan University,2018-07-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3885895729497055,2259968,2.0,0.0,2.0,2.0
GCF_003316895.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,Byun-re-01,GCF_003316895.1,1,2244514,2244514.0,2244514,2244514,2244514,2244514.0,2244514,2244514,100.0,ASM331689v1,1598,,GCF_003316895.1,GCA_003316895.1,yes,SAMN08225762,Sungkyunkwan University,2018-07-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3887741399697217,2244514,2.0,0.0,2.0,2.0
GCF_018884225.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,YLR001,GCF_018884225.1,4,2439358,609839.5,2242943,2242943,2242943,2070428.426,24864,2242943,91.94808634075032,ASM1888422v1,1598,,GCF_018884225.1,GCA_018884225.1,yes,SAMN16987598,Huazhong agricultural university,2021-06-15,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,4,0.3865935217380967,2439358,2.0,1.0,4.0,3.0
GCF_001618905.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,ZLR003,GCF_001618905.1,1,2234097,2234097.0,2234097,2234097,2234097,2234097.0,2234097,2234097,100.0,ASM161890v1,1598,,GCF_001618905.1,GCA_001618905.1,yes,SAMN03879966,Institute of Animal Husbandry and Veterinary Medicine,2016-04-12,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3865575218981091,2234097,1.0,0.0,1.0,1.0
GCF_007633215.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,LL7,GCF_007633215.1,2,2384717,1192358.5,2205740,2205740,2205740,2053628.046,178977,2205740,92.4948327201928,ASM763321v1,1598,,GCF_007633215.1,GCA_007633215.1,yes,SAMN12280509,University of California Irvine,2019-07-30,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,2,0.3880951073020404,2384717,2.0,0.0,2.0,2.0
GCF_006874665.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,YSJL-12,GCF_006874665.1,3,2151788,717262.7,2084748,2084748,2084748,2021155.195,15134,2084748,96.88445144224244,ASM687466v1,1598,,GCF_006874665.1,GCA_006874665.1,yes,SAMN09453118,Northeast Agricultral University,2019-07-11,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,3,0.389269296045893,2151788,1.0,0.0,1.0,1.0
GCF_020023755.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,SD-RD830-FR,GCF_020023755.1,1,2076814,2076814.0,2076814,2076814,2076814,2076814.0,2076814,2076814,100.0,ASM2002375v1,1598,,GCF_020023755.1,GCA_020023755.1,yes,SAMN19814905,SEED HEALTH INC,2021-09-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3891739943971872,2076814,1.0,0.0,1.0,1.0
GCF_013348825.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,AN417,GCF_013348825.1,5,2162818,432563.6,2069421,2069421,2069421,1981805.994,9085,2069421,95.68169859877251,ASM1334882v1,1598,,GCF_013348825.1,GCA_013348825.1,yes,SAMN15162791,Korea Research Institute of Bioscience and Biotechnology,2020-06-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,5,0.3894650405165853,2162818,1.0,0.0,1.0,1.0
GCF_001688685.2,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,I49,GCF_001688685.2,1,2044771,2044771.0,2044771,2044771,2044771,2044771.0,2044771,2044771,100.0,ASM168868v2,1598,,GCF_001688685.2,GCA_001688685.2,yes,SAMN04621617,University of Bern,2017-04-05,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3875724958931831,2044771,2.0,0.0,2.0,2.0
GCF_004208615.1,custom,Limosilactobacillus reuteri (firmicutes),Limosilactobacillus,reuteri,ATG-F4,GCF_004208615.1,1,2041516,2041516.0,2041516,2041516,2041516,2041516.0,2041516,2041516,100.0,ASM420861v1,1598,,GCF_004208615.1,GCA_004208615.1,yes,SAMN10888479,"AtoGen Co., Ltd.",2019-02-17,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,,Limosilactobacillus,1,0.3888620025510454,2041516,1.0,0.0,1.0,1.0
