genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_009296125.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,TMW 2.1619,GCF_009296125.1,4,1924384,481096.0,1836357,1836357,1836357,1753778.806,19636,1836357,95.425705056787,ASM929612v1,115778,,GCF_009296125.1,GCA_009296125.1,yes,SAMN05756392,Technische Universitaet Muenchen,2019-10-24,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,4,0.3686925270632056,1924384,2.0,0.0,2.0,2.0
GCF_013403485.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,CBA3613,GCF_013403485.1,1,1812661,1812661.0,1812661,1812661,1812661,1812661.0,1812661,1812661,100.0,ASM1340348v1,115778,,GCF_013403485.1,GCA_013403485.1,yes,SAMN15395817,World Institute of Kimchi,2020-07-13,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,1,0.3691765862453045,1812661,2.0,0.0,2.0,2.0
GCF_019655955.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,NBRC 113245,GCF_019655955.1,13,1933685,148745.0,282742,114533,82451,447130.66,5404,839137,14.621926528881383,ASM1965595v1,115778,,GCF_019655955.1,GCA_019655955.1,yes,SAMD00323135,Northeast Agricultural University,2021-05-29,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,13,0.3654369765499551,1933685,3.0,1.0,3.0,3.0
GCF_020088905.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,EPV3,GCF_020088905.1,12,1970415,164201.2,1176892,469563,98985,827452.736,2370,1176892,59.72812833844647,ASM2008890v1,115778,,GCF_020088905.1,GCA_020088905.1,yes,SAMN19065624,University of Helsinki,2021-09-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,12,0.3648449692069944,1970415,3.0,0.0,3.0,3.0
GCF_900016145.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,C122c,GCF_900016145.1,22,2008362,91289.2,230561,84283,46927,208549.901,4014,413377,11.480051902993583,ASM90001614v1,115778,,GCF_900016145.1,GCA_900016145.1,yes,SAMEA3718675,UNIVERSITY OF HELSINKI,2016-06-08,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,22,0.3657005061836462,2008362,3.0,1.0,3.0,3.0
GCF_020089135.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,6.2.3,GCF_020089135.1,29,2020394,69668.8,216693,98985,51213,178779.773,1407,329087,10.725284276235229,ASM2008913v1,115778,,GCF_020089135.1,GCA_020089135.1,yes,SAMN19065613,University of Helsinki,2021-09-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,29,0.3663636894585907,2020394,2.0,0.0,2.0,2.0
GCF_020089085.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,A.8.4,GCF_020089085.1,30,1986052,66201.7,213388,105878,35613,255491.832,1120,489170,10.74433096414394,ASM2008908v1,115778,,GCF_020089085.1,GCA_020089085.1,yes,SAMN19065616,University of Helsinki,2021-09-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,30,0.3647855141758624,1986052,2.0,1.0,2.0,2.0
GCF_020088925.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,Mkl1-2,GCF_020088925.1,13,1907326,146717.4,415607,203022,118726,344051.502,1251,538307,21.79003484459395,ASM2008892v1,115778,,GCF_020088925.1,GCA_020088925.1,yes,SAMN19065627,University of Helsinki,2021-09-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,13,0.36707830753631,1907326,3.0,0.0,3.0,3.0
GCF_020088885.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,JP13-3,GCF_020088885.1,15,2007795,133853.0,326528,255241,193320,318711.644,1113,492934,16.263014899429475,ASM2008888v1,115778,,GCF_020088885.1,GCA_020088885.1,yes,SAMN19065626,University of Helsinki,2021-09-21,na,major,Scaffold,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,15,0.3653679783045579,2007795,2.0,0.0,2.0,2.0
GCF_020088965.1,custom,Leuconostoc gelidum subsp. gasicomitatum (firmicutes),Leuconostoc,gelidum,R-46850,GCF_020088965.1,33,1978502,59954.6,191247,62341,31276,166919.999,1251,296702,9.666252548645389,ASM2008896v1,115778,,GCF_020088965.1,GCA_020088965.1,yes,SAMN19065622,University of Helsinki,2021-09-21,na,major,Contig,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc inhae,,Leuconostoc,33,0.3657403429463301,1978502,3.0,1.0,3.0,3.0
