genome_id,source,organism,genus,species,strain,closest_placement_reference,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max,N50_percent,assembly,tax_id,refseq_category,refseq,genbank,refseq_genbank_identity,biosample,submitter,date,assembly_type,release_type,assembly_level,genome_representation,pubMLST,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism,Genus_cat,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_003855655.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,LMT2-75,GCF_003855655.1,2,2327464,1163732.0,2298221,2298221,2298221,2269712.837,29243,2298221,98.74356810674622,ASM385565v1,1613,,GCF_003855655.1,GCA_003855655.1,yes,SAMN10417155,Medytox,2018-12-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,2,0.5048769819855431,2327464,0.0,0.0,0.0,0.0
GCF_008802915.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,2760,GCF_008802915.1,1,2267305,2267305.0,2267305,2267305,2267305,2267305.0,2267305,2267305,100.0,ASM880291v1,1613,,GCF_008802915.1,GCA_008802915.1,yes,SAMN12786154,CSIR-CFTRI Mysore,2019-10-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5137103301055659,2267305,0.0,0.0,0.0,0.0
GCF_002119645.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,FTDC 8312,GCF_002119645.1,1,2239921,2239921.0,2239921,2239921,2239921,2239921.0,2239921,2239921,100.0,ASM211964v1,1613,,GCF_002119645.1,GCA_002119645.1,yes,SAMN06703219,Universiti Sains Malaysia,2017-05-09,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5098920899442436,2239921,1.0,0.0,1.0,1.0
GCF_009676625.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,USM 8633,GCF_009676625.1,1,2238401,2238401.0,2238401,2238401,2238401,2238401.0,2238401,2238401,100.0,ASM967662v1,1613,,GCF_009676625.1,GCA_009676625.1,yes,SAMN04531192,Universiti Sains Malaysia,2019-11-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5098572597135187,2238401,1.0,0.0,1.0,1.0
GCF_017134375.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,GR1007,GCF_017134375.1,1,2238385,2238385.0,2238385,2238385,2238385,2238385.0,2238385,2238385,100.0,ASM1713437v1,1613,,GCF_017134375.1,GCA_017134375.1,yes,SAMN17976236,National Chung Hsing University,2021-03-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5098778807041684,2238385,1.0,0.0,1.0,1.0
GCF_017134355.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,GR1008,GCF_017134355.1,1,2237764,2237764.0,2237764,2237764,2237764,2237764.0,2237764,2237764,100.0,ASM1713435v1,1613,,GCF_017134355.1,GCA_017134355.1,yes,SAMN17976237,National Chung Hsing University,2021-03-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5098862078396114,2237764,1.0,0.0,1.0,1.0
GCF_017068315.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,GR1103,GCF_017068315.1,1,2234899,2234899.0,2234899,2234899,2234899,2234899.0,2234899,2234899,100.0,ASM1706831v1,1613,,GCF_017068315.1,GCA_017068315.1,yes,SAMN17976243,National Chung Hsing University,2021-02-28,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5099733813474345,2234899,1.0,0.0,1.0,1.0
GCF_017134335.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,GR1009,GCF_017134335.1,1,2227144,2227144.0,2227144,2227144,2227144,2227144.0,2227144,2227144,100.0,ASM1713433v1,1613,,GCF_017134335.1,GCA_017134335.1,yes,SAMN17976238,National Chung Hsing University,2021-03-02,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5103491287496453,2227144,1.0,0.0,1.0,1.0
GCF_011032765.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,AGR1485,GCF_011032765.1,1,2226862,2226862.0,2226862,2226862,2226862,2226862.0,2226862,2226862,100.0,ASM1103276v1,1613,,GCF_011032765.1,GCA_011032765.1,yes,SAMN13241836,Riddet Institute,2020-02-27,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5115188996893386,2226862,0.0,0.0,0.0,0.0
GCF_001941785.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,SNUV175,GCF_001941785.1,4,2272328,568082.0,2176678,2176678,2176678,2086401.211,29166,2176678,95.7906605032372,ASM194178v1,1613,,GCF_001941785.1,GCA_001941785.1,yes,SAMN06174220,"KoBioLabs, Inc.",2017-01-10,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,4,0.510222995975933,2272328,1.0,0.0,1.0,1.0
GCF_019890875.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,ACA-DC 179,GCF_019890875.1,1,2149913,2149913.0,2149913,2149913,2149913,2149913.0,2149913,2149913,100.0,ASM1989087v1,1613,,GCF_019890875.1,GCA_019890875.1,yes,SAMN21157785,Agricultural University of Athens,2021-09-07,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5115174427988481,2149913,1.0,0.0,1.0,1.0
GCF_004063515.1,custom,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus,fermentum,SRCM103285,GCF_004063515.1,1,2146888,2146888.0,2146888,2146888,2146888,2146888.0,2146888,2146888,100.0,ASM406351v1,1613,,GCF_004063515.1,GCA_004063515.1,yes,SAMN10737529,Chunlab,2019-01-20,na,major,Complete Genome,full,-,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus,1,0.5125949746796293,2146888,0.0,0.0,0.0,0.0
